Company,52-Week Low,Recent Price,52-Week High,Beta,Daily Volume (3-month avg),Daily Volume (10-day avg),52-Week Change,52-Week Change relative to S&P500,Market Capitalization,Shares Outstanding,Float,Annual Dividend,Dividend Yield,Last Split,Book Value,Earnings (ttm),Earnings (mrq),Sales (per share),Cash,Price/Book,Price/Earnings,Price/Sales,Sales (ttm),EBITDA,Income,Profit Margin,Operating Margin,Fiscal Year Ends,Most recent quarter,Return Assets,Return Equity,Current Ratio,Debt/Equity,Total Cash,Shares Short,Percent of Float,Shares Short (Prior Month),Short Ratio,Daily Volume,Start Price,End Price,Company Return,Market Return,DCV,Delta Return
abco,22.55,26.14,27.3,none,none,190.0K,none,none,317.6M,12.2M,4.60M,none,none,none,-0.79,0.03,0.06,4.81,0.38,none,871.33,5.43,71.4M,2.37M,550.0K,0.80%,0.60%,31-Mar,none,1.75%,none,0.6,none,5.63M,none,none,none,none,none,25.77,27.7,7.49,1.61,4373169,5.88
abcw,12.875,17.92,18.51,0.52,40.8K,46.0K,18.50%,36.80%,445.4M,24.9M,19.9M,0.33,1.84%,none,10.01,1.3,0.37,10.12,2.4,1.79,13.77,1.77,229.9M,none,29.6M,12.90%,36.00%,31-Mar,none,0.94%,13.55%,none,none,53.3M,544.0K,2.70%,520.0K,16.48,33.0K,17.65,17.74,0.51,1.61,538325,-1.1
aber,7.5,12.03,12.2,1.06,"2,909","3,000",41.50%,63.40%,656.2M,54.6M,52.4M,none,none,none,4.51,0.99,0,1.81,2.36,2.67,12.19,6.65,99.7M,96.2M,54.4M,54.50%,96.40%,31-Jan,none,21.18%,25.48%,4.85,0,128.6M,0,none,0,none,"2,000",12.44,12.66,1.77,1.61,31100,0.16
abf,7,13.43,14.2,1.55,354.2K,280.0K,35.10%,56.00%,646.0M,48.1M,37.0M,0.16,1.19%,none,17.36,-0.7,0.04,67.67,2.89,0.77,none,0.2,3.26B,175.5M,-33.5M,-1.00%,-1.10%,31-Dec,none,-1.95%,-3.94%,1.14,0.39,139.1M,829.0K,2.20%,778.0K,2.77,299.0K,13.27,14.83,11.76,1.61,2319596,10.15
abfi,4.375,19.7,23.72,0.58,40.0K,27.0K,239.90%,292.40%,51.8M,2.63M,1.20M,0.32,1.62%,none,23.95,2.32,0.44,58.63,38.69,0.82,8.49,0.34,195.6M,107.7M,7.86M,4.00%,6.80%,30-Jun,none,1.11%,11.77%,none,9.69,105.6M,474.0K,39.50%,553.0K,8.94,53.0K,19.79,18.16,-8.24,1.61,797537,-9.85
abfs,14.5,24.42,28.25,0.96,162.3K,165.0K,40.00%,61.60%,596.1M,24.4M,17.8M,none,none,none,13.37,2.2,0.52,65.89,0.54,1.83,11.12,0.37,1.62B,95.6M,50.4M,3.30%,5.90%,31-Dec,none,6.88%,16.76%,0.81,0.4,13.1M,429.0K,2.40%,324.0K,2.62,164.0K,25.23,28.82,14.23,1.61,2179872,12.62
abgx,15.313,36,74.5,2.45,1.47M,1.35M,-36.50%,-26.70%,3.10B,86.2M,64.7M,none,none,none,9.03,-0.57,-0.26,0.75,6.27,3.99,none,48.23,64.9M,-41.7M,-49.6M,-76.40%,-76.40%,31-Dec,none,-5.94%,-6.29%,17.8,0,540.5M,2.16M,3.30%,2.41M,1.48,1.47M,35.26,33.64,-4.59,1.61,43655406,-6.2
abi,18.5,33.1,104,1.63,1.08M,947.0K,-61.50%,-55.50%,7.01B,211.9M,211.6M,0.17,0.51%,none,5.03,0.89,0.15,7.41,1.99,6.58,37.19,4.47,1.62B,335.6M,195.4M,12.00%,16.30%,30-Jun,none,11.64%,19.20%,2.07,0.04,422.7M,5.47M,2.60%,3.42M,4.43,1.24M,30.98,39.27,26.76,1.61,46767408,25.15
abix,1.25,5.3,6.35,0.56,21.9K,16.0K,239.10%,291.40%,9.07M,1.71M,800.0K,none,none,none,4.43,0.56,0.22,30.7,0.01,1.2,9.38,0.17,52.5M,2.64M,966.0K,1.80%,4.00%,31-Dec,none,5.76%,13.86%,1.53,0.94,21.0K,"2,000",0.20%,"7,000",0.07,27.0K,5.1,4.98,-2.35,1.61,14280,-3.96
abiz,0.26,0.66,10.125,3.14,406.3K,582.0K,-83.80%,-81.20%,88.8M,134.5M,27.7M,none,none,none,1.07,-4.73,-0.85,4.33,0,0.61,none,0.15,452.5M,-77.1M,-437.4M,-88.70%,-55.10%,31-Dec,none,-20.43%,-269.36%,0.89,9.61,506.0K,1.44M,5.20%,1.90M,3.24,444.0K,0.7,0.5802,-17.11,1.61,224770,-18.72
abk,42.2,56.08,64,0.65,623.0K,521.0K,8.30%,25.00%,5.92B,105.5M,74.9M,0.36,0.64%,none,28.09,3.8,1.02,6.36,1.06,2,14.76,8.81,692.7M,none,413.6M,59.70%,84.60%,31-Dec,none,3.93%,15.37%,none,0.14,111.4M,858.0K,1.10%,858.0K,1.35,634.0K,55.75,57.9,3.86,1.61,27596250,2.25
abl,10.4,12.5,15.375,-0.06,"1,091","1,000",-14.50%,-1.30%,43.0M,3.44M,700.0K,0.5,4.00%,none,21.76,0.28,0.79,119.5,5.51,0.57,44.64,0.1,414.7M,26.0M,939.0K,-0.70%,-0.70%,31-Dec,none,none,none,none,none,none,none,none,none,none,none,12.4,14.12,13.87,1.61,14880,12.26
able,1.625,4.3,6.75,0.76,"1,682","1,000",91.10%,120.60%,8.60M,2.00M,1.00M,none,none,none,2.38,-0.67,-0.45,16.49,0.5,1.81,none,0.26,34.0M,-789.0K,-1.37M,-4.00%,-5.30%,30-Jun,none,-11.23%,-24.49%,0.78,0.67,999.0K,0,none,0,none,"2,000",4.25,4.49,5.65,1.61,2125,4.04
abm,24.96,30.2,38.2,0.41,83.6K,53.0K,3.90%,19.90%,733.9M,24.3M,16.0M,0.66,2.19%,none,14.84,1.93,0.52,78.12,0.1,2.04,15.66,0.39,1.93B,93.8M,47.7M,2.50%,4.00%,31-Oct,none,7.51%,14.48%,2,0.03,2.39M,144.0K,0.90%,113.0K,1.56,92.0K,30.06,31.39,4.42,1.61,898794,2.82
abmc,0.25,0.87,1.5,0.23,23.4K,24.0K,-10.20%,3.60%,17.9M,20.5M,12.7M,none,none,none,0.06,-0.1,-0.01,0.38,0.01,14.09,none,2.28,6.88M,-2.35M,-1.82M,-26.40%,-33.40%,30-Apr,none,-43.33%,-88.52%,1.2,0.03,215.0K,0,none,"1,000",none,17.0K,0.8,0.87,8.75,1.61,24960,7.14
abmd,10.5,18.97,30,0.57,147.3K,160.0K,-18.00%,-5.30%,396.5M,20.9M,12.5M,none,none,none,4.6,-1.03,-0.34,1.08,4.01,4.13,none,17.58,22.4M,-22.2M,-21.3M,-95.30%,none,31-Mar,none,-18.43%,-19.91%,10.89,0,83.8M,3.60M,28.80%,3.77M,23.08,156.0K,18.75,15.82,-15.63,1.61,1771875,-17.24
abn,14.2,16.35,26.063,1.14,243.8K,261.0K,-25.50%,-14.00%,24.6B,1.50B,1.34B,none,none,none,none,1.59,0.27,none,none,none,10.25,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,15.82,16.28,2.91,1.61,5293372,1.3
abp,0.64,1.29,5.38,0.46,144.3K,384.0K,-57.00%,-50.40%,38.7M,30.0M,19.5M,none,none,none,-0.53,-0.25,-0.22,3.34,0.02,none,none,0.39,92.3M,67.6M,-6.58M,-4.60%,35.60%,31-Dec,none,-1.28%,none,0.31,none,492.0K,172.0K,0.90%,0,2.29,75.0K,1.25,1.33,6.4,1.61,130500,4.79
abr,0.875,1.2,1.5,0.18,455,0,6.70%,23.10%,8.02M,6.68M,2.70M,none,none,none,1.63,0.04,0.17,20.36,0.08,0.74,27.27,0.06,136.7M,3.93M,291.0K,0.20%,1.30%,31-Dec,none,0.69%,3.11%,0.85,2.04,535.0K,0,none,0,none,0,1.2,2.4,100,1.61,0,98.39
abri,3.4,3.9,4.469,0.46,773,0,0.60%,16.20%,11.5M,2.94M,1.10M,0.16,4.10%,none,7.63,-0.3,-0.05,41.96,1.74,0.51,none,0.09,123.2M,7.35M,-889.0K,-0.70%,3.30%,30-Apr,none,none,none,none,none,none,none,none,none,none,none,3.9,3.79,-2.82,1.61,780,-4.43
abs,21,33.56,36.99,0.19,1.28M,842.0K,35.90%,56.90%,13.6B,406.1M,300.5M,0.76,2.27%,none,13.8,1.04,-0.37,91.38,0.34,2.43,32.39,0.37,37.4B,2.20B,427.0M,1.10%,3.10%,1-Feb,none,none,none,none,none,none,none,none,none,none,none,33.54,31.55,-5.93,1.61,42542136,-7.54
abt,42,55,55.75,0.45,3.28M,2.84M,4.00%,20.10%,85.4B,1.55B,1.44B,0.84,1.53%,none,5.59,1.07,0.4,9.94,0.51,9.85,51.21,5.54,15.5B,3.15B,1.69B,10.90%,13.50%,31-Dec,none,8.71%,20.02%,1.05,0.84,790.9M,11.0M,0.80%,5.86M,3.25,3.38M,55.46,55.8,0.61,1.61,277294454,-1
abtl,0.7,1.37,3.25,0.52,151.6K,49.0K,-52.30%,-45.00%,42.4M,31.0M,16.7M,none,none,none,2,-2.29,-0.13,3.1,2.25,0.69,none,0.44,67.4M,-55.8M,-47.2M,-73.60%,-82.20%,31-Dec,none,-44.48%,-61.48%,2.4,0,69.6M,774.0K,4.60%,766.0K,2.94,263.0K,1.37,1.725,25.91,1.61,208240,24.3
abtxq,0,0.006,0.055,2.31,27.9K,24.0K,100.00%,130.90%,306.0K,51.1M,49.0M,none,none,none,3.82,-1.34,-0.39,7.29,0.01,0,none,0,330.4M,-36.5M,-59.0M,-17.90%,-15.00%,30-Jun,none,-15.84%,-28.25%,0.94,0.47,490.0K,4.12M,10.50%,0,37.13,111.0K,,,0,1.61,0,-1.61
abv,13.2,19.6,28.7,1.24,390.5K,335.0K,-10.10%,3.70%,7.69B,392.2M,270.0M,0.46,2.35%,none,2.5,0.62,0.62,7.01,1.49,7.85,31.82,2.79,2.64B,693.0M,231.6M,25.60%,16.50%,31-Dec,none,22.03%,28.68%,1.03,0.81,513.5M,496.0K,0.20%,581.0K,1.04,476.0K,19.7,20.29,2.99,1.61,5265810,1.39
abwg,2.65,2.85,14.3,3.26,26.9K,12.0K,-76.70%,-73.10%,31.3M,11.0M,5.80M,none,none,none,0.89,-2.1,-0.61,3.31,0.3,3.22,none,0.86,30.3M,-12.4M,-19.3M,-63.50%,-60.10%,30-Sep,none,-71.89%,-190.35%,none,0.59,3.27M,364.0K,6.30%,368.0K,7.43,49.0K,2.75,2.36,-14.18,1.61,37400,-15.79
abx,13.69,15.13,19.38,0.59,2.05M,1.98M,-1.20%,14.00%,5.99B,396.0M,316.8M,0.22,1.45%,none,8.05,-2,0.17,3.44,1.78,1.88,none,4.39,1.36B,-667.0M,-792.0M,-58.10%,-72.10%,31-Dec,none,-16.41%,-24.02%,3.06,0.23,704.0M,27.8M,8.80%,27.0M,14.61,1.90M,15.29,16,4.64,1.61,28104549,3.03
aby,6.06,6.93,9.313,1.3,193.9K,272.0K,-20.80%,-8.60%,3.05B,440.0M,435.6M,0.25,3.67%,none,4.76,0.62,0.07,9.29,0.1,1.46,11.16,0.75,4.11B,1.18B,275.4M,7.10%,18.00%,31-Dec,none,4.04%,13.64%,1.03,1.83,43.2M,6.43M,1.50%,7.65M,36.73,175.0K,7.03,7.32,4.13,1.61,1159247,2.52
ac,37.4,50.83,59.35,1.05,156.3K,153.0K,13.00%,30.40%,12.6B,248.2M,104.2M,2.68,5.27%,none,16.2,2.39,0.59,11.92,0.71,3.14,21.26,4.26,3.02B,1.10B,606.0M,20.30%,21.60%,31-Dec,none,8.96%,16.48%,none,0.14,176.4M,705.0K,0.70%,772.0K,5.83,121.0K,49.9,48.32,-3.17,1.61,12644660,-4.78
acai,8.04,20.7,30.06,1.59,773.2K,453.0K,-1.10%,14.10%,909.0M,43.9M,29.0M,none,none,none,4.84,0.74,0.28,12.4,3.63,4.28,27.82,1.67,555.7M,63.3M,33.5M,6.00%,8.80%,31-Dec,none,8.68%,18.18%,2.28,0.32,159.4M,1.18M,4.10%,1.13M,2.12,557.0K,20.64,23.29,12.84,1.61,6718320,11.23
acam,15.51,44.22,49,none,160.0K,189.0K,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,49.48,49.85,0.75,1.61,15027076,-0.86
acap,13.5,19.73,23.6,none,114.7K,138.0K,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,19.81,21.75,9.79,1.61,905317,8.18
acas,21.188,27.78,29.5,0.95,222.3K,224.0K,26.30%,45.80%,990.7M,35.7M,27.1M,2.28,8.21%,none,16.62,-0.27,-0.04,2.89,0.73,1.67,none,9.63,84.7M,73.3M,-6.92M,-8.20%,80.00%,31-Dec,none,-1.05%,-1.42%,none,0.27,25.9M,456.0K,1.70%,381.0K,2.02,226.0K,28.1,28.35,0.89,1.61,5785790,-0.72
acat,11.5,16.53,17.9,0.34,69.1K,62.0K,43.00%,65.00%,385.6M,23.3M,9.00M,0.24,1.45%,none,7.82,1.18,0.84,22.56,3.11,2.12,13.96,0.73,543.8M,49.4M,28.6M,5.30%,7.10%,31-Mar,none,10.58%,16.48%,2.27,0,73.1M,321.0K,3.60%,294.0K,9.17,35.0K,16.25,17,4.62,1.61,297375,3.01
acba,7.25,9,9.99,none,182,0,5.90%,22.20%,14.8M,1.64M,1.40M,none,none,none,8.18,0.42,0.15,7.64,3.61,1.1,21.53,1.18,12.1M,none,665.0K,5.50%,none,31-Dec,none,0.44%,5.36%,none,none,none,none,none,none,none,none,9,9.05,0.56,1.61,0,-1.05
accl,0.12,0.5,8.25,none,157.7K,111.0K,-92.70%,-91.60%,25.3M,50.6M,13.2M,none,none,none,0.9,-1.15,-0.25,0.22,0.75,0.56,none,2.32,10.7M,-61.9M,-57.0M,none,none,31-Dec,none,-67.21%,-78.12%,5.36,0,38.1M,174.0K,1.30%,191.0K,0.68,256.0K,0.41,0.4,-2.44,1.61,48872,-4.05
acdo,23.5,36.96,62,0.75,406.3K,441.0K,28.90%,48.80%,962.8M,26.1M,22.9M,none,none,none,7.58,0.74,0.22,18.28,2.26,4.88,50.08,2.02,489.2M,34.5M,19.8M,4.00%,6.20%,30-Jun,none,7.11%,10.79%,1.94,0,58.8M,1.53M,6.70%,1.32M,3.76,408.0K,36.65,39.7,8.32,1.61,9631620,6.71
ace,18.1,38.1,43.938,0.72,2.75M,1.11M,-2.90%,12.00%,9.89B,259.5M,168.7M,0.6,1.57%,none,22.16,-0.42,-1.95,24.91,3.33,1.72,none,1.53,5.93B,none,-81.9M,-0.90%,-1.10%,31-Dec,none,-0.17%,-1.53%,none,0.37,754.6M,6.33M,3.80%,8.94M,2.49,2.54M,38.45,40.15,4.42,1.61,25565405,2.81
acec,0.688,1.2,3.75,2.41,"7,091","6,000",-60.80%,-54.80%,11.1M,9.28M,4.80M,none,none,none,0.95,-0.92,-0.15,2.11,0.54,1.26,none,0.57,19.6M,-8.56M,-8.53M,-43.60%,-43.70%,30-Jun,none,-49.58%,-67.03%,2.7,0.05,4.97M,"1,000",0.00%,0,0.12,"8,000",1.18,1.14,-3.39,1.61,5074,-5
acet,7.625,9.51,10.59,-0.02,"8,182","2,000",4.20%,20.30%,61.9M,6.51M,5.80M,0.32,3.37%,none,10.77,0.63,0.08,29.52,2.2,0.88,15.02,0.32,184.7M,6.65M,3.85M,2.10%,3.00%,30-Jun,none,3.83%,5.68%,2.77,0.12,14.3M,"1,000",0.00%,"3,000",0.1,10.0K,9.35,10.4,11.23,1.61,43945,9.62
acf,14,23.1,64.9,1.42,2.40M,1.39M,5.60%,21.90%,1.95B,84.3M,64.9M,none,none,none,13.43,2.95,0.88,10.59,1.09,1.72,7.82,2.18,926.7M,567.2M,259.3M,28.00%,45.50%,30-Jun,none,8.88%,27.50%,none,1.97,92.1M,14.8M,22.90%,8.46M,4.09,3.63M,22.15,31.56,42.48,1.61,25031715,40.87
acg,7.375,8.08,9,0.26,349.3K,439.0K,8.60%,25.40%,1.33B,164.7M,163.0M,0.84,10.40%,none,8.22,0.31,0.14,0.51,0.04,0.98,25.98,15.75,111.6M,100.0M,69.2M,62.00%,77.80%,31-Dec,none,4.36%,6.46%,none,0.22,7.00M,959.0K,0.60%,173.0K,2.55,376.0K,7.85,7.31,-6.88,1.61,10292920,-8.49
acgl,13.875,23.65,25.74,-0.07,21.5K,15.0K,63.10%,88.30%,304.3M,12.9M,2.80M,none,none,none,21.48,0.21,0.07,3.69,1.14,1.1,114.25,6.42,47.0M,none,3.03M,2.20%,-7.50%,31-Dec,none,0.24%,1.11%,none,0,14.7M,"8,000",0.30%,"2,000",0.25,32.0K,23.65,25.75,8.88,1.61,122980,7.27
achi,1.1,1.71,3.063,0.7,"2,318","8,000",-38.50%,-29.00%,16.4M,9.60M,1.50M,none,none,none,4.69,-1.7,-1.33,8.44,0.41,0.36,none,0.2,74.4M,none,-15.8M,-21.30%,-8.40%,31-Dec,none,none,none,none,none,none,none,none,none,none,none,1.74,1.76,1.15,1.61,7830,-0.46
aci,9.375,19.99,38.4,-0.24,359.4K,323.0K,93.80%,123.70%,1.05B,52.3M,33.5M,0.23,1.15%,none,10.84,0.27,-0.15,32.09,0.12,1.84,75.43,0.62,1.45B,108.1M,8.41M,0.60%,5.40%,31-Dec,none,0.38%,2.22%,0.83,1.36,6.02M,1.76M,5.20%,1.76M,4.88,360.0K,19.94,22.66,13.64,1.61,8400722,12.03
ack,0.75,2.46,5.688,1.29,79.0K,69.0K,146.00%,183.90%,100.4M,40.8M,35.5M,1.92,78.05%,none,14.8,-0.43,0.35,67.76,4.92,0.17,none,0.04,2.75B,146.3M,-14.9M,-0.50%,4.50%,31-Dec,none,-0.37%,-2.09%,2.79,0.11,255.5M,3.65M,10.30%,3.56M,60.82,60.0K,2.4,3.41,42.08,1.61,133680,40.47
acla,4.313,5.05,17.75,none,207.7K,117.0K,-56.80%,-50.10%,180.7M,35.8M,15.0M,none,none,none,4.38,-1.78,-0.26,0.09,1.88,1.15,none,58.1,3.02M,-67.3M,-61.0M,none,none,31-Dec,none,-30.78%,-35.63%,3.42,0,67.2M,123.0K,0.80%,199.0K,0.7,176.0K,5.04,5.07,0.6,1.61,741888,-1.01
aclo,0.98,1.14,4.375,0.92,15.0K,26.0K,-55.20%,-48.30%,28.4M,24.9M,20.9M,none,none,none,1.71,-1.07,-0.35,2.54,0.97,0.67,none,0.45,63.0M,-6.96M,-26.6M,-42.10%,-20.90%,30-Apr,none,none,none,none,none,none,none,none,none,none,none,1.13,1.88,66.37,1.61,1356,64.76
acls,6.625,13.61,18.6,none,754.8K,373.0K,89.30%,118.60%,1.33B,97.4M,97.0M,none,none,none,4.99,0.29,-0.17,5.19,1.43,2.73,47.26,2.62,504.9M,12.6M,28.0M,5.60%,0.70%,31-Dec,none,4.53%,5.75%,3.87,0,139.7M,2.97M,3.10%,4.20M,3.37,881.0K,13.2,12.89,-2.35,1.61,3309240,-3.96
