Company,52-Week Low,Recent Price,52-Week High,Beta,Daily Volume (3-month avg),Daily Volume (10-day avg),52-Week Change,52-Week Change relative to S&P500,Market Capitalization,Shares Outstanding,Float,Annual Dividend,Dividend Yield,Last Split,Book Value,Earnings (ttm),Earnings (mrq),Sales (per share),Cash,Price/Book,Price/Earnings,Price/Sales,Sales (ttm),EBITDA,Income,Profit Margin,Operating Margin,Fiscal Year Ends,Most recent quarter,Return Assets,Return Equity,Current Ratio,Debt/Equity,Total Cash,Shares Short,Percent of Float,Shares Short (Prior Month),Short Ratio,Daily Volume,Start Price,End Price,Company Return,Market Return,DCV,Delta Return
a,18,27.27,68,none,2.25M,5.70M,-48.50%,-40.60%,12.6B,461.0M,368.8M,none,none,none,12.25,-0.89,-0.99,18.18,2.54,2.23,none,1.5,8.40B,-778.0M,-406.0M,-4.80%,-9.30%,31-Oct,none,-4.70%,-7.37%,2.35,0,1.17B,5.79M,1.60%,6.24M,3.88,1.49M,27.51,28.51,3.64,1.61,48533142,2.03
aa,27.36,38.6,45.71,1.18,3.41M,2.91M,33.10%,53.60%,32.8B,849.3M,738.9M,0.6,1.55%,none,12.67,1.65,0.39,28.05,0.57,3.05,23.35,1.38,24.4B,4.25B,1.44B,7.10%,10.40%,31-Dec,none,5.76%,13.07%,1.5,0.59,484.0M,12.0M,1.60%,10.4M,4.13,2.91M,37.85,35.57,-6.02,1.61,101714305,-7.63
aaab,7.679,19.15,21.952,0.28,"4,864","4,000",123.40%,157.90%,96.3M,5.03M,2.80M,none,none,none,8.55,0.21,0.08,6.3,2.64,2.24,92.96,3.04,27.9M,none,984.0K,3.50%,none,31-Dec,none,0.27%,2.96%,none,none,none,none,none,none,none,none,19.5,22.7,16.41,1.61,156000,14.8
aabc,5.969,7.6,9.4,0.33,500,0,24.10%,43.20%,9.64M,1.27M,600.0K,none,none,none,10.01,0.45,0.13,9.14,5.06,0.76,16.81,0.83,11.8M,none,587.0K,5.00%,41.60%,31-Dec,none,0.36%,4.85%,none,none,6.42M,0,none,0,none,"1,000",7.6,8,5.26,1.61,0,3.65
aac,0.7,1,4.5,0.28,68.3K,26.0K,-68.60%,-63.80%,25.0M,25.0M,10.5M,none,none,none,0.4,-0.41,-0.03,0.51,0.15,2.52,none,1.95,10.8M,-4.00M,-8.63M,-80.10%,-47.50%,31-Dec,none,-86.59%,-144.07%,0.61,0.13,3.17M,0,none,0,none,115.0K,1,0.75,-25,1.61,85400,-26.61
aacb,8.51,9.55,15.688,0.68,45.3K,57.0K,-30.50%,-19.80%,329.1M,34.5M,30.3M,none,none,none,12.32,0.69,0.11,16.28,0.02,0.78,13.82,0.59,569.6M,88.8M,23.3M,4.10%,12.90%,31-Mar,none,none,none,none,none,none,none,none,none,none,none,9.68,11.32,16.94,1.61,423984,15.33
aace,7.25,9.09,13.875,0.63,18.7K,39.0K,-17.40%,-4.60%,91.5M,10.1M,4.50M,none,none,none,5.56,0.11,0.2,20.52,13.08,1.64,79.74,0.44,208.4M,26.5M,1.21M,0.60%,1.00%,30-Jun,none,0.44%,2.19%,1,0.25,131.6M,10.0K,0.20%,0,1.11,"9,000",9.01,9.4,4.33,1.61,8109,2.72
aai,2.6,6.24,12.25,1.12,635.8K,310.0K,14.70%,32.50%,432.4M,69.3M,54.7M,none,none,none,0.74,0.34,-0.15,9.77,1.52,8.39,18.14,0.64,699.6M,92.6M,25.1M,3.60%,9.00%,31-Dec,none,4.79%,96.00%,0.98,5.59,105.7M,522.0K,1.00%,597.0K,1,521.0K,6.01,6.61,9.98,1.61,1027710,8.37
aaii,7.25,20.25,23.22,1.04,19.6K,20.0K,128.20%,163.40%,362.3M,17.9M,4.30M,none,none,none,4.13,0.07,0.04,6.77,0.12,4.91,311.54,2.99,122.1M,12.5M,1.21M,1.00%,4.10%,31-Dec,none,0.97%,1.77%,1.61,1,2.16M,54.0K,1.30%,27.0K,2.35,23.0K,20.5,25.16,22.73,1.61,463300,21.12
aala,0.25,0.7,2,-1.56,"2,182","5,000",24.30%,43.50%,8.48M,12.1M,5.10M,none,none,none,0.13,-0.23,-0.06,none,0.01,5.36,none,none,0,-1.54M,-2.42M,none,none,30-Jun,none,-19.08%,-97.57%,0.04,6.18,143.0K,0,none,0,none,"2,000",0.7,0.85,21.43,1.61,0,19.82
aame,0.75,1.8,3.1,0.35,12.5K,"4,000",-8.60%,5.50%,38.2M,21.2M,5.70M,none,none,none,4.19,0.12,0.08,7.64,2.86,0.43,14.52,0.24,161.7M,none,2.63M,2.50%,3.10%,31-Dec,none,1.03%,3.10%,none,0.49,60.6M,"2,000",0.00%,0,0.08,24.0K,1.8,2.204,22.44,1.61,0,20.84
aanb,8.125,14.96,15.1,0.39,"2,955","6,000",80.00%,107.70%,32.6M,2.18M,1.40M,0.48,3.21%,none,8.48,1.31,0.33,6.04,5,1.76,11.38,2.48,13.0M,none,2.84M,21.80%,none,31-Dec,none,1.75%,16.29%,none,none,none,none,none,none,none,none,14.8,16.95,14.53,1.61,140600,12.92
aaon,10.333,21.1,22.56,0.85,26.7K,19.0K,34.70%,55.50%,182.7M,8.66M,6.20M,none,none,none,5.28,1.53,0.39,17.73,0,3.99,13.78,1.19,161.5M,26.8M,13.9M,8.60%,14.00%,31-Dec,none,17.50%,34.40%,1.76,0.19,28.0K,53.0K,0.90%,13.0K,2.3,23.0K,20.75,24.47,17.93,1.61,37350,16.32
aap,40.15,42.85,43.4,none,none,none,none,none,1.40B,32.6M,3.60M,none,none,none,5.5,0.87,0.65,72.44,0.6,7.79,49.48,0.59,2.39B,194.0M,28.6M,1.20%,4.60%,30-Dec,none,none,none,none,none,none,none,none,none,none,none,42.85,49.5,15.52,1.61,2361035,13.91
aapl,13.625,21.3,27.12,1.32,5.15M,4.62M,24.80%,44.10%,7.47B,350.9M,312.3M,none,none,none,11.17,-0.14,0.18,15.26,12.36,1.91,none,1.4,5.36B,-344.0M,-37.0M,-0.70%,-6.40%,29-Sep,none,none,none,none,none,none,none,none,none,none,none,21.05,21.9,4.04,1.61,68155690,2.43
aatk,0.5,0.95,5.48,-1.35,552.9K,78.0K,-54.00%,-46.80%,4.30M,4.53M,3.40M,none,none,none,1.02,-0.43,-0.04,none,0.05,0.93,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,0.87,0.8,-8.05,1.61,69600,-9.65
aauk,9.46,14.95,18.25,0.99,156.1K,143.0K,17.70%,35.80%,35.0B,2.34B,1.62B,none,none,none,9.8,2.21,1.74,10.08,0.59,1.53,6.75,1.48,15.8B,4.32B,3.43B,27.00%,20.90%,31-Dec,none,14.29%,21.62%,1.45,0.17,964.0M,266.0K,0.00%,264.0K,1.51,176.0K,15.2,15.11,-0.59,1.61,2178160,-2.2
ab,0.75,0.97,2.05,0.99,682,0,-13.80%,-0.50%,3.11M,3.21M,600.0K,none,none,none,3.59,-2.59,-0.64,26.45,1.76,0.27,none,0.04,84.9M,4.44M,-8.30M,-9.80%,-4.80%,30-Jun,none,none,none,none,none,none,none,none,none,none,none,1.08,0.52,-51.85,1.61,3240,-53.46
abax,2.313,4.48,6.28,0.37,19.7K,27.0K,-26.10%,-14.70%,72.9M,16.3M,15.9M,none,none,none,0.79,-0.15,-0.01,1.79,0.15,5.69,none,2.5,29.3M,1.31M,-2.36M,-1.70%,-1.70%,31-Mar,none,-2.07%,-19.89%,2.3,0.23,2.46M,29.0K,0.20%,28.0K,1.45,20.0K,4.35,5.71,31.26,1.61,132675,29.66
abb,6.1,10.6,18.95,none,39.1K,43.0K,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,10.19,9.4,-7.75,1.61,285320,-9.36
abbk,8.875,15.3,17,0.86,"2,864","1,000",63.20%,88.40%,47.6M,3.11M,1.80M,0.4,2.61%,none,13.43,1.51,0.38,15.74,none,1.14,10.16,0.97,50.7M,none,4.85M,9.60%,41.70%,31-Dec,none,0.64%,13.40%,none,none,none,"6,000",0.30%,"5,000",2,"3,000",15.25,15.139,-0.73,1.61,6100,-2.34
abc,53.85,59.5,72,none,1.38M,1.11M,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,61.3,63.55,3.67,1.61,107287260,2.06
abcb,8,13.25,13.95,0.3,"7,545","7,000",60.60%,85.40%,132.5M,10.00M,8.90M,0.48,3.62%,none,10.49,1.14,0.27,8.42,8.09,1.26,11.63,1.57,74.3M,none,10.0M,13.50%,none,31-Dec,none,1.12%,11.50%,none,none,none,none,none,none,none,none,12.7,13.35,5.12,1.61,76200,3.51
