"Company","52-Week Low","Recent Price","52-Week High","Beta","Daily Volume (3-month avg)","Daily Volume (10-day avg)","52-Week Change","52-Week Change relative to S&P500","Market Capitalization","Shares Outstanding","Float","Annual Dividend","Dividend Yield","Last Split","Book Value","Earnings (ttm)","Earnings (mrq)","Sales (per share)","Cash","Price/Book","Price/Earnings","Price/Sales","Sales (ttm)","EBITDA","Income","Profit Margin","Operating Margin","Fiscal Year Ends","Most recent quarter","Return Assets","Return Equity","Current Ratio","Debt/Equity","Total Cash","Shares Short","Percent of Float","Shares Short (Prior Month)","Short Ratio","Daily Volume","Start Price","End Price","Company Return","Market Return","DCV","Delta Return"
"STD","7.15","8.40","12.97","1.94","9,205,880","5,578,720","-33.65%","-38.69%","52.64B","6.27B","6.12B","0.60","7.10%","Jun 21, 1999","16.35","1.12","1.12","5.09","58.13","0.51","7.52","1.15","45.61B","N/A","10.11B","22.10%","34.29%","Dec 31","Jun 30, 2011","0.67%","10.37%","N/A","N/A","364.23B","24.49M","N/A","17.57M","3.00","3,643,942","8.08","7.48","-7.43","17.39","51872080.96","-24.82"
"STE","27.49","30.59","38.00","0.78","446,918","404,512","-9.84%","-14.88%","1.81B","59.27M","53.80M","0.68","2.20%","Aug 25, 1998","13.75","2.07","2.07","22.56","2.63","2.20","14.75","1.34","1.34B","252.13M","125.21M","9.36%","14.68%","Mar 31","Jun 30, 2011","9.15%","16.57%","2.18","25.74","156.12M","4.17M","7.80%","4.21M","10.90","320,472","29.82","30.07","0.84","17.39","15472763.04","-16.56"
"STEC","8.32","11.23","25.44","1.60","2,059,610","1,038,560","-29.64%","-34.68%","579.57M","51.61M","43.13M","N/A","N/A","N/A","6.90","1.05","1.05","6.99","4.13","1.59","10.72","1.58","357.39M","70.25M","54.96M","15.37%","16.23%","Dec 31","Jun 30, 2011","10.06%","17.18%","8.49","N/A","213.29M","10.59M","N/A","10.62M","6.90","794,822","10.97","9.12","-16.86","17.39","11304102.32","-34.26"
"STEI","5.14","6.27","8.39","1.90","527,730","473,650","10.78%","5.74%","562.30M","89.68M","77.40M","0.14","2.20%","Apr 27, 1998","4.81","0.43","0.43","5.60","0.75","1.29","14.45","1.10","508.59M","100.20M","38.42M","7.69%","14.42%","Oct 31","Jul 31, 2011","2.13%","9.02%","2.31","72.85","67.24M","12.46M","17.80%","12.49M","22.20","508,799","6.15","6.22","1.14","17.39","3851837.25","-16.26"
"STEL","9.13","10.96","15.91","1.15","62,932","57,150","-15.30%","-20.34%","252.06M","23.00M","22.38M","0.16","1.30%","Sep 7, 2006","17.73","0.49","0.49","4.88","5.83","0.62","22.37","2.26","111.01M","N/A","11.13M","11.94%","20.62%","Dec 31","Jun 30, 2011","0.45%","3.11%","N/A","N/A","134.04M","935.05K","N/A","923.29K","15.30","60,126","11.31","12.26","8.40","17.39","784631.25","-8.99"
"STEM","1.70","1.96","12.70","-0.01","114,820","50,813","-77.98%","-83.02%","27.20M","13.88M","13.01M","N/A","N/A","Jul 6, 2011","1.22","-1.84","-1.84","0.11","1.13","1.63","N/A","19.52","1.41M","-27.58M","-24.29M","N/A","-2,054.21%","Dec 31","Jun 30, 2011","-52.62%","-108.39%","3.68","3.95","15.66M","342.96K","2.50%","223.10K","2.10","22,572","1.9701","1.74","-11.68","17.39","109549.38","-29.07"
"STFC","11.83","13.03","18.35","1.05","56,979","63,125","-17.95%","-22.99%","524.77M","40.27M","15.23M","0.60","4.50%","Jul 9, 1998","16.78","-3.77","-3.77","36.42","2.32","0.77","N/A","0.36","1.46B","-73.20M","-150.90M","-10.32%","-5.40%","Dec 31","Jun 30, 2011","-1.81%","-20.26%","0.25","17.28","93.40M","516.34K","N/A","501.32K","8.00","91,380","12.58","11.92","-5.25","17.39","543632.12","-22.64"
"STI","16.51","19.39","33.14","1.63","8,344,630","9,936,740","-23.60%","-28.64%","10.31B","531.93M","498.07M","0.20","1.00%","May 22, 1996","37.65","1.05","1.05","13.73","22.16","0.50","18.41","1.41","7.07B","N/A","538.00M","10.71%","22.62%","Dec 31","Sep 30, 2011","0.45%","3.54%","N/A","N/A","11.79B","17.86M","3.60%","16.69M","2.30","5,847,371","18.75","18.13","-3.31","17.39","179149237.50","-20.70"
"STIP","none","102.25","none","none","none","none","none","none","3.69%","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","iShares","222.75M","none","none","none","none","none","none","none","none","none","9,682","102.79","102.48","-0.30","17.39","2591747.06","-17.70"
"STJ","33.54","40.52","54.18","0.85","3,713,330","4,070,780","5.30%","0.26%","13.24B","326.82M","319.71M","0.84","2.00%","Nov 23, 2004","13.57","2.75","2.75","16.91","2.94","3.00","14.73","2.39","5.56B","1.69B","907.24M","16.33%","25.08%","Jan 1","Oct 1, 2011","10.56%","21.04%","3.44","67.68","959.53M","6.32M","2.00%","6.01M","1.90","3,239,690","37.63","38.44","2.15","17.39","260872195.17","-15.24"
