"Company","52-Week Low","Recent Price","52-Week High","Beta","Daily Volume (3-month avg)","Daily Volume (10-day avg)","52-Week Change","52-Week Change relative to S&P500","Market Capitalization","Shares Outstanding","Float","Annual Dividend","Dividend Yield","Last Split","Book Value","Earnings (ttm)","Earnings (mrq)","Sales (per share)","Cash","Price/Book","Price/Earnings","Price/Sales","Sales (ttm)","EBITDA","Income","Profit Margin","Operating Margin","Fiscal Year Ends","Most recent quarter","Return Assets","Return Equity","Current Ratio","Debt/Equity","Total Cash","Shares Short","Percent of Float","Shares Short (Prior Month)","Short Ratio","Daily Volume","Start Price","End Price","Company Return","Market Return","DCV","Delta Return"
"A","26.96","34.88","39.54","2.68","2,544,710","2,341,170","15.87%","0.79%","14.25B","408.68M","403.12M","N/A","N/A","N/A","9.271","6.86","6.86","12.408","5.503","3.82","5.08","2.57","5.63B","1.77B","1.33B","56.57%","10.72%","31-Oct","31-Jul-06","13.20%","34.26%","2.513","0.396","2.25B","3.84M","0.90%","4.98M","1.5","2,361,900","34.09","31.84","-6.60","2.40","108003938.00","-9.00"
"AA","23.58","28.30","36.96","2.09","6,976,850","8,492,180","15.67%","0.59%","24.54B","867.08M","865.43M","0.60","2.20%","12-Jun-00","16.896","2.41","2.41","34.115","0.648","1.63","11.73","0.81","29.67B","5.01B","2.09B","7.12%","12.50%","31-Dec","30-Sep-06","6.68%","14.76%","1.038","0.54","562.00M","15.43M","1.80%","15.18M","2.8","12,198,700","28.33","31.17","10.02","2.40","230954659.00","7.63"
"AAA","51.84","55.50","63.90","0.38","10,262.1","8,077.78","0.56%","-14.52%","7.55B","135.98M","65.53M","1.05","1.90%","N/A","19.48","4.21","4.21","33.92","5.279","2.86","13.18","1.65","4.61B","1.07B","571.95M","12.41%","19.21%","31-Dec","30-Jun-06","13.33%","23.16%","1.638","0.166","717.80M","15.69K","N/A","30.68K","2.4","5,100","55.89","58.51","4.69","2.40","391230.00","2.29"
"AAC","0.20","0.27","0.53","3.62","619,864","1,185,630","-35.71%","-50.79%","16.85M","62.41M","58.65M","N/A","N/A","07-Sep-99","0.213","0.012","0.012","0.104","0.031","1.27","22.50","2.59","6.51M","-202.18K","739.02K","11.36%","-5.77%","31-Dec","30-Jun-06","-1.84%","5.84%","65.799","N/A","1.92M","22.21K","N/A","12.62K","0","482,300","0.26","0.24","-7.69","2.40","39182.00","-10.09"
"AACC","14.03","17.50","26.85","0.92","173,535","170,689","-32.14%","-47.22%","651.35M","37.22M","14.85M","N/A","N/A","N/A","7.406","1.20","1.20","6.754","1.487","2.38","14.56","2.60","251.35M","N/A","44.81M","17.83%","28.07%","31-Dec","30-Jun-06","13.73%","17.76%","19.329","0","55.34M","1.19M","4.40%","1.18M","6.1","60,847","17.18","16.65","-3.08","2.40","2253930.10","-5.48"
"AAI","9.06","10.20","18.85","0.63","1,965,290","2,478,560","-23.29%","-38.37%","926.90M","90.87M","90.09M","N/A","N/A","22-Nov-95","4.439","0.214","0.214","19.445","4.545","2.46","47.66","0.57","1.73B","67.82M","18.13M","1.05%","2.39%","31-Dec","30-Jun-06","2.08%","4.94%","1.185","1.591","413.05M","15.34M","17.10%","12.05M","8.3","2,995,500","9.76","12.43","27.36","2.40","18530336.00","24.96"
"AAME","2.25","2.72","3.45","-0.03","3,140.91","4,144.44","13.89%","-1.19%","58.38M","21.46M","5.69M","N/A","N/A","N/A","3.678","-0.07","-0.07","8.296","0.187","0.78","N/A","0.35","177.29M","2.75M","-1.56M","-0.20%","0.95%","31-Dec","30-Jun-06","0.24%","-0.43%","1.003","0.683","4.00M","1.49K","N/A","3.58K","0.6","10,864","2.58","2.85","10.47","2.40","7577.46","8.07"
"AANB","12.80","13.75","15.74","0.18","1,978.79","1,555.56","-8.69%","-23.77%","47.60M","3.46M","2.26M","0.50","3.80%","30-Dec-04","8.187","0.84","0.84","5.04","6.846","1.66","16.43","2.70","17.40M","N/A","2.89M","16.64%","42.57%","31-Dec","30-Jun-06","0.92%","10.72%","N/A","N/A","23.70M","2.04K","0.10%","2.45K","1","1,200","13.33","13.40","0.53","2.40","14143.13","-1.87"
"AAON","16.12","23.25","28.96","1.36","23,654.5","16,811.1","46.83%","31.75%","288.11M","12.39M","8.62M","0.20","0.80%","05-Jun-02","6.879","0.97","0.97","17.053","0.086","3.50","24.07","1.42","209.78M","28.01M","12.25M","5.84%","9.08%","31-Dec","30-Jun-06","10.17%","15.23%","1.834","0.028","1.07M","385.30K","4.20%","391.90K","18.5","14,393","21.48","27.92","29.98","2.40","931501.68","27.58"
"AAP","27.65","35.85","45.50","1.68","1,107,880","1,078,830","1.45%","-13.63%","3.77B","105.12M","98.10M","0.24","0.70%","26-Sep-05","8.886","2.17","2.17","41.589","0.125","4.10","16.51","0.85","4.48B","550.48M","237.17M","5.29%","9.20%","31-Dec","15-Jul-06","10.28%","26.30%","1.281","0.64","13.13M","2.72M","2.70%","2.02M","2.5","650,600","34.46","35.60","3.31","2.40","50732012.00","0.91"
"AAPL","50.16","80.41","86.40","1.96","27,932,200","25,752,400","48.33%","33.25%","68.69B","854.19M","843.68M","N/A","N/A","28-Feb-05","11.752","2.27","2.27","22.883","11.836","6.99","35.41","3.63","19.32B","2.80B","1.99B","10.32%","12.71%","30-Sep","30-Sep-06","11.36%","22.77%","2.247","N/A","10.11B","32.28M","3.80%","28.26M","1.2","21,214,898","79.16","91.66","15.79","2.40","1704469003.68","13.39"
"AAR","none","23.77","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","24,600","24.00","24.11","0.46","2.40","285600.00","-1.94"
