"Company","52-Week Low","Recent Price","52-Week High","Beta","Daily Volume (3-month avg)","Daily Volume (10-day avg)","52-Week Change","52-Week Change relative to S&P500","Market Capitalization","Shares Outstanding","Float","Annual Dividend","Dividend Yield","Last Split","Book Value","Earnings (ttm)","Earnings (mrq)","Sales (per share)","Cash","Price/Book","Price/Earnings","Price/Sales","Sales (ttm)","EBITDA","Income","Profit Margin","Operating Margin","Fiscal Year Ends","Most recent quarter","Return Assets","Return Equity","Current Ratio","Debt/Equity","Total Cash","Shares Short","Percent of Float","Shares Short (Prior Month)","Short Ratio","Daily Volume","Start Price","End Price","Company Return","Market Return","DCV","Delta Return"
"AATI","4.90","6.12","15.75","0.79","440,962","447,600","-52.15%","-67.23%","268.75M","43.91M","37.68M","N/A","N/A","N/A","3.357","0.09","0.09","2.024","2.905","1.73","71.16","3.20","79.66M","11.98M","3.93M","4.94%","8.66%","31-Dec","30-Jun-06","6.19%","4.19%","11.494","N/A","127.57M","1.81M","4.50%","2.02M","13","1,481,682","6.00","5.54","-7.67","2.40","5652918.00","-10.07"
"AATK","0.94","1.09","2.08","2.04","12,942.4","22,011.1","-37.36%","-52.44%","8.26M","7.58M","7.20M","N/A","N/A","N/A","0.812","0.00","0.00","1.184","0.128","1.34","545.00","0.94","8.78M","587.01K","11.96K","0.14%","-0.29%","31-Dec","30-Jun-06","0.24%","0.20%","4.899","N/A","970.17K","8.35K","0.10%","3.62K","0.7","24,202","1.14","1.06","-7.02","2.40","10926.90","-9.42"
"AAU","1.60","2.42","3.30","0","51,792.4","40,455.6","N/A","none","104.49M","43.18M","40.20M","N/A","N/A","N/A","0.564","-0.05","-0.05","N/A","0.416","4.29","N/A","N/A","N/A","-1.53M","-1.75M","N/A","N/A","31-Dec","30-Jun-06","-9.18%","-10.78%","36.57","N/A","17.94M","411","N/A","18.64K","0","9,200","2.59","2.56","-1.16","2.40","241388.00","-3.56"
"AAUK","none","22.52","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","","none","none","none","none","N/A","54.5%","0","0","none","none","none","none","none","none","none","none","none","584,827","22.85","23.39","2.36","2.40","40652412.15","-0.04"
"AAV","10.73","14.25","24.78","0","659,542","861,200","-13.61%","-28.69%","1.47B","103.40M","99.70M","2.16","15.20%","N/A","10.245","1.37","1.37","4.535","N/A","1.40","10.41","5.53","268.13M","192.20M","81.21M","30.29%","28.59%","31-Dec","30-Jun-06","3.46%","11.84%","0.884","0.619","N/A","421.77K","N/A","628.16K","0.9","482,000","12.28","12.62","2.77","2.40","32211668.00","0.37"
"AAWW","30.00","45.87","52.00","-0.96","120,656","190,089","N/A","none","919.65M","20.05M","14.39M","N/A","N/A","N/A","18.580999","3.07","3.07","76.977","15.543","2.50","14.93","0.59","1.57B","199.40M","64.33M","4.09%","10.01%","31-Dec","30-Jun-06","8.71%","19.23%","1.615","1.489","311.62M","1.17M","6.00%","1.06M","12.8","112,881","44.66","42.34","-5.19","2.40","2762310.32","-7.59"
"AB","49.92","76.25","78.00","0.43","260,171","367,711","51.97%","36.89%","6.43B","84.27M","82.45M","3.56","4.80%","03-Apr-98","17.478001","3.43","3.43","3.827","N/A","4.41","22.22","20.48","317.06M","337.76M","286.67M","90.42%","100.00%","31-Dec","30-Jun-06","13.96%","20.31%","N/A","N/A","N/A","620.43K","0.80%","619.89K","3.8","279,200","77.08","76.49","-0.77","2.40","38200848.00","-3.16"
"ABA","none","25.88","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","12,500","25.79","26.04","0.97","2.40","634434.00","-1.43"
"ABAX","15.15","20.14","26.85","2.16","271,233","383,133","23.51%","8.43%","414.38M","20.58M","19.99M","N/A","N/A","N/A","3.691","0.41","0.41","3.736","1.746","5.62","49.12","5.69","75.01M","15.31M","8.88M","11.83%","17.17%","31-Mar","30-Jun-06","10.25%","12.81%","6.855","N/A","35.92M","2.61M","13.20%","3.02M","17.4","252,741","19.49","19.31","-0.92","2.40","5284927.89","-3.32"
"ABB","6.97","15.01","14.94","0.35","2,603,610","3,285,110","111.84%","96.76%","31.88B","2.12B","2.12B","0.08","0.50%","N/A","2.53","0.46","0.46","11.24","1.68","5.87","32.63","1.37","23.11B","2.73B","1.18B","4.25%","9.30%","31-Dec","30-Jun-06","5.77%","27.96%","1.345","0.607","3.57B","5.71M","N/A","3.61M","2.5","2,411,900","14.75","16.28","10.37","2.40","22231200.00","7.97"
"ABBC","11.92","15.98","16.28","0.97","13,522.7","8,744.44","33.80%","18.72%","244.30M","15.29M","6.26M","0.24","1.50%","N/A","7.221","0.44","0.44","1.668","2.031","2.23","36.48","9.82","25.08M","N/A","6.67M","26.61%","46.89%","Financial","Savings & Loans","0.79%","5.79%","N/A","N/A","31.04M","252.97K","1.70%","265.26K","19.1","7,856","16.00","19.48","21.75","2.40","238304.00","19.35"
"ABBI","19.48","26.82","48.90","-0.9","414,415","230,311","-36.07%","-51.15%","4.44B","165.63M","54.06M","N/A","N/A","03-Sep-03","6.201","-0.27","-0.27","7.976","0.328","4.43","N/A","7.86","578.50M","186.49M","-19.40M","-3.35%","26.13%","31-Dec","30-Jun-06","9.05%","-2.85%","1.648","0.249","54.28M","4.73M","3.80%","4.50M","14.5","249,978","26.25","26.82","2.17","2.40","5157442.50","-0.23"
"ABC","36.67","46.73","48.96","0.38","1,144,800","858,500","26.61%","11.53%","9.42B","201.56M","200.52M","0.10","0.20%","29-Dec-05","21.021999","1.74","1.74","287.12","8.227","2.21","26.81","0.16","59.48B","802.96M","367.38M","0.61%","1.17%","30-Sep","30-Jun-06","3.67%","8.73%","1.251","0.256","1.66B","0","N/A","0","0","1,037,700","47.14","45.99","-2.44","2.40","139812526.00","-4.84"
"ABCB","18.31","27.82","29.39","1.11","36,687.9","26,133.3","51.60%","36.52%","362.36M","13.03M","12.25M","0.56","2.00%","11-Mar-05","12.321","1.47","1.47","6.236","15.524","2.27","18.89","4.57","79.81M","N/A","19.09M","23.92%","59.29%","31-Dec","30-Sep-06","1.15%","13.30%","N/A","N/A","202.21M","469.36K","3.80%","496.53K","19.3","34,735","27.31","27.91","2.20","2.40","772244.87","-0.20"
"ABCO","44.50","54.28","57.27","0.69","93,354.5","62,266.7","22.32%","7.24%","1.02B","18.86M","18.86M","N/A","N/A","N/A","8.018","1.28","1.28","9.018","0.872","6.99","42.37","6.20","170.51M","45.99M","25.41M","14.90%","24.01%","31-Mar","30-Jun-06","10.67%","17.05%","0.712","N/A","16.44M","1.31M","7.00%","1.31M","15.9","108,513","53.11","55.47","4.44","2.40","9939217.84","2.04"
"ABCW","28.11","29.07","32.78","0.8","45,312.1","33,088.9","-3.11%","-18.19%","637.45M","21.93M","18.37M","0.68","2.30%","25-Aug-98","14.907","2.00","2.00","8.82","5.443","1.98","14.56","3.41","190.07M","N/A","43.77M","23.03%","64.17%","31-Mar","30-Jun-06","1.03%","13.64%","N/A","N/A","119.36M","904.87K","4.60%","927.06K","23","21,265","28.51","28.66","0.53","2.40","1456889.51","-1.87"
"ABD","17.95","24.20","25.50","0.41","295,908","278,478","0.65%","-14.43%","1.30B","53.52M","45.25M","N/A","N/A","N/A","7.551","0.41","0.41","36.921","0.77","3.27","59.61","0.71","1.87B","170.30M","20.80M","1.11%","6.03%","31-Dec","30-Jun-06","5.53%","4.38%","1.729","2.161","41.20M","4.26M","8.00%","4.49M","15.4","329,700","24.36","25.39","4.23","2.40","7422492.00","1.83"
"ABER","none","36.72","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","0.57","none","none","none","none","-33.3%","N/A","0","0","none","none","none","none","none","none","none","none","none","17,367","36.85","36.85","0.00","2.40","1759992.85","-2.40"
"ABFS","36.41","41.15","50.67","1.6","547,033","953,722","12.16%","-2.92%","1.03B","25.08M","21.53M","0.60","1.50%","N/A","24.395","3.91","3.91","78.781","5.805","1.68","10.53","0.52","1.99B","215.44M","97.68M","5.04%","7.31%","31-Dec","30-Sep-06","9.95%","17.19%","1.418","0.039","145.61M","3.12M","13.60%","2.52M","8.4","836,449","40.45","37.90","-6.30","2.40","25119288.20","-8.70"
"ABG","15.63","23.80","24.59","0.41","352,632","506,556","53.53%","38.45%","790.09M","33.20M","13.49M","0.80","3.30%","N/A","17.740999","2.01","2.01","174.705","2.684","1.37","11.85","0.14","5.75B","202.69M","66.04M","1.17%","3.13%","31-Dec","30-Jun-06","5.90%","12.10%","1.464","1.964","89.10M","655.30K","2.10%","639.36K","8.3","812,600","23.52","23.54","0.09","2.40","9151632.00","-2.31"
"ABI","23.10","37.63","39.49","1.06","1,126,600","1,318,210","55.24%","40.16%","6.86B","182.24M","181.31M","0.17","0.40%","22-Feb-00","8.147","1.43","1.43","10.22","2.052","4.60","26.24","3.57","1.91B","388.43M","275.22M","14.40%","16.29%","30-June","30-Jun-06","8.64%","18.53%","1.767","N/A","373.92M","5.26M","2.90%","5.70M","4.9","1,204,600","36.86","36.44","-1.14","2.40","41777124.00","-3.54"
"ABIX","6.54","6.81","18.50","5.17","13,383.3","18,233.3","-32.68%","-47.76%","11.65M","1.71M","869.09K","N/A","N/A","N/A","6.811","1.25","1.25","42.915","0.231","1.01","5.44","0.16","73.43M","4.41M","2.14M","2.91%","5.37%","31-Dec","30-Jun-06","10.99%","20.22%","1.816","0.607","395.05K","4.93K","0.60%","6.49K","0.4","9,373","7.08","6.47","-8.62","2.40","55924.92","-11.02"
"ABK","68.11","83.97","87.50","1.5","772,977","772,289","24.40%","9.32%","8.89B","105.92M","104.93M","0.72","0.90%","13-Dec-00","53.217999","7.80","7.80","16.782","4.481","1.60","10.77","5.02","1.79B","1.23B","839.08M","46.86%","68.28%","31-Dec","30-Jun-06","3.84%","15.36%","0.284","0.417","474.59M","1.43M","1.40%","1.72M","2","660,800","83.57","85.64","2.48","2.40","60588250.00","0.08"
"ABL","9.08","10.25","13.09","0.54","678.788","66.6667","-11.11%","-26.19%","35.27M","3.44M","1.29M","N/A","N/A","12-Jul-94","5.885","-0.60","-0.60","132.886","5.274","1.70","N/A","0.08","457.39M","46.12M","-1.90M","-0.45%","6.58%","31-Dec","30-Jun-06","5.31%","-8.54%","1.314","7.2","18.15M","340","N/A","840","0.3","400","","","0.00","2.40","0.00","-2.40"
"ABM","16.11","19.73","21.89","1.25","178,648","126,467","3.06%","-12.02%","966.12M","48.97M","43.44M","0.44","2.20%","07-May-02","10.049","0.81","0.81","54.537","1.053","1.98","24.51","0.36","2.67B","97.33M","40.13M","1.50%","2.77%","31-Oct","31-Jul-06","5.33%","8.32%","1.96","N/A","51.54M","2.79M","5.90%","3.19M","17.2","101,100","19.74","20.77","5.22","2.40","3109050.00","2.82"
"ABMC","0.85","0.95","1.26","1.57","30,631.8","27,844.4","-11.22%","-26.30%","20.39M","21.46M","17.97M","N/A","N/A","N/A","0.268","-0.02","-0.02","0.627","0.028","3.54","N/A","1.52","13.37M","-50.00K","-490.00K","-3.66%","-3.22%","31-Dec","30-Jun-06","-3.39%","-8.30%","4.764","0.145","591.00K","1.79K","N/A","13.10K","0.1","11,475","0.98","0.90","-8.16","2.40","4557.00","-10.56"
"ABMD","7.81","14.43","16.19","1.34","147,155","111,700","79.68%","64.60%","383.33M","26.57M","21.99M","N/A","N/A","02-Oct-00","2.527","-0.65","-0.65","1.839","0.933","5.74","N/A","7.98","48.26M","-12.14M","-17.07M","-35.38%","-34.79%","31-Mar","30-Jun-06","-11.78%","-23.47%","5.728","N/A","24.80M","2.02M","8.30%","1.92M","11","85,910","13.14","12.61","-4.03","2.40","2950613.28","-6.43"
"ABN","22.95","29.24","31.34","1.42","253,111","188,122","28.29%","13.21%","55.32B","1.89B","1.89B","1.05","3.50%","13-May-97","15.24","3.02","3.02","17.48","147.889","1.94","9.68","1.71","32.90B","N/A","5.71B","17.50%","35.51%","31-Dec","30-Jun-06","0.54%","21.77%","N/A","N/A","279.81B","508.52K","N/A","672.92K","2","219,900","28.96","30.10","3.94","2.40","6162688.00","1.54"
"ABNJ","9.77","12.20","12.39","0","20,477.3","52,400","21.64%","6.56%","173.26M","14.20M","4.26M","0.16","1.30%","N/A","8.828","0.47","0.47","2.829","0.44","1.38","25.90","12.62","13.73M","N/A","2.34M","17.03%","34.64%","Financial","Savings & Loans","0.49%","2.79%","N/A","N/A","6.25M","11.91K","0.10%","10.40K","1.1","16,892","12.23","12.20","-0.25","2.40","240931.00","-2.64"
"ABP","2.90","3.69","7.43","5.01","247,670","166,311","-36.13%","-51.21%","157.33M","42.64M","39.47M","N/A","N/A","N/A","-0.49","0.211","0.211","1.375","0.001","N/A","17.49","2.80","57.78M","39.39M","9.45M","16.27%","45.90%","31-Dec","30-Jun-06","14.13%","N/A","0.631","N/A","52.00K","1.17M","3.10%","1.33M","6.1","99,800","3.40","4.22","24.12","2.40","371960.00","21.72"
"ABPI","1.96","3.17","8.86","0","148,876","885,833","N/A","none","99.30M","31.32M","16.87M","N/A","N/A","N/A","-0.345","-2.00","-2.00","1.273","0.006","N/A","N/A","3.87","27.09M","-26.35M","-42.20M","-156.43%","-108.65%","30-Sep","30-Jun-06","-47.12%","N/A","0.367","N/A","189.27K","112.91K","0.50%","104.61K","5.2","198,304","3.25","3.36","3.38","2.40","431310.75","0.99"
"ABR","23.26","27.71","28.10","1.56","78,165.1","57,966.7","3.84%","-11.24%","478.47M","17.27M","15.73M","2.28","8.20%","N/A","17.381001","2.51","2.51","4.143","0.37","1.60","11.04","6.80","70.80M","N/A","42.97M","60.68%","69.98%","31-Dec","30-Jun-06","3.00%","14.72%","4.817","4.275","6.39M","777.36K","5.00%","828.34K","11.6","35,300","27.98","28.24","0.93","2.40","5833830.00","-1.47"
"ABT","37.50","47.67","49.87","-0.05","5,195,980","5,154,700","12.84%","-2.24%","72.83B","1.53B","1.53B","1.18","2.40%","01-Jun-98","9.939","2.06","2.06","14.578","0.718","4.82","23.19","3.28","22.31B","6.96B","3.17B","14.21%","21.08%","31-Dec","30-Sep-06","N/A","N/A","N/A","N/A","1.10B","13.54M","0.90%","13.97M","2.8","4,887,300","47.42","46.66","-1.60","2.40","187878040.00","-4.00"
"ABTL","2.55","3.40","5.55","2.87","179,348","85,711.1","-20.14%","-35.22%","144.33M","42.45M","41.18M","N/A","N/A","N/A","2.719","-0.39","-0.39","2.824","0.898","1.24","N/A","1.20","119.00M","-12.05M","-16.50M","-13.86%","-15.43%","31-Dec","30-Jun-06","-6.86%","-13.47%","2.953","N/A","38.14M","1.98M","4.80%","1.96M","8.1","30,083","3.25","3.02","-7.08","2.40","343645.25","-9.48"
"ABV","33.90","42.73","49.25","1.93","429,695","581,833","24.06%","8.98%","27.77B","649.87M","649.87M","1.11","2.60%","N/A","14.093","2.94","2.94","13.792","1.131","3.08","14.53","3.65","7.70B","3.16B","1.65B","21.37%","25.51%","31-Dec","30-Jun-06","8.39%","19.21%","1.183","0.348","735.02M","1.31M","N/A","1.76M","3.3","837,400","44.58","46.11","3.43","2.40","35650626.00","1.03"
"ABVA","13.91","17.08","17.47","1.14","4,563.64","1,500","18.46%","3.38%","94.49M","5.53M","4.93M","N/A","N/A","07-Jun-06","8.918","0.82","0.82","4.387","12.543","1.92","20.75","3.90","24.25M","N/A","4.86M","20.02%","52.25%","31-Dec","30-Jun-06","0.72%","9.91%","N/A","N/A","69.40M","3.68K","0.10%","3.70K","0.6","1,173","16.50","16.20","-1.82","2.40","233062.50","-4.22"
"ABX","24.58","29.91","36.03","1.1","4,558,670","4,623,760","15.77%","0.69%","25.84B","863.90M","861.91M","0.22","0.70%","02-Mar-93","15.363","1.42","1.42","6.209","1.655","1.98","21.11","6.25","4.21B","1.95B","972.00M","23.05%","32.00%","31-Dec","30-Jun-06","6.32%","11.51%","1.53","0.28","1.43B","14.78M","N/A","16.50M","3.8","4,817,000","30.99","31.44","1.45","2.40","243826221.00","-0.95"
"ABXA","4.94","5.66","8.50","3.07","342,988","366,033","-27.12%","-42.20%","329.81M","58.27M","57.85M","N/A","N/A","N/A","2.238","0.53","0.53","24.701","1.258","2.53","10.68","0.23","1.44B","81.99M","31.03M","2.16%","2.66%","31-Dec","30-Jun-06","4.74%","26.72%","0.676","1.301","73.31M","2.30M","4.00%","2.50M","7.4","269,458","5.71","6.33","10.86","2.40","1218828.05","8.46"
"ABY","2.27","2.52","4.53","2.54","701,670","1,073,400","-21.54%","-36.62%","1.11B","440.00M","394.94M","0.09","3.50%","N/A","4.968","-0.27","-0.27","10.41","0.032","0.49","N/A","0.23","4.58B","717.08M","-111.96M","-2.56%","3.20%","31-Dec","30-Jun-06","1.18%","-4.94%","1.338","1.509","14.22M","3.06M","N/A","2.93M","8.1","2,556,700","2.43","2.36","-2.88","2.40","2235600.00","-5.28"
"ACAD","5.07","9.57","17.94","1.21","212,191","153,689","-8.95%","-24.03%","284.56M","29.74M","22.22M","N/A","N/A","N/A","2.978","-1.77","-1.77","0.426","3.166","3.25","N/A","27.30","10.53M","-36.90M","-43.90M","N/A","-378.15%","31-Dec","30-Jun-06","-24.91%","-58.65%","4.452","0.019","94.14M","2.30M","7.90%","1.91M","7.8","414,643","9.17","9.36","2.07","2.40","1115998.17","-0.33"
"ACAM","4.77","5.47","8.22","1.65","14,209.1","28,722.2","-31.17%","-46.25%","293.39M","53.64M","49.85M","N/A","N/A","24-Feb-04","2.04","-1.45","-1.45","1.37","1.416","2.71","N/A","4.04","73.48M","-62.39M","-77.81M","-105.88%","-98.21%","31-Dec","30-Jun-06","-20.94%","-52.01%","2.089","0.173","75.93M","65.19K","N/A","17.93K","5.1","171,361","5.48","4.03","-26.46","2.40","329183.60","-28.86"
"ACAP","41.42","53.55","54.39","0.71","37,848.5","28,677.8","27.65%","12.57%","423.63M","7.91M","6.87M","N/A","N/A","N/A","32.555","4.91","4.91","24.573","6.474","1.66","10.91","2.09","200.77M","68.14M","41.03M","20.43%","32.18%","31-Dec","30-Sep-06","3.65%","15.61%","2.59","0.116","50.44M","340.69K","5.00%","337.24K","12.4","32,016","53.20","39.92","-24.96","2.40","2228867.20","-27.36"
"ACAS","29.65","42.82","42.85","1.05","996,152","953,100","16.71%","1.63%","6.09B","142.20M","140.16M","3.32","7.90%","N/A","27.625","5.30","5.30","6.059","1.212","1.55","8.08","8.61","707.13M","546.92M","625.25M","88.57%","75.78%","31-Dec","30-Jun-06","5.79%","20.73%","0.603","0.879","172.35M","6.78M","4.90%","7.30M","7.2","1,093,144","42.74","45.26","5.90","2.40","56338414.84","3.50"
"ACAT","15.52","17.51","25.75","2.06","117,729","154,211","-2.82%","-17.90%","337.52M","19.28M","11.93M","0.28","1.60%","06-Sep-94","9.473","0.96","0.96","37.003","0.776","1.89","18.32","0.48","721.29M","49.57M","18.77M","2.60%","3.58%","31-Mar","30-Jun-06","5.24%","10.36%","1.719","0.143","14.96M","1.90M","10.20%","1.77M","26","96,603","17.37","16.56","-4.66","2.40","4001700.60","-7.06"
"ACBA","10.97","11.76","13.83","1.23","5,054.55","4,188.89","0.06%","-15.02%","81.39M","6.92M","6.10M","0.20","1.80%","22-Feb-06","7.6","0.63","0.63","2.914","2.367","1.53","18.55","4.03","19.95M","N/A","4.63M","23.23%","56.79%","31-Dec","30-Jun-06","1.05%","9.10%","N/A","N/A","16.38M","1.62K","N/A","30","0.5","4,500","11.70","11.05","-5.56","2.40","29250.00","-7.96"
"ACC","22.40","26.42","28.58","1.16","136,350","86,566.7","11.77%","-3.31%","454.61M","17.21M","15.77M","1.35","5.10%","N/A","13.601","0.26","0.26","6.127","0.551","1.95","100.84","4.33","105.25M","46.96M","4.86M","4.62%","24.61%","31-Dec","30-Jun-06","2.44%","2.64%","1.799","2.183","9.48M","815.95K","4.80%","761.70K","9.9","115,500","26.24","29.70","13.19","2.40","2183168.00","10.79"
"ACCL","5.00","6.15","8.74","2.73","53,031.8","50,411.1","-0.79%","-15.87%","161.65M","26.28M","25.86M","N/A","N/A","N/A","2.471","-0.24","-0.24","3.125","2.112","2.55","N/A","2.02","81.75M","2.18M","-6.17M","-7.55%","-4.64%","31-Mar","30-Jun-06","-1.31%","-7.94%","1.2","N/A","55.52M","130.69K","0.50%","127.35K","2.6","35,460","6.44","6.06","-5.90","2.40","399820.96","-8.30"
"ACE","47.81","57.77","59.24","1.23","1,201,390","1,323,100","17.01%","1.93%","18.81B","325.55M","323.93M","1.00","1.70%","03-Mar-98","38.306999","3.61","3.61","42.257","11.295","1.54","16.02","1.46","13.15B","N/A","1.14B","9.02%","12.02%","31-Dec","30-Jun-06","1.67%","10.29%","2.753","0.219","3.68B","2.85M","0.90%","2.28M","2.9","1,650,900","57.21","56.84","-0.65","2.40","73434756.00","-3.05"
"ACEC","1.05","1.15","3.70","3.27","72,387.9","184,422","-62.42%","-77.50%","21.28M","18.51M","13.47M","N/A","N/A","N/A","0.343","0.02","0.02","1.578","0.051","3.35","63.89","0.80","26.67M","1.96M","319.00K","1.20%","1.89%","30-June","30-Jun-06","2.07%","5.56%","1.303","0.49","946.00K","208.97K","1.40%","332.42K","5.4","235,154","1.14","0.95","-16.67","2.40","97656.96","-19.07"
"ACEL","1.17","1.64","4.99","1.67","124,161","321,244","0.60%","-14.48%","72.82M","44.41M","31.00M","N/A","N/A","N/A","0.208","-0.21","-0.21","N/A","0.259","8.03","N/A","N/A","N/A","-7.40M","-7.81M","N/A","N/A","31-July","31-Jul-06","-55.53%","-125.42%","4.467","N/A","11.52M","299.86K","0.70%","296.00K","4.1","144,161","1.62","1.52","-6.17","2.40","77364.72","-8.57"
"ACET","5.64","9.00","8.75","3.14","35,877.3","65,988.9","51.50%","36.42%","218.53M","24.28M","22.43M","0.15","1.80%","11-Jan-05","4.739","0.38","0.38","12.244","1.525","1.81","23.94","0.70","297.13M","14.07M","9.26M","3.11%","4.21%","30-June","30-Jun-06","4.96%","8.32%","3.877","0.004","37.04M","45.40K","0.20%","35.47K","3","162,057","8.91","8.51","-4.49","2.40","330249.15","-6.89"
