Company,52-Week Low,Recent Price,52-Week High,Beta,Daily Volume (3-month avg),Daily Volume (10-day avg),52-Week Change,52-Week Change relative to S&P500,Market Capitalization,Shares Outstanding,Float,Annual Dividend,Dividend Yield,Last Split,Book Value,Earnings (ttm),Earnings (mrq),Sales (per share),Cash,Price/Book,Price/Earnings,Price/Sales,Sales (ttm),EBITDA,Income,Profit Margin,Operating Margin,Fiscal Year Ends,Most recent quarter,Return Assets,Return Equity,Current Ratio,Debt/Equity,Total Cash,Shares Short,Percent of Float,Shares Short (Prior Month),Short Ratio,Daily Volume,Start Price,End Price,Company Return,Market Return,Avg Trade Volume,Delta Return,
FXEN,3.67,4.35,12.2,1.69,"518,455","308,800",-27.74%,-25.29%,229.58M,52.78M,49.70M,N/A,N/A,N/A,1.19,-0.42,-0.42,0.67,0.29,3.77,N/A,7.28,32.55M,2.76M,-20.20M,-62.07%,-2.87%,31-Dec,30-Sep-11,-0.97%,-51.47%,3.11,N/A,15.19M,4.65M,9.30%,4.81M,10.1,"140,815",4.91,4.8,-2.24,-31.33,1595883.75,29.09,
FXF,none,106.18,none,none,none,none,none,none,5.94%,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,Rydex|SGI,516.38M,none,none,none,none,none,none,none,none,none,"174,023",107.82,105.32,-2.32,-31.33,13034064.36,29.01,
FXG,none,22.41,none,none,none,none,none,none,12.05%,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,First Trust,190.87M,none,none,none,none,none,none,none,none,none,"49,754",23.75,23.65,-0.42,-31.33,1958868.93,30.91,
FXH,none,25.14,none,none,none,none,none,none,4.74%,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,First Trust,435.13M,none,none,none,none,none,none,none,none,none,"80,378",27,27.15,0.56,-31.33,3940934.78,31.89,
FXI,none,33.33,none,none,none,none,none,none,-14.95%,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,iShares,6.80B,none,none,none,none,none,none,none,none,none,"11,878,389",36.62,34.87,-4.78,-31.33,469843617.9,26.55,
FXIT.OB,0.01,0.01,0.57,N/A,"134,611","452,300",N/A,none,345.84K,34.58M,27.38M,N/A,N/A,N/A,0.79,-0.01,-0.01,0,0.11,0.01,N/A,16.6,20.00K,-369.40K,-590.91K,N/A,-3112.52%,31-Dec,30-Jun-11,N/A,N/A,0.81,8.64,3.70M,N/A,N/A,N/A,N/A,"5,000",0.0095,0.0144,51.58,-31.33,490.3,82.91,
FXL,none,18.87,none,none,none,none,none,none,-6.78%,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,First Trust,145.85M,none,none,none,none,none,none,none,none,none,"30,127",20.42,20.04,-1.86,-31.33,1739629.77,29.47,
FXM,none,70.1,none,none,none,none,none,none,-4.70%,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,Rydex|SGI,22.82M,none,none,none,none,none,none,none,none,none,"5,750",73.68,71.87,-2.46,-31.33,990922.04,28.88,
FXN,none,18.25,none,none,none,none,none,none,-3.64%,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,First Trust,101.80M,none,none,none,none,none,none,none,none,none,"5,328",20.3,19.31,-4.88,-31.33,1353098.78,26.46,
FXNC.OB,5.5,5.75,13.4,0.59,"1,177","3,914",-56.14%,-53.69%,16.99M,2.96M,2.31M,0.4,7.00%,N/A,10.75,-3.32,-3.32,2.62,7.69,0.53,N/A,2.18,7.72M,N/A,-9.79M,-115.25%,-123.04%,31-Dec,30-Sep-11,-1.64%,-17.43%,N/A,N/A,22.73M,N/A,N/A,N/A,N/A,610,5.7,6,5.26,-31.33,4726.8,36.6,
FXO,none,12.14,none,none,none,none,none,none,-7.11%,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,First Trust,85.67M,none,none,none,none,none,none,none,none,none,"21,767",12.99,13.19,1.54,-31.33,453030.1,32.87,
FXP,none,34.69,none,none,none,none,none,none,2.73%,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,ProShares,179.76M,none,none,none,none,none,none,none,none,none,"375,589",28.36,30.37,7.09,-31.33,6950984.41,38.42,
FXPT.PK,0.01,0.02,0.1,N/A,"1,411,600","413,100",-71.43%,-68.98%,25.22M,1.63B,1.59B,N/A,N/A,N/A,0,-0.01,-0.01,N/A,N/A,N/A,N/A,N/A,N/A,-16.11M,-3.83M,N/A,N/A,28-Feb,31-Aug-11,-22131.95%,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,"152,860",0.0172,0.011,-36.05,-31.33,7892.93,-4.71,
FXR,none,15.98,none,none,none,none,none,none,-7.02%,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,First Trust,58.07M,none,none,none,none,none,none,none,none,none,"1,637",17.36,17.17,-1.09,-31.33,335998.07,30.24,
