Company,52-Week Low,Recent Price,52-Week High,Beta,Daily Volume (3-month avg),Daily Volume (10-day avg),52-Week Change,52-Week Change relative to S&P500,Market Capitalization,Shares Outstanding,Float,Annual Dividend,Dividend Yield,Last Split,Book Value,Earnings (ttm),Earnings (mrq),Sales (per share),Cash,Price/Book,Price/Earnings,Price/Sales,Sales (ttm),EBITDA,Income,Profit Margin,Operating Margin,Fiscal Year Ends,Most recent quarter,Return Assets,Return Equity,Current Ratio,Debt/Equity,Total Cash,Shares Short,Percent of Float,Shares Short (Prior Month),Short Ratio,Daily Volume,Start Price,End Price,Company Return,Market Return,Avg Trade Volume,Delta Return,
A,28.67,33.83,55.33,1.61,"5,391,400","4,287,460",-7.57%,-5.25%,11.74B,347.00M,344.58M,N/A,N/A,N/A,12.42,2.85,2.85,19.06,10.16,2.71,11.87,1.76,6.62B,1.32B,1.01B,15.30%,16.19%,31-Oct,31-Oct-11,7.14%,26.80%,3.04,50.63,3.53B,4.35M,N/A,4.50M,0.8,"2,286,262",37.82,34.93,-7.64,-31.33,83393767.91,23.69,
AA,8.45,8.95,18.47,2.01,"34,188,700","31,350,800",-32.57%,-30.25%,9.53B,1.06B,1.06B,0.12,1.40%,12-Jun-00,13.97,0.95,0.95,23.44,1.25,0.64,9.39,0.38,24.61B,3.61B,1.06B,4.31%,8.64%,31-Dec,30-Sep-11,3.41%,7.22%,1.36,50.93,1.34B,58.16M,5.50%,61.46M,1.3,"13,048,768",9.81,8.65,-11.82,-31.33,185938498.3,19.51,
AA.V,0.11,0.14,0.35,N/A,"67,739","16,925",-22.22%,-19.90%,3.04M,21.69M,18.40M,N/A,N/A,31-Mar-09,0.26,N/A,N/A,N/A,0.03,0.53,N/A,N/A,N/A,-854.67K,-590.99K,N/A,N/A,31-Mar,30-Jun-11,-9.68%,-11.00%,3.12,N/A,552.54K,N/A,N/A,N/A,N/A,"21,650",0.14,0.13,-7.14,-31.33,8765,24.19,
AAA.TO,none,1.08,none,none,none,none,none,none,N/A,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"1,732,989",1.07,0.83,-22.43,-31.33,3123739.49,8.9,
AAB.TO,0.57,0.58,1.02,N/A,"118,266","276,625",1.59%,3.91%,50.76M,87.52M,68.18M,N/A,N/A,23-Feb-00,1.41,0.3,0.3,0.64,1.1,0.46,1.95,1.01,55.62M,42.86M,27.75M,49.88%,68.77%,31-Jan,31-Jul-11,19.13%,25.08%,24.75,N/A,96.14M,N/A,N/A,N/A,N/A,"44,250",0.6,0.65,8.33,-31.33,200463.15,39.67,
AACC,2.8,3.02,7.21,2.3,"28,885","50,363",-44.44%,-42.12%,92.67M,30.68M,14.86M,N/A,N/A,N/A,4.36,0.03,0.03,6.8,0.26,0.69,97.42,0.44,209.16M,22.29M,821.64K,0.39%,8.66%,31-Dec,30-Sep-11,2.93%,0.62%,16.98,130.79,7.81M,276.91K,4.40%,279.37K,9.2,"4,370",3.5,3.91,11.71,-31.33,128717.11,43.05,
AACOU,9.8,9.96,11.5,N/A,"1,049",0,-0.10%,2.22%,N/A,NaN,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,500,10,0,-100,-31.33,0,-68.67,
AAG.V,0.21,0.4,1.03,N/A,"244,234","146,925",-60.78%,-58.46%,57.42M,145.38M,125.22M,N/A,N/A,21-Oct-99,0.37,N/A,N/A,0,0.16,1.09,N/A,N/A,-29.72K,-5.34M,-12.86M,N/A,57744.88%,31-Mar,30-Jun-11,-19.59%,-35.39%,7.51,N/A,22.55M,N/A,N/A,N/A,N/A,"557,990",0.33,0.24,-27.27,-31.33,54832.8,4.06,
AAGC.OB,0.13,0.14,0.94,N/A,"354,212","64,738",N/A,none,13.52M,96.59M,42.09M,N/A,N/A,N/A,0,-0.01,-0.01,N/A,0,142,N/A,N/A,N/A,N/A,-1.18M,N/A,N/A,31-May,31-Aug-11,-1088.51%,N/A,2.33,54.92,122.13K,N/A,N/A,N/A,N/A,"26,400",0.154,0.085,-44.81,-31.33,14114.68,-13.47,
AAH.TO,13.17,13.52,25.45,N/A,"14,708","7,625",-27.11%,-24.79%,190.28M,14.07M,12.10M,N/A,N/A,N/A,23.43,1.59,1.59,50.63,8.42,0.59,8.51,0.27,712.11M,54.03M,22.57M,3.17%,4.13%,31-Dec,30-Sep-11,3.27%,7.08%,2.08,0.27,118.46M,N/A,N/A,N/A,N/A,"2,834",14.82,13.86,-6.48,-31.33,64134.81,24.85,
AAM.V,0.4,1.14,1.34,N/A,"136,608","90,138",58.57%,60.89%,189.73M,166.43M,144.76M,N/A,N/A,N/A,0.54,N/A,N/A,0.24,0.14,2.06,N/A,4.62,39.95M,2.63M,-2.83M,-7.08%,-7.31%,31-Dec,30-Jun-11,-1.43%,-2.82%,2.01,22.69,23.30M,N/A,N/A,N/A,N/A,"192,250",1.11,1.15,3.6,-31.33,52922.5,34.94,
AAME,1.26,1.99,2.25,1.01,"4,128","8,450",0.51%,2.83%,44.23M,22.23M,5.57M,N/A,N/A,N/A,3.78,0.2,0.2,7.07,1.11,0.53,9.85,0.38,116.93M,7.73M,3.33M,3.28%,6.29%,31-Dec,30-Sep-11,N/A,N/A,N/A,48.98,24.65M,4.11K,0.10%,4.15K,0.9,100,1.99,1.97,-1.01,-31.33,12083.1,30.33,
AAN,16.16,24.07,24.32,1.08,"605,969","451,057",10.44%,12.76%,1.82B,75.52M,67.55M,0.06,0.20%,16-Apr-10,12.45,1.41,1.41,24.95,2.9,1.93,17.07,0.92,1.98B,272.36M,114.02M,5.75%,11.23%,31-Dec,30-Sep-11,9.06%,11.96%,1.54,16.39,218.94M,4.63M,6.40%,5.24M,8.8,"175,494",26,26.68,2.62,-31.33,7358031.66,33.95,
AAN.V,none,0.07,none,none,none,none,none,none,N/A,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"244,000",0.045,0.065,44.44,-31.33,13802.5,75.78,
AAO.V,none,0.06,none,none,none,none,none,none,N/A,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"1,000",0.055,0.04,-27.27,-31.33,574.5,4.06,
AAON,14.64,19,24.23,1.13,"70,302","56,075",10.60%,12.92%,468.18M,24.64M,18.61M,0.24,1.30%,14-Jun-11,5.08,0.77,0.77,10.87,0.12,3.75,24.77,1.75,268.64M,39.99M,18.90M,7.03%,10.89%,31-Dec,30-Sep-11,10.64%,15.75%,1.85,11.15,2.85M,1.90M,11.80%,1.99M,25.7,"50,248",21.01,20.49,-2.48,-31.33,1218001.15,28.86,
AAP,49.5,67.14,72.32,0.17,"900,557","929,900",-0.39%,1.93%,4.93B,73.38M,72.96M,0.24,0.40%,26-Sep-05,10.6,4.7,4.7,78.1,0.9,6.31,14.28,0.8,6.11B,810.45M,375.25M,6.16%,10.42%,1-Jan,8-Oct-11,11.26%,39.21%,1.13,77.21,65.93M,3.49M,5.40%,3.24M,4.9,"474,150",68.75,69.63,1.28,-31.33,39339339.38,32.61,
AAPH.OB,0.21,0.27,0.7,14.5,"52,183","26,025",-19.40%,-17.08%,7.64M,28.30M,27.45M,N/A,N/A,N/A,-0.07,-0.11,-0.11,0.01,0,N/A,N/A,39.63,192.83K,-958.00K,-2.87M,N/A,-857.72%,31-Dec,30-Jun-11,-64.52%,N/A,0.03,N/A,50.55K,N/A,N/A,N/A,N/A,"25,000",0.275,0.23,-16.36,-31.33,10680.13,14.97,
AAPL,310.5,363.57,426.7,0.89,"19,882,100","14,955,500",16.50%,18.82%,337.90B,929.41M,923.69M,N/A,N/A,28-Feb-05,82.45,27.68,27.68,117.12,27.92,4.45,13.13,3.15,108.25B,35.57B,25.92B,23.95%,31.22%,24-Sep,24-Sep-11,22.05%,41.67%,1.61,N/A,25.95B,10.68M,N/A,12.01M,0.5,"9,098,543",387.93,405,4.4,-31.33,3909454320,35.73,
AAPT.PK,0.01,0,0.08,-0.39,"227,170","268,529",-87.50%,-85.18%,900.64K,230.93M,192.07M,N/A,N/A,N/A,-0.01,-0.05,-0.05,0,0,N/A,N/A,"34,640.10",20,-6.47M,-7.44M,N/A,-32356910.71%,31-Dec,31-Dec-10,-605.53%,N/A,0.22,N/A,114,N/A,N/A,N/A,N/A,500,0.0038,0.002,-47.37,-31.33,87.4,-16.04,
AAR,8.48,8.69,24.85,N/A,"64,264","102,157",-63.63%,-61.31%,2.91B,335.23M,322.87M,N/A,N/A,N/A,-14.42,-2.93,-2.93,70.74,12.82,N/A,N/A,0.12,23.61B,898.00M,-982.00M,-4.16%,-0.86%,31-Dec,30-Sep-11,-0.50%,N/A,0.77,N/A,4.30B,N/A,N/A,N/A,N/A,"19,014",3.95,4.49,13.67,-31.33,989005.33,45,
AAT,16.47,19.75,23.34,N/A,"201,180","351,388",N/A,none,775.84M,39.28M,33.35M,0.84,4.10%,N/A,16.12,0.21,0.21,4.82,3.14,1.23,94.95,4.12,189.38M,110.95M,2.08M,8.89%,29.41%,31-Dec,30-Sep-11,2.12%,1.63%,5.87,136.7,123.22M,1.18M,8.60%,1.25M,6.2,"82,038",20.44,20.51,0.34,-31.33,7088150.23,31.67,
AATI,3.25,4.42,6.1,0.98,"770,391","390,962",15.24%,17.56%,195.20M,44.16M,38.67M,N/A,N/A,N/A,2.67,-0.41,-0.41,2.11,1.91,1.62,N/A,2.1,90.70M,-10.11M,-17.77M,-19.59%,-14.48%,31-Dec,30-Sep-11,-5.82%,-14.69%,6.81,N/A,84.27M,1.39M,3.90%,1.54M,5.1,"386,059",5.75,5.78,0.52,-31.33,6048302.49,31.85,
AAU,2.11,2.45,5.35,0.56,"227,420","160,088",-33.68%,-31.36%,141.93M,57.93M,53.62M,N/A,N/A,N/A,0.65,-0.14,-0.14,0,0.33,3.91,N/A,"1,820.15",80.84K,-7.30M,-7.87M,N/A,-9562.11%,31-Dec,30-Jun-11,-15.22%,-25.18%,43.35,N/A,19.15M,283.98K,0.60%,365.08K,1.2,"64,166",2.66,2.52,-5.26,-31.33,250244.61,26.07,
AAU.V,0.06,0.06,0.39,N/A,"56,491","135,725",N/A,none,2.24M,37.26M,31.13M,N/A,N/A,N/A,0.2,N/A,N/A,N/A,0.07,0.33,N/A,N/A,N/A,-1.24M,-2.74M,N/A,N/A,31-Mar,30-Jun-11,-25.90%,-47.94%,5.67,N/A,2.60M,N/A,N/A,N/A,N/A,"336,000",0.06,0.055,-8.33,-31.33,6360.25,23,
AAV,3.56,4.27,9.29,2.24,"431,148","367,650",-31.42%,-29.10%,710.10M,166.30M,164.03M,N/A,N/A,N/A,7.33,-0.68,-0.68,1.69,N/A,0.62,N/A,2.72,278.05M,158.06M,-110.49M,-39.74%,-23.65%,31-Dec,30-Sep-11,-2.23%,-8.42%,0.31,20.92,N/A,1.07M,N/A,1.06M,2,"229,133",4.75,4.14,-12.84,-31.33,1396478.15,18.49,
AAV.TO,3.79,4.51,9,N/A,"792,148","675,325",-30.96%,-28.64%,750.01M,166.30M,164.03M,N/A,N/A,N/A,7.68,N/A,N/A,1.77,N/A,0.61,N/A,2.66,291.23M,165.55M,-115.72M,-39.74%,-23.65%,31-Dec,30-Sep-11,-2.23%,-8.42%,0.31,20.92,N/A,N/A,N/A,N/A,N/A,"478,265",4.79,4.24,-11.48,-31.33,4757103.65,19.85,
AAVG.OB,N/A,0,N/A,1.36,N/A,N/A,N/A,none,347.01K,315.46M,252.29M,N/A,N/A,N/A,0,-0.01,-0.01,0.02,0,N/A,N/A,0.14,2.55M,-734.43K,-704.04K,-27.56%,-30.34%,31-Dec,30-Jun-11,-62.13%,N/A,0.2,N/A,37.39K,N/A,N/A,N/A,N/A,"1,329,700",0.0016,0.0021,31.25,-31.33,14224.23,62.58,
AAWW,29.5,34.68,73.19,2.29,"327,948","266,875",-36.80%,-34.48%,912.15M,26.30M,25.90M,N/A,N/A,N/A,41.91,3.95,3.95,52.42,16.17,0.84,8.77,0.68,1.37B,195.20M,104.13M,7.60%,11.67%,31-Dec,30-Sep-11,5.10%,10.05%,2.4,47.35,425.27M,1.07M,4.10%,1.21M,3.9,"67,807",40.07,38.43,-4.09,-31.33,8133434.06,27.24,
AAXJ,none,48.07,none,none,none,none,none,none,-15.00%,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,iShares,1.99B,none,none,none,none,none,none,none,none,none,"106,494",52.49,49.9,-4.93,-31.33,25090408.31,26.4,
AB,12.46,12.75,24.2,1.66,"379,564","429,229",-45.49%,-43.17%,1.34B,105.17M,102.02M,1.04,8.20%,3-Apr-98,16.79,1.44,1.44,1.73,N/A,0.75,8.83,7.47,178.04M,N/A,149.12M,83.75%,100.00%,31-Dec,30-Sep-11,6.34%,8.50%,N/A,N/A,N/A,2.04M,N/A,2.60M,5.7,"145,556",13.26,13.08,-1.36,-31.33,4469212.74,29.97,
ABAT,0.79,0.98,4.35,1.23,"710,422","155,488",-76.72%,-74.40%,74.42M,76.14M,66.95M,N/A,N/A,13-Jul-04,3.11,0.53,0.53,1.5,0.97,0.31,1.85,0.65,114.74M,46.94M,43.93M,38.29%,37.17%,31-Dec,30-Jun-11,12.64%,22.42%,13.72,N/A,74.04M,4.75M,7.10%,5.42M,6,500,,0,0,-31.33,0,31.33,
ABAX,19.68,24.52,31.69,1.04,"138,975","73,063",-7.70%,-5.38%,531.52M,21.68M,20.49M,N/A,N/A,N/A,6.66,0.56,0.56,6.65,2.57,3.74,43.79,3.61,149.47M,24.31M,12.74M,8.53%,13.05%,31-Mar,30-Sep-11,7.12%,8.38%,6.09,0.63,55.64M,2.03M,11.40%,2.42M,11.6,"40,516",27.23,27.67,1.62,-31.33,2185951.6,32.95,
ABB,15.89,16.68,27.58,1.3,"3,370,930","2,472,610",-14.71%,-12.39%,38.20B,2.29B,2.12B,0.67,4.00%,N/A,6.91,1.33,1.33,16,2.44,2.42,12.58,1.05,36.60B,5.44B,3.02B,8.30%,12.62%,31-Dec,30-Sep-11,7.64%,20.59%,1.34,28.26,5.60B,2.07M,N/A,1.72M,0.7,"1,362,155",18.68,18.83,0.8,-31.33,36206480.51,32.14,
ABC,30.51,35.98,43.47,0.66,"2,553,670","1,987,370",17.74%,20.06%,9.59B,266.46M,264.53M,0.52,1.40%,16-Jun-09,10.77,2.54,2.54,294.41,6.85,3.38,14.17,0.12,80.22B,1.34B,706.62M,0.88%,1.53%,30-Sep,30-Sep-11,5.23%,24.27%,1.03,47.58,1.83B,8.24M,3.00%,9.00M,2.9,"1,317,034",37.24,37.19,-0.13,-31.33,54595689.08,31.2,
ABC.TO,N/A,0.17,N/A,N/A,N/A,N/A,N/A,none,14.08M,85.31M,49.41M,N/A,N/A,N/A,1.22,0.1,0.1,2.69,0.19,0.13,1.67,0.06,216.11M,16.95M,8.33M,3.85%,5.05%,31-Dec,30-Jun-11,3.88%,8.83%,1.02,67.45,15.90M,N/A,N/A,N/A,N/A,"72,850",0.175,0.145,-17.14,-31.33,11498.75,14.19,
ABCB,8.31,9.14,11.2,1.6,"75,437","65,988",-6.90%,-4.58%,217.08M,23.75M,22.86M,N/A,N/A,29-Mar-10,10.27,0.72,0.72,3.76,9.52,0.89,12.71,2.33,93.50M,N/A,18.58M,23.33%,-0.41%,31-Dec,30-Sep-11,0.80%,7.68%,N/A,N/A,226.11M,1.74M,7.60%,1.80M,18.7,"25,658",9.81,10.28,4.79,-31.33,402609.74,36.12,
ABCD,2.48,2.69,3.98,N/A,"57,629","48,163",-5.70%,-3.38%,133.20M,49.52M,12.92M,N/A,N/A,N/A,2.77,-0.02,-0.02,4.23,1.09,1.01,N/A,0.73,189.32M,46.96M,-1.16M,-0.62%,7.87%,31-Dec,30-Sep-11,2.32%,-0.90%,1.89,136.51,53.81M,569.85K,N/A,627.74K,11.2,"27,685",3.04,3.02,-0.66,-31.33,88137.93,30.67,
ABCO,45.41,66.5,72.78,0.33,"113,871","84,775",40.71%,43.03%,1.09B,16.37M,16.09M,N/A,N/A,N/A,10.55,1.07,1.07,20.39,2.39,6.42,62.09,3.39,327.00M,46.17M,18.12M,5.54%,10.38%,31-Mar,30-Sep-11,4.24%,11.94%,0.82,N/A,39.07M,831.26K,5.90%,912.31K,6.8,"45,677",72.4,74.21,2.5,-31.33,6289454.06,33.83,
ABCW.PK,0.22,0.36,1.9,2.8,"54,532","203,812",-58.62%,-56.30%,7.80M,21.68M,20.79M,N/A,N/A,N/A,-4.89,-3.06,-3.06,3.08,16.37,N/A,N/A,0.12,65.44M,N/A,-64.88M,-78.48%,-30.05%,31-Mar,30-Sep-11,-1.47%,-864.69%,N/A,N/A,354.85M,N/A,N/A,N/A,N/A,"15,331",0.38,0.336,-11.58,-31.33,41300.72,19.75,
ABD,4.33,8.41,10.39,4.28,"396,420","1,066,600",19.58%,21.90%,466.28M,55.44M,54.77M,N/A,N/A,N/A,-0.59,0.94,0.94,24.95,0.75,N/A,8.94,0.35,1.37B,146.70M,17.20M,3.94%,8.94%,31-Dec,30-Sep-11,7.15%,N/A,2.17,N/A,41.30M,3.87M,11.10%,4.03M,11.1,"148,718",9.27,9.65,4.1,-31.33,3009151.02,35.43,
ABE.V,0.04,0.05,0.22,N/A,"51,489","92,750",-80.95%,-78.63%,4.27M,94.96M,91.03M,N/A,N/A,N/A,0.16,N/A,N/A,N/A,0.01,0.25,N/A,N/A,N/A,-2.32M,-4.69M,N/A,N/A,31-Aug,31-May-11,-18.76%,-27.47%,10.66,0.33,812.37K,N/A,N/A,N/A,N/A,"499,000",0.05,0.05,0,-31.33,2186.25,31.33,
ABEW.PK,N/A,0,N/A,N/A,N/A,N/A,N/A,none,264.78K,139.36M,N/A,N/A,N/A,N/A,-0.05,-0.03,-0.03,0,0,N/A,N/A,0.88,174.08K,-3.77M,-3.32M,N/A,-2399.92%,31-Dec,30-Sep-08,-505.52%,N/A,0.03,N/A,7.80K,N/A,N/A,N/A,N/A,"70,000",0.0011,0.0005,-54.55,-31.33,2.74,-23.21,
ABFS,14.22,16.9,29.08,2.08,"445,233","492,957",-30.23%,-27.91%,429.61M,25.42M,21.24M,0.12,0.70%,N/A,19.23,0.06,0.06,74.37,6.61,0.9,281.67,0.23,1.89B,71.06M,1.42M,0.09%,-0.06%,31-Dec,30-Sep-11,-0.08%,0.38%,1.63,16.72,168.09M,1.11M,4.60%,1.27M,2.1,"145,770",18.76,19.27,2.72,-31.33,4760372.6,34.05,
ABG,14.96,18.22,22,2.52,"449,306","402,800",13.17%,15.49%,578.92M,31.77M,20.01M,N/A,N/A,N/A,9.91,1.56,1.56,131.89,0.26,1.84,11.66,0.14,4.24B,139.80M,35.80M,1.22%,2.77%,31-Dec,30-Sep-11,5.57%,12.09%,1.34,254.31,8.20M,3.66M,15.60%,3.97M,8.5,"225,238",19.78,21.56,9,-31.33,6031210.04,40.33,
ABGFF.PK,0.24,0.49,1,N/A,"359,171","38,138",27.03%,29.35%,88.49M,180.22M,169.85M,N/A,N/A,N/A,0.25,-0.05,-0.05,N/A,0.07,1.88,N/A,N/A,N/A,-3.13M,-7.71M,N/A,N/A,31-Dec,30-Jun-11,-10.07%,-17.90%,11.8,N/A,12.41M,N/A,N/A,N/A,N/A,600,0.5024,0.466,-7.25,-31.33,13034.26,24.09,
ABGOF.PK,19.45,20.8,33.6,N/A,618,513,N/A,none,3.75B,180.46M,N/A,N/A,N/A,N/A,8.78,N/A,N/A,N/A,N/A,2.52,N/A,0.44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,300,22.9,21.36,-6.72,-31.33,1717.5,24.61,
ABH,13.7,14.97,30.54,N/A,"310,682","389,050",N/A,none,1.45B,97.09M,79.45M,N/A,N/A,N/A,38.27,34.53,34.53,55.94,3.04,0.4,0.43,0.3,4.88B,514.00M,4.29B,87.83%,4.77%,31-Dec,30-Sep-11,2.28%,7687.93%,2.83,18.79,295.00M,8.60M,12.20%,9.00M,23.1,"179,151",14.86,14.55,-2.09,-31.33,2930764.49,29.25,
ABH.TO,none,15.72,none,none,none,none,none,none,N/A,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"13,477",15.05,14.84,-1.4,-31.33,72996,29.94,
ABHD.OB,0.25,0.47,1.65,N/A,"29,009","26,600",11.90%,14.22%,22.21M,47.26M,40.25M,N/A,N/A,N/A,-0.04,-0.09,-0.09,0.01,0,N/A,N/A,54.01,411.29K,-3.34M,-4.71M,N/A,-818.24%,31-Dec,30-Jun-11,N/A,N/A,0.4,N/A,73.10K,N/A,N/A,N/A,N/A,"1,200",0.45,0.38,-15.56,-31.33,14421.5,15.78,
ABI,none,13.42,none,none,none,none,none,none,N/A,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,400,13.81,14.18,2.68,-31.33,0,34.01,
ABI.V,0.07,0.08,0.26,N/A,"160,114","190,312",-46.67%,-44.35%,11.17M,148.95M,127.96M,N/A,N/A,N/A,0.13,N/A,N/A,0,0.05,0.58,N/A,"558,562.52",20,-1.17M,-925.65K,N/A,-5923100.12%,30-Jun,30-Jun-11,-5.09%,-6.50%,27.31,0.68,7.40M,N/A,N/A,N/A,N/A,"16,000",0.075,0.08,6.67,-31.33,37115.03,38,
ABIO,1,1.27,3.8,1.97,"108,065","690,512",-65.36%,-63.04%,13.36M,10.52M,7.25M,N/A,N/A,28-Jan-09,0.72,-0.61,-0.61,N/A,0.71,1.73,N/A,N/A,N/A,-8.00M,-5.61M,N/A,N/A,31-Dec,30-Jun-11,-51.57%,-62.35%,7.8,N/A,7.46M,258.92K,N/A,274.49K,15.3,"44,282",1.35,1,-25.93,-31.33,273798.65,5.41,
ABKI.PK,0.65,1.17,1.76,-0.87,"3,771","6,100",-9.43%,-7.11%,69.47M,59.38M,35.90M,N/A,N/A,N/A,0.08,-0.03,-0.03,0.01,0.01,11.85,N/A,163.62,348.39K,-2.89M,-1.89M,N/A,-854.15%,31-May,31-Aug-11,-28.87%,-57.72%,0.65,70.07,770.68K,N/A,N/A,N/A,N/A,300,1.1,1.03,-6.36,-31.33,4484.62,24.97,
ABL.V,0.35,0.57,1.02,N/A,"24,197","1,575",4.92%,7.24%,4.35M,7.63M,6.88M,N/A,N/A,N/A,0.12,N/A,N/A,0.05,0.08,5.42,N/A,14.1,346.38K,-203.03K,-921.87K,-266.14%,-110.68%,31-Oct,31-Jul-11,-14.32%,-74.21%,0.99,N/A,582.62K,N/A,N/A,N/A,N/A,"8,800",0.61,0.52,-14.75,-31.33,6134.47,16.58,
ABLZF.PK,17.25,17.01,27.44,N/A,"4,275",13,-9.85%,-7.53%,N/A,NaN,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,18.77,18.45,-1.7,-31.33,0,29.63,
ABM,17.29,19.63,27.14,1.17,"303,264","286,200",-15.19%,-12.87%,1.05B,53.25M,44.42M,0.56,2.80%,7-May-02,14.73,1.34,1.34,76.86,0.74,1.35,14.62,0.26,4.07B,179.66M,71.95M,1.78%,3.21%,31-Oct,31-Jul-11,4.72%,9.59%,1.73,46.57,39.61M,2.33M,N/A,2.52M,8.4,"213,775",21.37,20.62,-3.51,-31.33,9226482.89,27.82,
ABMC.PK,0.06,0.13,0.14,N/A,"11,357","20,213",30.00%,32.32%,2.83M,21.74M,18.18M,N/A,N/A,N/A,0.11,-0.04,-0.04,0.43,0,1.19,N/A,0.3,9.40M,-307.00K,-943.00K,-10.03%,-6.22%,31-Dec,30-Jun-11,-5.57%,-33.29%,2.47,94.16,22.00K,N/A,N/A,N/A,N/A,"1,500",0.13,0.17,30.77,-31.33,2062.8,62.1,
ABMD,8.97,17.35,20,1.59,"254,863","262,800",49.83%,52.15%,653.94M,37.69M,32.02M,N/A,N/A,2-Oct-00,2.96,-0.17,-0.17,2.99,1.61,5.95,N/A,5.89,112.61M,-2.37M,-6.57M,-5.83%,-5.10%,31-Mar,30-Sep-11,-2.81%,-6.15%,5.63,N/A,60.82M,2.13M,7.20%,2.14M,9.9,"152,806",19.91,18.47,-7.23,-31.33,3714915.68,24.1,
ABN.V,0.07,0.11,0.28,N/A,"166,342","324,288",-33.33%,-31.01%,12.59M,114.50M,109.92M,N/A,N/A,31-Jan-01,0.09,N/A,N/A,N/A,0.06,1.34,N/A,N/A,N/A,-2.02M,-2.58M,N/A,N/A,30-Sep,30-Jun-11,-22.96%,-42.54%,10.27,N/A,6.62M,N/A,N/A,N/A,N/A,"21,600",0.09,0.08,-11.11,-31.33,39076,20.22,
ABOT.PK,N/A,0.01,N/A,N/A,N/A,N/A,N/A,none,3.42M,341.84M,N/A,N/A,N/A,N/A,0,-0.02,-0.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-127.40K,N/A,N/A,31-Dec,30-Jun-11,-462.58%,N/A,0.01,N/A,N/A,N/A,N/A,N/A,N/A,"649,315",0.04,0.0429,7.25,-31.33,424089.67,38.58,
ABPI.PK,0.32,0.34,0.97,N/A,"69,855","49,688",-64.21%,-61.89%,24.10M,70.89M,54.57M,N/A,N/A,N/A,-0.63,-0.34,-0.34,0.13,0.02,N/A,N/A,2.8,8.61M,-19.19M,-22.04M,-253.29%,-229.26%,30-Sep,30-Jun-11,-196.69%,N/A,0.16,N/A,1.37M,N/A,N/A,N/A,N/A,"17,100",0.29,0.3,3.45,-31.33,18497.65,34.78,
ABPR.PK,0.01,0,0.2,N/A,"252,617","1,142,010",-80.00%,-77.68%,253.75K,230.68M,N/A,N/A,N/A,N/A,-0.01,0,0,0.01,0,N/A,N/A,0.1,2.26M,N/A,-7.03K,-0.31%,0.29%,30-Sep,30-Jun-11,3.16%,N/A,0.23,N/A,6.30K,N/A,N/A,N/A,N/A,"583,076",0.0011,0.0009,-18.18,-31.33,235.75,13.15,
ABR,3.19,3.52,7.5,4.2,"56,162","22,925",-33.33%,-31.01%,84.91M,24.14M,15.58M,N/A,N/A,N/A,7.89,-2.12,-2.12,0.11,2.51,0.45,N/A,31.87,2.68M,N/A,-54.06M,N/A,-2371.14%,31-Dec,30-Sep-11,-3.04%,-24.80%,22.32,708.54,60.50M,423.63K,2.40%,415.61K,5.9,"14,200",3.45,3.52,2.03,-31.33,202120.21,33.36,
ABR.V,N/A,0.05,N/A,N/A,N/A,N/A,N/A,none,3.81M,76.25M,66.64M,N/A,N/A,N/A,0.05,N/A,N/A,N/A,0.03,1.17,N/A,N/A,N/A,868.90K,-1.09M,N/A,N/A,30-Apr,30-Apr-11,-28.95%,-50.05%,15.31,N/A,2.21M,N/A,N/A,N/A,N/A,"35,000",0.045,0.05,11.11,-31.33,5300,42.44,
ABS.V,none,0.39,none,none,none,none,none,none,N/A,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"10,000",0.4,0.225,-43.75,-31.33,42853.75,-12.42,
ABT,45.07,52.05,55.61,0.34,"8,978,460","5,840,560",11.86%,14.18%,81.08B,1.56B,1.51B,1.92,3.70%,1-Jun-98,15.79,2.9,2.9,24.75,5.12,3.31,17.95,2.12,38.44B,11.03B,4.55B,11.84%,20.62%,31-Dec,30-Sep-11,8.47%,19.71%,1.5,67.73,7.98B,20.19M,N/A,20.82M,1.6,"2,214,167",54.52,56.23,3.14,-31.33,309991297.2,34.47,
