"Company","52-Week Low","Recent Price","52-Week High","Beta","Daily Volume (3-month avg)","Daily Volume (10-day avg)","52-Week Change","52-Week Change relative to S&P500","Market Capitalization","Shares Outstanding","Float","Annual Dividend","Dividend Yield","Last Split","Book Value","Earnings (ttm)","Earnings (mrq)","Sales (per share)","Cash","Price/Book","Price/Earnings","Price/Sales","Sales (ttm)","EBITDA","Income","Profit Margin","Operating Margin","Fiscal Year Ends","Most recent quarter","Return Assets","Return Equity","Current Ratio","Debt/Equity","Total Cash","Shares Short","Percent of Float","Shares Short (Prior Month)","Short Ratio","Daily Volume","Start Price","End Price","Company Return","Market Return","DCV","Delta Return"
"AAR","none","23.95","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","15,600","23.95","24.34","1.63","1.55","162860.00","0.08"
"AATI","4.90","5.48","15.75","1.62","497,815","188,900","-55.19%","-67.31%","240.99M","43.98M","37.74M","N/A","N/A","N/A","3.369","0.05","0.05","1.89","2.859","1.68","114.17","3.04","81.80M","8.98M","2.24M","2.74%","5.83%","31-Dec","30-Sep-06","3.03%","1.57%","12.331","N/A","125.73M","1.62M","4.00%","1.81M","2.2","299,549","5.58","5.39","-3.41","1.55","1646267.40","-4.95"
"AATK","0.94","1.1509","2.08","2.19","14,333.8","24,925","-42.71%","-54.83%","8.72M","7.58M","7.20M","N/A","N/A","N/A","0.811","-0.001","-0.001","1.137","0.143","1.41","N/A","1.02","8.49M","568.10K","-4.25K","-0.05%","-0.54%","31-Dec","30-Sep-06","-0.08%","-0.07%","4.482","N/A","1.08M","5.41K","0.10%","8.35K","0.5","9,345","1.06","0.91","-14.15","1.55","6890.00","-15.70"
"AAU","1.60","2.64","3.30","0","54,821.5","56,212.5","N/A","none","114.05M","43.20M","40.23M","N/A","N/A","N/A","0.56","-0.11","-0.11","N/A","0.397","4.70","N/A","N/A","N/A","-1.53M","-4.30M","N/A","N/A","31-Dec","30-Sep-06","-9.27%","-25.55%","27.829","N/A","17.14M","15.10K","N/A","411","0.3","119,700","2.46","2.25","-8.54","1.55","256824.00","-10.08"
"AAUK","none","23.15","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","","none","none","none","none","N/A","54.5%","0","0","none","none","none","none","none","none","none","none","none","647,608","23.27","24.41","4.90","1.55","20738433.43","3.35"
"AAV","10.28","12.75","24.78","0","992,831","1,585,850","-31.19%","-43.31%","1.33B","104.60M","100.86M","2.14","17.00%","N/A","10.1","0.94","0.94","4.133","N/A","1.25","13.64","4.59","287.35M","196.04M","65.17M","22.68%","17.37%","31-Dec","30-Sep-06","2.46%","9.11%","0.837","0.459","N/A","758.34K","N/A","421.77K","0.9","1,053,900","12.42","10.68","-14.01","1.55","7897878.00","-15.56"
"AAWW","32.75","40.02","52.00","-0.83","150,151","259,000","22.56%","10.44%","800.24M","20.00M","14.35M","N/A","N/A","N/A","20.408001","1.98","1.98","74.45","8.643","1.97","20.24","0.52","1.53B","166.17M","41.55M","2.72%","8.17%","31-Dec","30-Sep-06","7.20%","11.33%","2.03","1.037","172.84M","1.03M","5.30%","1.17M","8.6","170,579","42.37","44.50","5.03","1.55","17404663.86","3.48"
"AB","54.15","74.91","79.13","0.69","276,589","150,662","39.38%","27.26%","6.34B","84.62M","82.80M","3.48","4.50%","03-Apr-98","17.594999","3.56","3.56","3.973","N/A","4.37","21.03","19.60","331.85M","352.55M","300.10M","90.43%","100.00%","31-Dec","30-Sep-06","14.47%","21.04%","N/A","N/A","N/A","746.76K","1.00%","620.43K","2.9","321,200","76.98","80.40","4.44","1.55","47604432.00","2.90"
"ABA","none","26.24","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","10,000","26.15","26.18","0.11","1.55","190895.00","-1.43"
"ABAX","15.15","19.79","26.85","1.46","264,088","148,575","12.35%","0.23%","410.84M","20.76M","20.17M","N/A","N/A","N/A","3.816","0.40","0.40","3.884","1.931","5.24","49.72","5.28","78.64M","15.26M","8.69M","11.05%","15.93%","31-Mar","30-Sep-06","9.58%","12.03%","6.013","N/A","40.10M","2.51M","12.60%","2.61M","8","174,457","18.91","19.25","1.80","1.55","6333318.29","0.25"
"ABB","8.62","15.73","16.24","0.49","2,234,890","2,479,980","84.11%","71.99%","34.18B","2.17B","2.17B","0.08","0.50%","N/A","2.63","0.55","0.55","11.24","1.789","6.13","28.60","1.49","23.51B","2.92B","1.36B","5.06%","9.99%","31-Dec","30-Sep-06","6.21%","30.17%","1.382","0.557","3.89B","6.32M","N/A","5.71M","3.1","2,252,100","16.31","17.98","10.24","1.55","28878486.00","8.69"
"ABBC","12.60","15.64","16.42","1.11","10,955.4","7,137.5","25.57%","13.45%","239.10M","15.29M","6.26M","0.24","1.50%","N/A","7.402","0.45","0.45","1.696","1.913","2.16","34.76","9.71","25.22M","N/A","6.79M","26.90%","46.70%","Financial","Savings & Loans","0.78%","5.91%","N/A","N/A","29.24M","239.79K","1.60%","252.97K","28.2","10,203","19.37","19.18","-0.98","1.55","842769.33","-2.53"
"ABBI","19.48","26.97","48.28","-0.38","327,880","254,838","-42.79%","-54.91%","4.47B","165.74M","54.10M","N/A","N/A","03-Sep-03","6.005","-0.05","-0.05","8.962","0.186","4.54","N/A","6.92","652.07M","221.34M","-3.95M","-0.61%","25.08%","31-Dec","30-Sep-06","9.77%","-0.56%","1.535","0.253","30.86M","4.68M","3.70%","4.73M","12.2","255,009","26.77","27.34","2.13","1.55","5873364.77","0.58"
"ABC","39.205","44.94","48.96","0.36","1,265,310","1,458,150","13.92%","1.80%","9.06B","201.56M","200.52M","0.20","0.40%","29-Dec-05","20.579","2.255","2.255","298.539","6.594","2.20","19.93","0.15","61.20B","854.84M","468.01M","0.76%","1.26%","30-Sep","30-Sep-06","3.98%","11.12%","1.235","0.265","1.33B","7.60M","3.80%","9.30M","5.7","1,900,300","45.73","44.96","-1.68","1.55","62439742.00","-3.23"
"ABCB","19.35","27.31","29.39","1.06","24,804.6","20,762.5","37.28%","25.16%","355.93M","13.03M","12.26M","0.56","2.00%","11-Mar-05","12.31","1.47","1.47","6.236","15.515","2.28","18.54","4.58","79.81M","N/A","19.09M","23.92%","59.29%","31-Dec","30-Sep-06","1.15%","13.30%","N/A","N/A","202.21M","479.05K","3.90%","469.36K","17.4","48,469","28.18","28.18","0.00","1.55","714870.24","-1.55"
"ABCO","44.50","56.07","58.84","1.49","112,500","250,412","19.27%","7.15%","1.05B","18.71M","18.70M","N/A","N/A","N/A","8.197","1.30","1.30","9.381","1.128","6.94","43.10","6.02","176.75M","48.03M","25.62M","14.50%","22.50%","31-Mar","30-Sep-06","11.35%","17.23%","0.789","N/A","21.10M","1.30M","6.90%","1.31M","13.8","1,198,365","55.00","53.54","-2.65","1.55","10414800.00","-4.20"
"ABCW","28.11","28.41","32.78","0.73","45,055.4","39,062.5","-7.27%","-19.39%","618.71M","21.78M","18.24M","0.68","2.30%","25-Aug-98","15.182","1.96","1.96","8.46","5.534","1.91","14.52","3.47","181.55M","N/A","42.65M","23.49%","62.03%","31-Mar","30-Sep-06","0.98%","13.20%","N/A","N/A","120.53M","797.93K","4.10%","904.87K","15.2","73,085","28.67","28.82","0.52","1.55","1828400.58","-1.02"
"ABD","17.95","25.00","25.75","0.87","295,340","222,175","6.12%","-6.00%","1.34B","53.62M","45.34M","N/A","N/A","N/A","8.032","0.64","0.64","36.582","0.919","3.17","39.31","0.70","1.94B","183.10M","34.40M","1.77%","6.05%","31-Dec","30-Sep-06","4.39%","8.69%","1.705","1.985","49.30M","5.44M","10.20%","4.26M","14.2","300,100","24.99","26.47","5.92","1.55","5057976.00","4.38"
"ABER","none","36.33","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","0.57","none","none","none","none","-28.1%","N/A","0","1","none","none","none","none","none","none","none","none","none","12,420","37.48","36.69","-2.11","1.55","1923586.04","-3.65"
"ABFS","38.45","38.50","50.67","1.1","565,840","332,262","-6.65%","-18.77%","960.77M","24.96M","21.42M","0.60","1.50%","N/A","24.395","3.91","3.91","78.781","5.835","1.60","9.85","0.49","1.99B","212.47M","97.68M","5.04%","7.31%","31-Dec","30-Sep-06","9.75%","17.19%","1.418","0.039","145.61M","3.17M","14.00%","3.12M","5.9","331,849","37.21","36.00","-3.25","1.55","17099185.72","-4.80"
"ABG","15.85","23.59","26.08","0.66","451,832","477,200","39.88%","27.76%","788.90M","33.44M","13.59M","0.80","3.50%","N/A","18.042","2.06","2.06","175.944","3.991","1.28","11.46","0.13","5.81B","208.90M","67.19M","1.19%","3.19%","31-Dec","30-Sep-06","6.34%","11.91%","1.489","1.82","133.48M","700.94K","2.30%","655.30K","1.1","398,200","23.59","23.56","-0.13","1.55","6147554.00","-1.67"
"ABI","26.13","36.74","39.49","1.28","1,075,020","677,600","35.42%","23.30%","6.73B","183.21M","182.27M","0.17","0.50%","22-Feb-00","7.945","0.928","0.928","10.738","1.551","4.64","39.59","3.42","1.97B","407.61M","174.42M","8.79%","16.62%","30-June","30-Sep-06","9.62%","12.14%","1.856","N/A","284.14M","3.39M","1.90%","5.26M","2.5","868,200","36.61","36.69","0.22","1.55","37803486.00","-1.33"
"ABIX","5.60","6.18","14.78","5.85","13,169.2","28,625","-53.28%","-65.40%","10.57M","1.71M","869.09K","N/A","N/A","N/A","6.905","0.77","0.77","40.925","0.245","0.85","8.01","0.14","70.03M","3.35M","1.32M","1.89%","4.06%","31-Dec","30-Sep-06","7.18%","11.84%","1.841","0.627","419.15K","5.28K","0.60%","4.93K","0.7","19,565","6.66","6.78","1.80","1.55","133486.38","0.26"
"ABK","73.74","83.67","87.50","1.37","689,511","638,950","9.92%","-2.20%","8.88B","106.09M","105.11M","0.72","0.90%","13-Dec-00","56.550999","8.17","8.17","16.99","4.901","1.49","10.24","4.93","1.81B","1.30B","877.48M","48.48%","71.67%","31-Dec","30-Sep-06","4.05%","15.67%","0.301","0.404","519.95M","1.54M","1.50%","1.43M","2.3","965,000","84.70","89.07","5.16","1.55","46153030.00","3.61"
"ABL","9.08","10.00","11.99","0.76","509.231","387.5","-15.29%","-27.41%","34.41M","3.44M","1.29M","N/A","N/A","12-Jul-94","5.647","-1.14","-1.14","131.236","6.403","1.79","N/A","0.08","451.71M","44.86M","-3.85M","-0.87%","6.33%","31-Dec","30-Sep-06","5.04%","-17.15%","1.368","7.538","22.03M","730","N/A","340","1.1","100","","","0.00","1.55","0.00","-1.55"
"ABM","16.11","20.31","21.89","1.18","175,237","105,062","-1.28%","-13.40%","994.52M","48.97M","43.44M","0.44","2.10%","07-May-02","10.049","0.81","0.81","54.537","1.053","2.07","25.23","0.38","2.67B","97.33M","40.13M","1.50%","2.77%","31-Oct","31-Jul-06","5.33%","8.32%","1.96","N/A","51.54M","2.24M","4.80%","2.79M","9.3","112,300","20.85","22.71","8.92","1.55","3836400.00","7.38"
"ABMC","0.85","0.91","1.26","1.27","40,327.7","114,462","-13.46%","-25.58%","19.53M","21.46M","17.97M","N/A","N/A","N/A","0.268","-0.02","-0.02","0.623","0.042","3.36","N/A","1.45","13.36M","-22.00K","-467.00K","-3.50%","-3.14%","31-Dec","30-Sep-06","-3.02%","-7.93%","3.675","0.122","906.00K","455","N/A","1.79K","0","7,700","","","0.00","1.55","0.00","-1.55"
"ABMD","8.63","12.34","16.19","1.35","156,062","108,962","44.28%","32.16%","329.52M","26.70M","22.10M","N/A","N/A","02-Oct-00","2.284","-0.87","-0.87","1.826","0.823","5.58","N/A","7.06","48.21M","-16.14M","-22.97M","-47.65%","-46.65%","31-Mar","30-Sep-06","-15.76%","-33.43%","3.972","N/A","21.98M","2.04M","8.40%","2.02M","17.8","149,224","12.44","14.10","13.34","1.55","2382682.96","11.80"
"ABN","24.54","29.55","31.34","1.17","225,134","197,225","20.79%","8.67%","56.25B","1.90B","1.90B","1.05","3.50%","13-May-97","16.32","2.15","2.15","18.67","149.287","1.83","13.74","1.61","35.13B","N/A","4.07B","11.71%","28.37%","31-Dec","30-Sep-06","0.33%","14.07%","N/A","N/A","284.17B","433.91K","N/A","508.52K","1.9","342,000","30.18","32.05","6.20","1.55","6693924.00","4.65"
"ABNJ","9.77","12.16","12.39","0.06","24,873.8","86,300","20.70%","8.58%","172.70M","14.20M","4.26M","0.16","1.30%","N/A","8.595","0.16","0.16","1.058","0.504","1.40","76.00","12.16","14.10M","N/A","2.13M","15.13%","100.00%","Financial","Savings & Loans","0.40%","2.60%","N/A","N/A","7.16M","11.83K","0.10%","11.91K","1.4","114,560","12.24","11.98","-2.12","1.55","368154.72","-3.67"
"ABP","2.90","3.70","7.25","5.68","208,963","137,238","-47.75%","-59.87%","157.86M","42.67M","39.50M","N/A","N/A","N/A","-0.477","0.14","0.14","1.34","0.024","N/A","26.24","2.79","56.84M","27.86M","6.25M","10.92%","42.30%","31-Dec","30-Sep-06","12.86%","N/A","0.722","N/A","1.03M","1.25M","3.30%","1.17M","4","123,500","4.09","3.09","-24.45","1.55","744789.00","-26.00"
"ABPI","1.96","3.15","8.86","7.99","173,143","45,562.5","-51.94%","-64.06%","98.67M","31.32M","16.87M","N/A","N/A","N/A","-0.345","-2.00","-2.00","1.273","0.006","N/A","N/A","3.72","27.09M","-26.35M","-42.20M","-156.43%","-108.65%","30-Sep","30-Jun-06","-47.12%","N/A","0.367","N/A","189.27K","109.07K","0.50%","112.91K","2.5","82,175","3.24","3.50","8.02","1.55","113238.00","6.48"
"ABR","23.26","28.49","28.83","1.63","80,195.4","90,637.5","4.51%","-7.61%","486.41M","17.07M","15.55M","2.32","8.10%","N/A","16.955999","2.64","2.64","4.338","0.498","1.69","10.79","6.59","74.39M","N/A","45.35M","60.96%","70.49%","31-Dec","30-Sep-06","2.97%","15.71%","3.509","4.999","8.51M","776.54K","5.10%","777.36K","9.6","91,300","28.23","30.09","6.59","1.55","5829495.00","5.04"
"ABT","37.50","46.39","49.87","-0.09","5,197,940","4,312,440","20.45%","8.33%","71.20B","1.53B","1.53B","1.18","2.50%","01-Jun-98","10.186","2.06","2.06","14.547","0.685","4.61","22.56","3.23","22.31B","6.54B","3.17B","14.21%","20.44%","31-Dec","30-Sep-06","10.17%","21.20%","1.355","0.604","1.05B","13.15M","0.90%","13.54M","2.5","5,178,200","46.57","48.71","4.60","1.55","229119743.00","3.05"
"ABTL","2.55","2.92","5.54","3.07","189,374","516,950","-42.73%","-54.85%","124.16M","42.52M","41.25M","N/A","N/A","N/A","2.567","-0.57","-0.57","2.758","0.767","1.23","N/A","1.15","116.56M","-18.24M","-24.09M","-20.67%","-22.16%","31-Dec","30-Sep-06","-9.73%","-20.18%","2.682","N/A","32.63M","1.74M","4.30%","1.98M","12.6","186,555","3.10","3.50","12.90","1.55","4533188.90","11.36"
"ABV","33.90","45.30","49.25","2.19","481,626","506,362","20.59%","8.47%","29.20B","644.58M","644.58M","1.14","2.50%","N/A","13.878","3.002","3.002","14.096","1.131","3.36","15.09","3.84","7.83B","3.27B","1.67B","21.34%","26.77%","31-Dec","30-Sep-06","8.24%","18.50%","1.027","0.457","728.85M","1.15M","N/A","1.31M","3.1","593,800","46.00","48.80","6.09","1.55","14756800.00","4.54"
"ABVA","13.91","16.15","17.47","1.12","4,964.62","4,212.5","14.30%","2.18%","89.54M","5.54M","4.94M","N/A","N/A","07-Jun-06","9.669","0.85","0.85","4.589","7.462","1.70","18.98","3.58","25.38M","N/A","5.04M","19.84%","51.44%","31-Dec","30-Sep-06","0.77%","9.82%","N/A","N/A","41.37M","1.97K","N/A","3.68K","0.8","22,069","16.04","15.65","-2.43","1.55","317912.80","-3.98"
"ABX","25.10","29.75","36.03","1.16","4,863,880","4,651,250","8.46%","-3.66%","25.70B","864.00M","862.01M","0.22","0.70%","02-Mar-93","15.83","1.641","1.641","6.732","2.044","1.88","18.13","5.02","5.12B","2.46B","1.25B","24.65%","34.73%","31-Dec","30-Sep-06","8.12%","14.32%","1.679","0.272","1.77B","14.28M","N/A","14.78M","3","5,827,700","31.20","30.70","-1.60","1.55","114747360.00","-3.15"
"ABXA","4.94","6.00","8.50","2.23","337,394","353,488","-11.16%","-23.28%","349.62M","58.27M","57.85M","N/A","N/A","N/A","2.333","0.52","0.52","23.181","1","2.66","11.63","0.27","1.35B","82.18M","30.21M","2.24%","2.77%","31-Dec","30-Sep-06","4.62%","24.61%","0.669","1.36","58.27M","2.04M","3.50%","2.30M","6","387,416","6.20","6.93","11.77","1.55","2637287.80","10.23"
"ABY","2.27","2.28","4.53","2.91","869,682","1,002,800","-31.07%","-43.19%","1.00B","440.00M","394.94M","0.09","3.90%","N/A","4.838","-0.559","-0.559","9.979","0.05","0.48","N/A","0.23","4.39B","655.85M","-237.13M","-5.60%","2.85%","31-Dec","30-Sep-06","1.04%","-10.63%","1.454","1.588","22.04M","3.12M","N/A","3.06M","3.8","2,086,500","2.31","2.56","10.82","1.55","6507501.00","9.28"
"ACA","12.60","12.98","13.25","0","381,480","133,338","N/A","none","477.17M","36.76M","4.92M","N/A","N/A","N/A","29.466","1.40","1.40","17.525","6.152","0.44","9.30","1.19","400.62M","332.15M","41.83M","10.44%","80.60%","31-Dec","30-Jun-06","N/A","N/A","0.103","12.009","226.15M","N/A","N/A","N/A","N/A","38,900","12.99","15.46","19.01","1.55","798885.00","17.47"
"ACAD","5.07","9.04","17.94","1.3","174,232","90,412.5","N/A","none","269.37M","29.80M","22.26M","N/A","N/A","N/A","2.633","-1.63","-1.63","0.334","3.177","3.53","N/A","31.48","8.80M","-45.96M","-42.85M","N/A","-561.20%","31-Dec","30-Sep-06","-34.15%","-67.17%","4.71","0.026","94.66M","2.41M","8.20%","2.30M","15.2","152,243","9.29","8.79","-5.38","1.55","845213.49","-6.93"
"ACAM","3.48","4.08","7.99","1.1","31,927.7","81,587.5","-43.87%","-55.99%","218.87M","53.64M","49.86M","N/A","N/A","24-Feb-04","2.29","-0.91","-0.91","1.34","1.661","1.80","N/A","3.07","72.08M","-62.42M","-49.08M","-68.10%","-100.54%","31-Dec","30-Sep-06","-21.73%","-33.09%","2.882","0.145","89.08M","41.57K","N/A","65.19K","3.3","50,165","3.91","","0.00","1.55","21027.98","-1.55"
"ACAP","29.25","37.86","40.35","1.12","50,883.1","35,487.5","35.65%","23.53%","441.22M","11.65M","10.28M","N/A","N/A","02-Nov-06","22.746","3.27","3.27","16.573","4.327","1.76","11.57","2.30","203.11M","67.81M","41.03M","20.20%","31.72%","31-Dec","30-Sep-06","3.64%","15.61%","2.548","0.116","50.44M","478.92K","4.70%","510.78K","8","43,781","39.47","40.04","1.44","1.55","2332440.18","-0.10"
"ACAS","29.65","43.96","45.06","1.07","968,722","602,300","16.90%","4.78%","6.34B","144.18M","142.11M","3.52","7.80%","N/A","27.958","5.19","5.19","6.237","0.237","1.61","8.47","8.22","789.20M","610.47M","662.76M","84.11%","74.93%","31-Dec","30-Sep-06","5.91%","20.24%","0.515","0.897","34.13M","8.83M","6.20%","6.78M","8.8","994,867","45.10","46.26","2.57","1.55","37487255.30","1.03"
"ACAT","15.52","16.95","25.75","1.85","118,303","69,237.5","-14.49%","-26.61%","325.03M","19.18M","11.87M","0.28","1.60%","06-Sep-94","10.432","1.00","1.00","37.698","0.441","1.69","16.95","0.46","730.34M","52.30M","19.52M","2.67%","3.75%","31-Mar","30-Sep-06","4.99%","10.07%","1.766","N/A","8.45M","2.19M","18.60%","1.90M","17.9","137,068","16.62","17.59","5.84","1.55","649941.72","4.29"
"ACBA","10.72","11.1018","13.8333","1.22","5,515.38","6,000","-1.25%","-13.37%","77.53M","6.98M","6.15M","0.20","1.80%","22-Feb-06","7.728","0.555","0.555","2.766","3.812","1.44","20.00","4.08","19.02M","N/A","4.06M","21.34%","54.52%","31-Dec","30-Sep-06","0.88%","7.81%","N/A","N/A","26.63M","898","N/A","1.62K","0.1","0","","","0.00","1.55","0.00","-1.55"
"ACC","22.40","28.12","28.95","1.16","195,311","410,012","12.16%","0.04%","644.03M","22.90M","20.99M","1.35","4.70%","N/A","15.476","0.19","0.19","6.588","1.408","1.85","150.37","5.71","115.11M","51.30M","3.54M","3.34%","24.04%","31-Dec","30-Sep-06","2.44%","1.22%","2.972","1.2","32.24M","923.32K","4.10%","815.95K","3.5","155,200","29.25","28.47","-2.67","1.55","5610150.00","-4.21"
"ACCL","5.00","6.18","8.40","3.08","56,890.8","39,100","-16.97%","-29.09%","162.79M","26.34M","25.92M","N/A","N/A","N/A","2.579","-0.24","-0.24","3.062","2.015","2.47","N/A","2.09","80.24M","2.96M","-6.39M","-7.96%","-4.91%","31-Mar","30-Sep-06","-0.94%","-8.19%","1.313","N/A","53.08M","304.27K","1.20%","130.69K","4.9","57,146","6.08","6.01","-1.15","1.55","540432.96","-2.70"
"ACE","47.81","56.94","59.24","1.19","1,152,770","867,438","2.80%","-9.32%","18.57B","326.15M","324.52M","1.00","1.70%","03-Mar-98","41.444","5.62","5.62","40.706","10.894","1.39","10.13","1.44","13.05B","N/A","1.83B","14.38%","18.46%","31-Dec","30-Sep-06","2.42%","15.77%","2.753","0.181","3.55B","2.55M","0.80%","2.85M","2.1","1,027,200","56.38","60.57","7.43","1.55","81147734.00","5.89"
"ACEC","0.88","0.97","3.70","0.68","97,178.5","114,812","-62.31%","-74.43%","18.07M","18.63M","13.56M","N/A","N/A","N/A","0.287","-0.15","-0.15","1.348","0.038","3.41","N/A","0.79","23.01M","-781.00K","-2.53M","-10.97%","-10.04%","30-June","30-Sep-06","-9.86%","-43.40%","1.299","0.465","699.00K","202.66K","1.20%","208.97K","3.1","38,491","0.96","1.25","30.21","1.55","42397.44","28.66"
"ACEL","0.73","1.51","4.99","1.53","141,082","171,075","4.58%","-7.54%","67.05M","44.41M","31.00M","N/A","N/A","N/A","0.208","-0.21","-0.21","N/A","0.259","7.69","N/A","N/A","N/A","-7.40M","-7.81M","N/A","N/A","31-July","31-Jul-06","-55.53%","-125.42%","4.467","N/A","11.52M","340.39K","0.80%","299.86K","3.2","72,299","1.48","1.71","15.54","1.55","51267.20","13.99"
