"Company","52-Week Low","Recent Price","52-Week High","Beta","Daily Volume (3-month avg)","Daily Volume (10-day avg)","52-Week Change","52-Week Change relative to S&P500","Market Capitalization","Shares Outstanding","Float","Annual Dividend","Dividend Yield","Last Split","Book Value","Earnings (ttm)","Earnings (mrq)","Sales (per share)","Cash","Price/Book","Price/Earnings","Price/Sales","Sales (ttm)","EBITDA","Income","Profit Margin","Operating Margin","Fiscal Year Ends","Most recent quarter","Return Assets","Return Equity","Current Ratio","Debt/Equity","Total Cash","Shares Short","Percent of Float","Shares Short (Prior Month)","Short Ratio","Daily Volume","Start Price","End Price","Company Return","Market Return","DCV","Delta Return"
"A","26.96","32.61","39.54","2.74","2,701,880","4,025,810","-5.97%","-18.09%","13.30B","408.00M","402.45M","N/A","N/A","N/A","8.953","7.51","7.51","11.531","5.544","3.75","4.34","2.76","4.97B","1.42B","1.44B","66.60%","6.92%","31-Oct","31-Oct-06","11.05%","37.32%","2.506","0.411","2.26B","4.54M","1.10%","3.84M","1.7","2,654,500","31.97","34.85","9.01","1.55","76197298.00","7.46"
"AA","26.39","30.16","36.96","1.74","7,563,300","6,915,000","12.37%","0.25%","26.15B","867.10M","865.45M","0.60","2.00%","12-Jun-00","16.896","2.41","2.41","34.12","0.648","1.82","12.49","0.90","29.67B","5.07B","2.09B","7.12%","12.50%","31-Dec","30-Sep-06","6.79%","14.76%","1.038","0.54","562.00M","14.15M","1.60%","15.43M","2.1","8,322,600","30.87","30.01","-2.79","1.55","215534340.00","-4.33"
"AAA","52.42","57.79","63.90","0.45","11,403.1","4,287.5","9.60%","-2.52%","7.86B","136.02M","65.55M","1.05","1.80%","N/A","21.559999","4.84","4.84","35.09","2.61","2.70","11.94","1.66","4.76B","1.14B","596.52M","13.80%","19.84%","31-Dec","30-Sep-06","12.89%","21.82%","1.93","0.145","354.99M","77","N/A","15.69K","0","1,800","59.20","62.00","4.73","1.55","153920.00","3.18"
"AAC","0.20","0.24","0.53","4","506,185","370,238","-34.29%","-46.41%","14.98M","62.41M","58.65M","N/A","N/A","07-Sep-99","0.214","0.01","0.01","0.102","0.01","1.07","40.00","2.25","6.39M","-169.34K","363.87K","5.70%","-5.52%","31-Dec","30-Sep-06","-1.68%","2.80%","77.685","N/A","619.62K","12.16K","N/A","22.21K","0","362,700","0.23","0.20","-13.04","1.55","140139.00","-14.59"
"AACC","14.03","16.56","25.60","1.06","155,000","143,112","-15.61%","-27.73%","585.30M","35.34M","14.11M","N/A","N/A","N/A","7.425","1.13","1.13","6.64","0.926","2.34","14.72","2.50","246.53M","N/A","41.81M","16.96%","26.38%","31-Dec","30-Sep-06","12.60%","16.41%","16.356","0","32.73M","1.19M","4.70%","1.19M","7.7","102,697","16.58","16.82","1.45","1.55","1353873.06","-0.10"
"AAI","9.06","12.71","18.85","0.79","2,410,370","4,096,820","-14.27%","-26.39%","1.16B","91.05M","90.27M","N/A","N/A","22-Nov-95","4.289","0.21","0.21","20.507","4.051","3.11","61.11","0.66","1.84B","73.15M","19.21M","1.04%","2.42%","31-Dec","30-Sep-06","2.11%","5.23%","1.087","1.765","368.86M","17.23M","19.10%","15.34M","9","2,356,400","12.53","11.74","-6.30","1.55","22386098.00","-7.85"
"AAME","2.24","2.811","3.45","0.17","4,209.23","7,625","4.92%","-7.20%","60.39M","21.48M","5.70M","N/A","N/A","N/A","4.286","0.06","0.06","8.089","1.049","0.65","46.85","0.34","173.07M","5.83M","619.00K","1.05%","2.76%","31-Dec","30-Sep-06","0.66%","2.13%","0.666","0.585","22.54M","9.43K","0.20%","1.49K","2.4","8,132","2.85","2.96","3.86","1.55","3035.25","2.31"
"AANB","12.80","13.30","15.00","0.08","1,896.92","2,837.5","-8.25%","-20.37%","46.04M","3.46M","2.26M","0.50","3.80%","30-Dec-04","8.519","0.92","0.92","5.251","7.03","1.55","14.49","2.52","18.18M","N/A","3.18M","17.51%","43.86%","31-Dec","30-Sep-06","0.88%","11.08%","N/A","N/A","24.34M","2.11K","0.10%","2.04K","1.2","3,131","13.40","13.35","-0.37","1.55","18090.00","-1.92"
"AAON","16.66","25.85","29.30","1.19","24,418.5","20,687.5","67.20%","55.08%","319.04M","12.34M","8.58M","0.40","1.40%","05-Jun-02","7.279","1.18","1.18","18.36","0.038","3.86","22.00","1.54","225.79M","31.59M","14.88M","6.59%","9.94%","31-Dec","30-Sep-06","10.98%","17.70%","1.714","0.074","467.00K","366.71K","3.90%","385.30K","16.6","30,077","27.88","26.28","-5.74","1.55","818417.40","-7.28"
"AAP","27.65","36.84","45.50","1.66","1,076,010","692,612","-12.48%","-24.60%","3.88B","105.25M","98.23M","0.24","0.60%","26-Sep-05","9.414","2.18","2.18","42.712","0.133","4.04","16.92","0.88","4.56B","557.24M","235.32M","5.16%","8.98%","31-Dec","07-Oct-06","10.14%","24.73%","1.385","0.634","13.99M","2.60M","2.60%","2.72M","2.3","703,600","35.29","35.56","0.77","1.55","57469765.00","-0.78"
"AAPL","50.16","89.54","93.08","2.03","25,244,700","21,378,200","32.15%","20.03%","76.48B","854.19M","843.68M","N/A","N/A","28-Feb-05","11.752","2.27","2.27","22.883","11.836","7.80","39.43","4.05","19.32B","2.80B","1.99B","10.32%","12.71%","30-Sep","30-Sep-06","11.36%","22.77%","2.247","N/A","10.11B","27.80M","3.30%","32.28M","1.1","38,291,118","91.32","84.84","-7.10","1.55","2575897941.60","-8.64"
