Company,52-Week Low,Recent Price,52-Week High,Beta,Daily Volume (3-month avg),Daily Volume (10-day avg),52-Week Change,52-Week Change relative to S&P500,Market Capitalization,Shares Outstanding,Float,Annual Dividend,Dividend Yield,Last Split,Book Value,Earnings (ttm),Earnings (mrq),Sales (per share),Cash,Price/Book,Price/Earnings,Price/Sales,Sales (ttm),EBITDA,Income,Profit Margin,Operating Margin,Fiscal Year Ends,Most recent quarter,Return Assets,Return Equity,Current Ratio,Debt/Equity,Total Cash,Shares Short,Percent of Float,Shares Short (Prior Month),Short Ratio,Daily Volume,Start Price,End Price,Company Return,Market Return,DCV,Delta Return
AA,25.875,33.17,45.71,1.17,3.42M,2.88M,15.60%,55.90%,28.2B,849.3M,738.9M,0.6,1.81%,none,12.67,1.65,0.39,28.05,0.57,2.62,20.07,1.18,24.4B,4.25B,1.44B,7.10%,10.40%,31-Dec,none,5.76%,13.07%,1.5,0.59,484.0M,9.96M,1.30%,9.51M,3.3,3.02M,31.5,32.27,2.44,0.8,110105100,1.64
AACE,7.25,9.3,14,0.63,17.5K,13.0K,-24.80%,1.40%,93.5M,10.1M,4.50M,none,none,none,5.56,0.11,0.2,20.52,13.08,1.67,81.58,0.45,208.4M,26.5M,1.21M,0.60%,1.00%,30-Jun,none,0.44%,2.19%,1,0.25,131.6M,"3,000",0.10%,12.0K,0.09,35.0K,8,9.35,16.87,0.8,112000,16.07
AAE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,22.95,23.75,3.49,0.8,126225,2.68
AAII,6.5,17.21,23.22,1.02,23.5K,"9,000",105.50%,177.20%,308.5M,17.9M,4.30M,none,none,none,3.8,0,0.06,6.26,0.11,4.53,none,2.75,111.3M,9.77M,-36.0K,0%,2.30%,31-Dec,none,-0.03%,-0.05%,1.44,0.23,1.99M,81.0K,1.90%,60.0K,5.4,15.0K,15.29,19.99,30.74,0.8,903639,29.94
AAON,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,20,16.9,-15.5,0.8,566000,-16.3
AAPL,13.625,16.2,27.12,1.31,5.65M,6.49M,-25.50%,-1.70%,5.68B,350.8M,312.2M,none,none,none,11.01,0.15,0.17,16.43,12.04,1.47,106.58,0.99,5.78B,-223.0M,67.0M,1.20%,-5.40%,30-Sep,none,1.05%,1.73%,3.25,0.08,4.22B,6.64M,2.10%,6.30M,1.44,4.61M,15.05,17.57,16.74,0.8,57659560,15.94
AAR,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,20.7,20,-3.38,0.8,1202670,-4.19
AAT,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,12.45,12.55,0.8,0.8,130725,0
AATK,0.5,2.92,5.109,-1.39,20.1K,109.0K,-20.80%,4.50%,13.2M,4.53M,3.40M,none,none,none,1.02,-0.51,-0.14,0.98,0.05,2.87,none,2.98,4.55M,-1.35M,-2.33M,-50.80%,-34.40%,31-Dec,none,-38.09%,-42.36%,4.15,0.05,218.0K,"1,000",0.00%,"1,000",0.25,"4,000",1.1,1.55,40.91,0.8,8140,40.11
AAUK,9.46,12.55,18.25,0.98,183.2K,197.0K,-6.60%,23.20%,29.4B,2.34B,1.62B,none,none,none,9.8,2.21,1.74,10.08,0.59,1.28,5.67,1.25,15.8B,4.32B,3.43B,27.00%,20.90%,31-Dec,none,14.29%,21.62%,1.45,0.17,964.0M,286.0K,0.00%,333.0K,1.67,171.0K,11.87,12.92,8.85,0.8,2769271,8.04
