Company,52-Week Low,Recent Price,52-Week High,Beta,Daily Volume (3-month avg),Daily Volume (10-day avg),52-Week Change,52-Week Change relative to S&P500,Market Capitalization,Shares Outstanding,Float,Annual Dividend,Dividend Yield,Last Split,Book Value,Earnings (ttm),Earnings (mrq),Sales (per share),Cash,Price/Book,Price/Earnings,Price/Sales,Sales (ttm),EBITDA,Income,Profit Margin,Operating Margin,Fiscal Year Ends,Most recent quarter,Return Assets,Return Equity,Current Ratio,Debt/Equity,Total Cash,Shares Short,Percent of Float,Shares Short (Prior Month),Short Ratio,Daily Volume,Start Price,End Price,Company Return,Market Return,DCV,Delta Return
ABCB,8,13,13.5,0.3,"8,364","4,000",36.80%,80.60%,113.8M,8.76M,7.80M,0.48,3.69%,none,10.16,1.15,0.25,8.49,5.82,1.28,11.29,1.53,72.1M,none,9.74M,13.50%,none,31-Dec,none,1.17%,12.00%,none,none,none,none,none,none,none,none,13.06,12.75,-2.37,0.8,126682,-3.18
ABCW,12.875,16.25,18.51,0.53,74.7K,26.0K,7.40%,41.80%,367.5M,22.6M,17.9M,0.33,2.03%,none,9.92,1.22,0.35,10.08,2.76,1.64,13.34,1.61,230.9M,none,27.9M,12.10%,34.70%,31-Mar,none,0.90%,12.87%,none,none,62.8M,447.0K,2.50%,294.0K,3.13,143.0K,16.43,15.78,-3.96,0.8,131440,-4.76
ABF,7,9.16,14.2,1.54,391.4K,372.0K,-1.00%,30.70%,440.6M,48.1M,37.0M,0.16,1.75%,none,17.39,-0.85,-0.13,68.36,0.55,0.53,none,0.13,3.29B,172.3M,-40.7M,-1.20%,-1.20%,31-Dec,none,-2.35%,-4.73%,0.91,0.28,26.5M,952.0K,2.60%,1.17M,2.44,391.0K,9.14,9.92,8.53,0.8,2863562,7.73
ABFI,4.813,17.05,21.7,0.57,29.0K,57.0K,210.00%,309.10%,43.9M,2.58M,1.10M,0.32,1.88%,none,24.78,2.47,0.45,57.75,33.75,0.69,6.91,0.29,183.3M,100.2M,7.86M,4.30%,7.20%,30-Jun,none,1.19%,11.87%,none,8.81,91.1M,445.0K,40.50%,414.0K,27.81,16.0K,17.04,18.55,8.86,0.8,420888,8.06
ABFS,12.125,20.85,28.25,0.92,286.8K,132.0K,48.90%,96.50%,430.4M,20.6M,15.1M,none,none,none,15.26,2.65,0.4,71.04,0.18,1.37,7.88,0.29,1.73B,118.7M,60.2M,3.70%,6.90%,31-Dec,none,8.15%,21.09%,0.81,0.51,3.71M,540.0K,3.60%,1.41M,3.1,174.0K,19.85,23.58,18.79,0.8,2739300,17.99
ABGX,15.313,25.15,94.875,2.43,1.51M,1.66M,-65.70%,-54.70%,2.17B,86.2M,64.6M,none,none,none,9.79,-0.29,-0.17,0.81,6.68,2.57,none,30.85,71.4M,-18.9M,-25.4M,-35.60%,-35.60%,31-Dec,none,-3.17%,-3.35%,24.32,0,575.4M,2.63M,4.10%,1.80M,1.83,1.44M,24.92,29.78,19.5,0.8,37095912,18.7
ABI,18.5,24.99,133.313,1.59,1.19M,1.01M,-76.30%,-68.70%,5.29B,211.6M,211.3M,0.17,0.68%,none,4.92,0.96,0.22,7.34,1.86,5.08,25.98,3.4,1.62B,346.7M,212.4M,13.10%,17.30%,30-Jun,none,12.63%,21.42%,2,0.04,392.5M,2.19M,1.00%,2.35M,1.98,1.10M,24.8,29.18,17.66,0.8,25643200,16.86
ABIZ,0.76,0.95,10.125,3.2,285.0K,466.0K,-89.50%,-86.20%,127.8M,134.5M,27.6M,none,none,none,1.92,-4.95,-0.61,4.86,0.02,0.49,none,0.2,429.7M,-96.0M,-398.3M,-84.00%,-55.00%,31-Dec,none,-19.52%,-242.59%,0.82,5.21,2.15M,2.13M,7.70%,1.79M,3.72,572.0K,1.21,0.72,-40.5,0.8,197956,-41.3
ABJ,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,24.89,24.9,0.04,0.8,258856,-0.76
ABK,42.2,53.77,64,0.67,552.2K,679.0K,10.40%,45.70%,5.69B,105.9M,75.2M,0.36,0.67%,none,26.35,3.63,0.99,6.13,0.33,2.04,14.83,8.77,665.1M,none,393.5M,59.20%,84.50%,31-Dec,none,3.78%,15.47%,none,0.15,35.2M,1.07M,1.40%,524.0K,2.19,489.0K,54.21,48,-11.46,0.8,41069496,-12.26
ABLE,1.625,4.05,6.75,0.83,"3,045","3,000",8.00%,42.50%,8.10M,2.00M,1.00M,none,none,none,2.38,-0.67,-0.45,16.49,0.5,1.7,none,0.25,34.0M,-789.0K,-1.37M,-4.00%,-5.30%,30-Jun,none,-11.23%,-24.49%,0.78,0.67,999.0K,0,none,"2,000",none,"2,000",4.1,3.55,-13.41,0.8,8200,-14.22
ABM,24.96,26.07,38.2,0.41,67.6K,148.0K,-1.60%,29.80%,633.5M,24.3M,16.0M,0.66,2.53%,none,14.84,1.93,0.52,78.12,0.1,1.76,13.52,0.33,1.93B,93.8M,47.7M,2.50%,4.00%,31-Oct,none,7.51%,14.48%,2,0.03,2.39M,219.0K,1.40%,231.0K,4.06,54.0K,25.03,27.16,8.51,0.8,1211452,7.71
ABMC,0.25,0.86,1.5,0.18,28.0K,37.0K,-25.60%,-1.80%,17.6M,20.5M,12.7M,none,none,none,0.06,-0.1,-0.01,0.38,0.01,13.93,none,2.25,6.88M,-2.35M,-1.82M,-26.40%,-33.40%,30-Apr,none,-43.33%,-88.52%,1.2,0.03,215.0K,"1,000",0.00%,"2,000",0.03,37.0K,0.85,0.86,1.18,0.8,33065,0.37
ABMD,10.5,19.21,37.75,0.54,144.0K,189.0K,-46.20%,-29.00%,400.0M,20.8M,12.5M,none,none,none,4.93,-0.76,-0.3,1.21,4.23,3.9,none,15.86,25.0M,-17.8M,-15.7M,-62.80%,-85.10%,31-Mar,none,-13.26%,-14.27%,11.39,0,88.1M,4.14M,33.20%,3.92M,37.01,112.0K,17.2,21.74,26.4,0.8,3563840,25.59
ABN,14.3,16.15,26.063,1.15,154.2K,218.0K,-29.40%,-6.80%,24.3B,1.50B,1.34B,none,none,none,none,1.32,0.41,none,none,none,12.26,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,16.3,15.32,-6.01,0.8,4167910,-6.82
ABS,21,31.99,36.99,0.17,1.53M,1.79M,33.60%,76.40%,13.0B,406.1M,300.5M,0.76,2.38%,none,13.8,1.04,-0.37,91.38,0.34,2.32,30.88,0.35,37.4B,2.20B,427.0M,1.10%,3.10%,1-Feb,none,none,none,none,none,none,none,none,none,none,none,31.45,31.91,1.46,0.8,59204625,0.66
ABT,42,51.77,56.25,0.45,3.19M,4.02M,8.60%,43.30%,80.3B,1.55B,1.44B,0.84,1.62%,none,5.52,1.09,0.34,9.39,0.57,9.38,47.49,5.51,14.7B,3.08B,1.71B,11.70%,14.60%,31-Dec,none,9.59%,20.53%,1.07,0.88,884.8M,9.52M,0.70%,12.0M,3.61,2.64M,53.4,53.1,-0.56,0.8,265195080,-1.37
ABTL,0.7,0.82,6.813,0.43,89.4K,77.0K,-87.10%,-83.00%,25.3M,30.9M,16.7M,none,none,none,2.4,-2.55,-1.8,3.28,3.31,0.34,none,0.25,66.7M,-55.9M,-51.9M,-81.30%,-88.60%,31-Dec,none,-45.95%,-61.08%,2.79,0,67.4M,782.0K,4.70%,886.0K,9.54,82.0K,0.92,1.27,38.04,0.8,25484,37.24
ABV,13.2,14.45,28.7,1.24,295.5K,595.0K,-36.50%,-16.20%,5.58B,386.5M,255.3M,0.51,3.50%,none,5.22,0.4,0.13,3.6,2.88,2.77,36.22,4.01,1.25B,203.2M,138.6M,10.00%,13.30%,31-Dec,none,6.42%,21.66%,1.13,0.95,378.3M,563.0K,0.20%,557.0K,2.71,208.0K,15.59,16.24,4.17,0.8,6158050,3.37
ABX,12.313,16.86,19.38,0.6,1.94M,2.65M,16.80%,54.10%,6.68B,396.0M,316.8M,0.22,1.30%,none,7.89,-1.95,0.17,3.41,1.72,2.14,none,4.94,1.35B,-654.0M,-772.0M,-57.10%,-70.70%,31-Dec,none,-15.40%,-22.35%,2.94,0.23,681.0M,27.2M,8.60%,24.1M,15.91,1.71M,17.95,15.59,-13.15,0.8,60028390,-13.95
ABY,6.08,6.08,9.313,1.31,228.3K,174.0K,-29.50%,-7.00%,2.68B,440.0M,435.6M,0.26,4.28%,none,4.7,0.72,0.16,9.86,0.05,1.29,8.49,0.62,4.36B,1.26B,316.8M,7.60%,18.80%,31-Dec,none,4.62%,15.93%,1.13,1.65,22.4M,6.58M,1.50%,6.29M,18.44,357.0K,6.34,6.14,-3.15,0.8,323974,-3.96
AC,37.4,46,59.35,1.05,153.8K,226.0K,-2.60%,28.50%,11.4B,247.8M,104.1M,2.84,6.17%,none,16.36,2.71,0.63,11.97,0.85,2.81,16.95,3.84,2.91B,1.10B,650.2M,22.60%,24.00%,31-Dec,none,10.93%,19.69%,none,0.15,211.6M,741.0K,0.70%,747.0K,6.44,115.0K,45.15,47.65,5.54,0.8,7788375,4.73
ACA,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,24.67,24.87,0.81,0.8,342913,0.01
ACAI,8.04,15.42,30.06,1.55,610.3K,819.0K,2.60%,35.40%,674.3M,43.7M,28.9M,none,none,none,4.53,0.52,0.29,11.79,3.11,3.41,29.43,1.31,523.4M,48.4M,23.4M,4.50%,6.70%,31-Dec,none,6.45%,13.49%,2.47,0.36,135.8M,736.0K,2.50%,596.0K,3.31,222.0K,15.94,18.78,17.82,0.8,9855702,17.01
ACAP,13.5,23.1,23.57,none,58.7K,60.0K,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,20.82,22.84,9.7,0.8,243594,8.9
ACAS,20.25,26.1,29.5,0.96,217.7K,244.0K,18.00%,55.70%,879.6M,33.7M,25.6M,2.24,8.58%,none,16.51,-1.35,0.4,2.92,0.07,1.58,none,8.95,78.5M,68.3M,-32.9M,-41.90%,78.20%,31-Dec,none,-5.47%,-7.20%,none,0.23,2.23M,426.0K,1.70%,266.0K,1.73,246.0K,26.8,24.76,-7.61,0.8,9283520,-8.42
ACAT,11.375,12.48,16.46,0.33,77.0K,146.0K,4.00%,37.20%,298.5M,23.9M,9.30M,0.24,1.92%,none,7.12,1.1,0.08,21.57,1.38,1.75,11.34,0.58,521.9M,46.8M,26.9M,5.20%,6.90%,31-Mar,none,10.39%,15.89%,2.62,0,33.0M,259.0K,2.80%,39.0K,3.16,82.0K,13.8,16.15,17.03,0.8,147660,16.23
ACDO,23.25,31.34,62,0.8,435.5K,711.0K,-7.50%,22.10%,810.1M,25.8M,22.7M,none,none,none,7.31,0.66,0.18,17.69,2.18,4.29,47.7,1.77,462.1M,30.8M,17.3M,3.70%,5.70%,30-Jun,none,6.67%,10.83%,1.91,0,56.5M,1.71M,7.50%,1.81M,4,428.0K,36.33,34.07,-6.22,0.8,26408277,-7.02
ACEC,0.688,1.49,7.063,2.4,"6,273","5,000",-76.60%,-69.20%,13.8M,9.28M,4.80M,none,none,none,1.11,-0.75,-0.27,2.57,0.62,1.35,none,0.58,24.2M,-5.20M,-6.93M,-28.60%,-28.80%,30-Jun,none,-36.15%,-48.28%,2.81,0.05,5.77M,0,none,0,none,"7,000",1.38,1.13,-18.12,0.8,8004,-18.92
ACET,7.625,10.29,10.587,-0.03,"5,500",14.0K,8.30%,42.90%,66.9M,6.50M,2.90M,0.32,3.11%,none,10.64,0.7,0.03,28.98,1.28,0.97,14.62,0.35,178.2M,6.76M,4.25M,2.40%,3.30%,30-Jun,none,4.34%,6.39%,2.56,0.18,8.30M,0,none,0,none,"4,000",9.82,10.1263,3.12,0.8,5892,2.32
ACF,20.375,33.02,64.9,1.45,1.64M,1.53M,19.00%,57.00%,2.78B,84.3M,64.9M,none,none,none,12.71,2.58,0.81,9.53,0.92,2.6,12.78,3.46,818.2M,498.1M,222.9M,27.20%,44.30%,30-Jun,none,8.84%,26.09%,none,1.83,77.1M,7.42M,11.40%,4.44M,2.85,2.61M,31.07,15.48,-50.18,0.8,43802486,-50.98
ACG,7.125,8.67,8.94,0.26,277.4K,252.0K,16.60%,53.80%,1.43B,164.7M,163.0M,0.84,9.69%,none,8.22,0.31,0.14,0.51,0.04,1.05,27.88,16.9,111.6M,100.0M,69.2M,62.00%,77.80%,31-Dec,none,4.36%,6.46%,none,0.22,7.00M,263.0K,0.20%,247.0K,1.06,248.0K,8.85,8.63,-2.49,0.8,3070065,-3.29
ACI,9.375,17.5,38.4,-0.28,601.0K,358.0K,59.10%,109.90%,922.3M,52.7M,33.7M,0.23,1.31%,none,11.19,0.28,0.02,35.03,0.04,1.56,61.62,0.5,1.46B,124.8M,11.4M,0.80%,6.10%,31-Dec,none,0.51%,3.67%,0.8,1.32,2.16M,1.55M,4.60%,1.47M,2.94,526.0K,16.44,22.05,34.12,0.8,8239728,33.32
ACK,0.75,2.59,6.188,1.3,96.6K,88.0K,-54.50%,-39.90%,105.7M,40.8M,35.5M,1.92,74.13%,none,17.46,1.09,0.81,72.28,4.35,0.15,2.38,0.04,2.94B,186.1M,45.2M,1.50%,5.50%,31-Dec,none,1.14%,6.48%,3.08,0.09,177.5M,3.74M,10.50%,3.88M,38.18,98.0K,2.65,2.8,5.66,0.8,152905,4.86
ACLA,4.313,5.58,26.375,none,79.0K,77.0K,-72.60%,-63.90%,199.4M,35.7M,15.0M,none,none,none,4.62,-1.78,-0.09,0.1,3.89,1.21,none,55.35,3.46M,-66.9M,-60.4M,none,none,31-Dec,none,-29.62%,-33.26%,34.19,0,139.0M,212.0K,1.40%,255.0K,4.71,45.0K,5.7,5.2,-8.77,0.8,200640,-9.58
ACLS,6.281,10.69,18.6,none,836.8K,1.05M,24.80%,64.70%,1.04B,97.5M,97.0M,none,none,none,5.1,0.76,-0.02,6.47,1.32,2.1,14.16,1.65,625.7M,71.1M,72.7M,11.60%,9.90%,31-Dec,none,12.06%,17.62%,3.92,0,128.4M,3.13M,3.20%,2.19M,4.01,781.0K,9.05,13.11,44.86,0.8,5823675,44.06
ACMR,5.75,17.15,19.05,0.41,15.6K,31.0K,107.90%,174.30%,127.5M,7.43M,3.20M,none,none,none,8.54,0.82,-0.03,38.63,0.54,2.01,20.94,0.44,287.6M,14.7M,6.10M,2.10%,3.60%,31-Dec,none,6.00%,10.00%,2.08,0.34,4.02M,11.0K,0.30%,27.0K,1.57,"7,000",16.5,21.69,31.45,0.8,242550,30.65
ACMTA,6.813,7.5,13.438,0.02,864,"2,000",10.10%,45.30%,18.0M,2.40M,700.0K,none,none,none,15.47,0.78,0.2,10.04,5.22,0.48,9.58,0.75,26.7M,none,2.07M,7.80%,12.80%,31-Dec,none,1.80%,5.52%,none,0.72,12.5M,0,none,0,none,0,7,7.5,7.14,0.8,700,6.34
ACNAF,0.95,1.12,10,1.62,27.0K,105.0K,-84.60%,-79.60%,134.6M,120.2M,40.7M,none,none,none,0.21,-2.46,-0.58,52.87,2.85,5.26,none,0.02,6.76B,-26.2M,-281.6M,-4.20%,-4.70%,31-Dec,none,-4.68%,-117.71%,0.84,111.1,342.4M,0,none,"3,000",none,"3,000",1.27,1.14,-10.24,0.8,121412,-11.04
ACO,3.3,5.75,7.813,0.19,34.6K,17.0K,12.20%,48.10%,161.1M,28.0M,20.2M,0.06,1.04%,none,4.71,0.11,0.1,9.28,1.78,1.22,53.24,0.62,294.0M,21.5M,2.81M,0.80%,0.90%,31-Dec,none,0.65%,2.12%,3.23,0.42,50.0M,55.0K,0.30%,23.0K,2.04,27.0K,5.75,5.6,-2.61,0.8,123050,-3.41
ACOM,1.1,3.25,13.5,none,143.9K,402.0K,-73.10%,-64.40%,126.4M,38.9M,11.4M,none,none,none,3.52,-1.74,-1.21,4.84,1.5,0.92,none,0.67,180.2M,-47.4M,-66.5M,-36.90%,-41.40%,31-Dec,none,-27.55%,-36.74%,1.27,0.05,58.1M,679.0K,6.00%,683.0K,5.07,134.0K,3.26,3.34,2.45,0.8,2966600,1.65
ACPW,3.56,5.38,49.813,none,664.8K,283.0K,-85.80%,-81.30%,214.8M,39.9M,32.1M,none,none,none,3.56,-0.85,-0.17,0.44,2.62,1.51,none,12.23,15.8M,-27.3M,-29.3M,none,none,31-Dec,none,-19.98%,-26.59%,13.73,0,104.6M,1.13M,3.50%,1.28M,1.87,604.0K,5.05,5.21,3.17,0.8,708010,2.36
ACR,2.9,3.48,7,0.49,13.6K,"8,000",-30.40%,-8.20%,60.0M,17.2M,5.70M,none,none,none,7.77,-0.76,-0.23,13.7,1.3,0.45,none,0.25,234.3M,26.2M,-13.1M,-5.70%,2.90%,31-Dec,none,-1.67%,-9.22%,1.06,3.89,22.4M,148.0K,2.60%,156.0K,10.57,14.0K,3.45,3.15,-8.7,0.8,0,-9.5
ACRI,5.156,11.81,33,1.78,86.8K,80.0K,-58.60%,-45.30%,209.7M,17.8M,16.5M,none,none,none,3.66,-2.11,-0.27,0.79,4.93,3.23,none,15.04,12.7M,-43.2M,-33.6M,none,none,31-Dec,none,-45.67%,-51.67%,2.67,0,87.4M,1.31M,8.00%,1.57M,11.41,115.0K,10.12,12.76,26.09,0.8,957352,25.28
ACRN,0.25,0.55,1.45,0.45,"1,591",0,-45.00%,-27.40%,3.33M,6.06M,400.0K,none,none,none,3.83,-1.45,-0.08,16.23,0.24,0.14,none,0.03,98.4M,-1.03M,-8.76M,-8.90%,-8.80%,31-Dec,none,none,none,none,none,none,none,none,none,none,none,0.49,0.48,-2.04,0.8,196,-2.84
ACRT,15,22.05,44.3,1.4,158.6K,142.0K,44.60%,90.80%,217.9M,9.88M,7.10M,none,none,none,6.6,1.98,0.37,5.13,4.27,3.34,11.14,4.29,55.8M,34.2M,21.4M,38.40%,42.60%,30-Jun,none,26.37%,41.12%,2.98,0.47,42.2M,2.28M,32.10%,2.27M,12.68,180.0K,19.98,25.05,25.38,0.8,1476522,24.57
ACRU,0.125,0.21,9.625,7.15,91.0K,104.0K,-97.40%,-96.60%,6.33M,30.1M,25.6M,none,none,none,0.51,-7.01,-0.09,0.67,0.38,0.41,none,0.31,19.5M,-166.8M,-203.6M,none,none,31-Mar,none,-203.63%,-232.82%,1.71,0,11.6M,812.0K,3.20%,810.0K,6.34,128.0K,0.2,0.39,95,0.8,10240,94.2
ACS,46.5,86.62,87.4,0.57,740.9K,1.63M,72.60%,127.80%,4.41B,50.9M,29.0M,none,none,none,17.51,2.46,0.66,35.43,4.79,4.95,35.25,2.44,2.06B,317.3M,134.3M,6.50%,10.80%,30-Jun,none,8.07%,16.93%,2.88,0.74,242.5M,4.35M,15.00%,5.00M,7.81,557.0K,81.37,88.06,8.22,0.8,60042923,7.42
ACSEF,2.13,2.3,7.906,1.36,"8,409","2,000",-66.50%,-55.90%,6.37M,2.77M,1.50M,none,none,none,3.39,0.41,-0.17,4.6,1.13,0.68,5.58,0.5,14.3M,1.99M,1.39M,10.00%,11.40%,31-Dec,none,8.80%,15.16%,3.14,0.44,3.12M,0,none,"1,000",none,15.0K,2.35,2.29,-2.55,0.8,2115,-3.36
ACTI,6,6.72,28.938,none,55.3K,71.0K,-76.40%,-68.90%,268.1M,39.9M,29.1M,none,none,none,7.76,0.14,-0.07,0.65,7.43,0.87,48.7,10.36,26.7M,-24.3M,7.42M,27.70%,-94.90%,31-Dec,none,2.31%,2.38%,31.59,0,296.6M,210.0K,0.70%,155.0K,4.2,50.0K,6.32,11.04,74.68,0.8,124504,73.88
ACTL,15.27,18.13,37.5,1.22,202.9K,209.0K,-46.80%,-29.80%,429.4M,23.7M,15.9M,none,none,none,9.84,0.49,-0.11,7.92,5.61,1.84,36.7,2.29,201.7M,33.3M,13.4M,6.60%,10.10%,31-Dec,none,none,none,none,none,none,none,none,none,none,none,16.09,18.55,15.29,0.8,3705527,14.49
ACTM,3.89,4.82,58.75,2.84,401.1K,447.0K,-90.00%,-86.90%,82.3M,17.1M,8.00M,none,none,none,12.46,0.68,-0.47,95.59,1.16,0.39,7.06,0.05,1.68B,60.6M,12.5M,0.70%,2.80%,31-Dec,none,1.36%,5.92%,2.26,1.7,19.9M,6.38M,79.70%,6.56M,24.24,263.0K,4.06,4.86,19.7,0.8,863562,18.9
ACTN,2.25,21.335,29.25,1,378.4K,466.0K,582.70%,800.90%,362.0M,17.0M,8.10M,none,none,none,8.16,-1.1,0.48,15.98,2.38,2.61,none,1.33,268.9M,-9.58M,-17.5M,-6.50%,-6.60%,30-Sep,none,-6.71%,-14.87%,2.59,0.51,40.4M,3.07M,37.90%,2.94M,8.87,346.0K,18.65,26.2,40.48,0.8,14477995,39.68
ACTR,2.43,3.19,24.5,none,219.5K,217.0K,-85.50%,-80.90%,610.9M,191.5M,47.9M,none,none,none,-0.41,-0.5,-0.03,6.63,0.23,none,none,0.48,1.26B,114.9M,-95.6M,-7.60%,0.50%,31-Mar,none,-7.12%,none,1.72,none,44.1M,2.67M,5.60%,2.62M,15.32,174.0K,3.0609,2.78,-9.18,0.8,232016.22,-9.98
ACTT,3.89,8,9.75,-0.66,48.5K,113.0K,0.00%,32.00%,49.7M,6.21M,3.50M,none,none,none,2.32,0.23,0.04,6.85,0.33,3.45,35.09,1.17,43.7M,7.07M,1.47M,4.30%,8.60%,31-Dec,none,5.54%,11.58%,0.78,1.16,2.06M,100.0K,2.90%,100.0K,11.11,"9,000",9.02,9.57,6.1,0.8,935374,5.29
ACTU,2.8,6.5,36.313,3.3,582.6K,567.0K,-79.00%,-72.30%,389.8M,60.0M,33.6M,none,none,none,1.25,0.06,-0.02,2.09,0.58,5.22,104.84,3.11,132.1M,15.2M,4.21M,3.20%,5.00%,31-Dec,none,4.30%,7.30%,1.56,0.03,34.7M,3.36M,10.00%,3.66M,6.43,522.0K,4.9,4.15,-15.31,0.8,1059380,-16.11
ACV,28.563,41.18,46.26,0.54,125.8K,131.0K,39.60%,84.20%,2.34B,56.7M,36.0M,0.33,0.80%,none,12.39,1.86,0.5,42.64,2.8,3.32,22.13,0.97,2.44B,236.0M,106.7M,4.40%,6.60%,30-Sep,none,7.49%,16.17%,2.25,0.47,158.6M,3.88M,10.80%,3.48M,26.58,146.0K,39.09,42.25,8.08,0.8,3451647,7.28
ACX,2.22,2.33,18.188,1.6,22.6K,28.0K,-86.30%,-81.90%,33.8M,14.5M,11.5M,none,none,none,8.89,0.01,-0.2,16.71,0.02,0.26,332.86,0.14,245.5M,31.6M,235.0K,0.10%,4.80%,31-Dec,none,0.09%,0.18%,0.71,0.58,331.0K,45.0K,0.40%,46.0K,2.14,21.0K,2.35,2.55,8.51,0.8,98935,7.71
ACXM,7.06,12.8,45.75,1.01,968.0K,1.39M,-63.20%,-51.40%,1.16B,90.2M,76.7M,none,none,none,5.91,-0.52,-0.71,10.38,0.11,2.17,none,1.23,975.4M,109.4M,-42.5M,-4.40%,-2.60%,31-Mar,none,-3.51%,-6.90%,1.8,0.9,9.83M,5.27M,6.90%,4.84M,11.46,460.0K,11.14,11.79,5.83,0.8,23862994,5.03
AD,30.05,34.9,48,0.36,74.2K,85.0K,6.00%,39.80%,709.6M,20.3M,16.5M,none,none,none,-0.15,2.43,0.6,55.44,1.48,none,14.36,0.63,1.15B,98.8M,50.3M,4.40%,8.60%,30-Sep,none,17.00%,none,1.37,none,30.0M,570.0K,3.50%,583.0K,9.34,61.0K,33.93,36.07,6.31,0.8,2385279,5.5
ADBE,22.2,29.93,87.313,1.25,4.26M,5.31M,-60.00%,-47.20%,7.15B,238.9M,207.8M,0.05,0.17%,none,2.81,0.99,0.16,5.22,2.42,10.63,30.29,5.73,1.32B,464.0M,250.6M,19.00%,34.10%,1-Dec,none,24.50%,35.57%,2.65,0,575.9M,7.79M,3.80%,7.79M,2.22,3.51M,24.35,26.4,8.42,0.8,115594320,7.62
