Company,52-Week Low,Recent Price,52-Week High,Beta,Daily Volume (3-month avg),Daily Volume (10-day avg),52-Week Change,52-Week Change relative to S&P500,Market Capitalization,Shares Outstanding,Float,Annual Dividend,Dividend Yield,Last Split,Book Value,Earnings (ttm),Earnings (mrq),Sales (per share),Cash,Price/Book,Price/Earnings,Price/Sales,Sales (ttm),EBITDA,Income,Profit Margin,Operating Margin,Fiscal Year Ends,Most recent quarter,Return Assets,Return Equity,Current Ratio,Debt/Equity,Total Cash,Shares Short,Percent of Float,Shares Short (Prior Month),Short Ratio,Daily Volume,Start Price,End Price,Company Return,Market Return
acop.ob,0.001,0.01,3.493,13.32,"1,045",0,-99.70%,-99.60%,10.0K,997.0K,900.0K,none,none,none,0.79,0,0.02,none,0.06,0.01,none,none,0,none,0,none,none,31-Dec,none,0.00%,0.00%,1.51,0,59.0K,none,none,none,none,none,,,0,5.11%
acp,8.7,9.11,10.75,0.3,"5,091","3,000",1.20%,35.70%,420.0M,46.1M,6.50M,none,none,none,20.93,1.27,0.29,5.27,2.76,0.43,7.18,1.73,292.7M,99.1M,66.5M,24.60%,21.90%,31-Dec,none,5.11%,7.13%,none,0.16,127.3M,0,none,"6,000",none,"5,000",9.1,9.6,5.49%,5.11%
acpw,3.56,5.21,37.688,none,431.2K,196.0K,-85.90%,-81.10%,208.1M,39.9M,32.1M,none,none,none,3.43,-0.69,-0.18,0.53,2.98,1.52,none,9.87,20.7M,-29.5M,-27.2M,none,none,31-Dec,none,-17.77%,-18.45%,14.33,0,119.5M,1.13M,3.50%,1.28M,1.87,604.0K,5.19,5.96,14.84%,5.11%
acr,2.9,3.15,5.4,0.49,"9,773","5,000",-40.00%,-19.50%,54.3M,17.2M,5.70M,none,none,none,7.77,-0.76,-0.23,13.7,1.3,0.41,none,0.23,234.3M,26.2M,-13.1M,-5.70%,2.90%,31-Dec,none,-1.67%,-9.22%,1.06,3.89,22.4M,148.0K,2.60%,156.0K,10.57,14.0K,3.1,1.86,-40.00%,5.11%
acrg.ob,0.29,0.55,0.969,1.26,"8,773",15.0K,-32.30%,-9.30%,5.88M,10.7M,2.30M,none,none,none,1.08,-0.11,0.1,13.97,0.03,0.51,none,0.04,149.3M,2.74M,-1.13M,-0.80%,0.90%,28-Feb,none,-1.98%,-9.89%,1.02,2.21,267.0K,0,none,"1,000",none,14.0K,0.55,0.44,-20.00%,5.11%
acri,5.156,12.74,33,1.78,87.0K,79.0K,-57.90%,-43.50%,226.2M,17.8M,16.5M,none,none,none,3.66,-1.58,-0.16,1.41,4.93,3.48,none,9.03,23.5M,-43.2M,-25.5M,none,none,31-Dec,none,none,none,none,none,none,none,none,none,none,none,12.88,10.99,-14.67%,5.11%
acrn,0.25,0.48,1.45,0.45,"1,227",0,-26.80%,-1.90%,2.91M,6.06M,400.0K,none,none,none,3.83,-1.45,-0.08,16.23,0.24,0.12,none,0.03,98.4M,-1.03M,-8.76M,-8.90%,-8.80%,31-Dec,none,none,none,none,none,none,none,none,none,none,none,0.47,0.4,-14.89%,5.11%
acro.ob,0.16,0.55,1.094,1.69,"7,227",23.0K,-21.80%,4.90%,3.84M,6.98M,2.60M,none,none,none,1.13,-0.61,-0.31,1.46,0.03,0.49,none,0.38,9.83M,-1.99M,-4.18M,-41.70%,-19.70%,31-Dec,none,none,none,none,none,none,none,none,none,none,none,,,0,5.11%
acrt,15.25,25.05,44.3,1.4,144.9K,131.0K,0.20%,34.40%,253.8M,10.1M,7.30M,none,none,none,7.27,2.29,0.77,5.63,1.86,3.44,10.95,4.45,61.5M,39.1M,24.9M,40.50%,45.90%,30-Jun,none,28.23%,42.38%,2.96,0.43,18.9M,2.28M,31.30%,2.27M,12.68,180.0K,26.1,28.1,7.66%,5.11%
acru,0.125,0.39,5.109,7.15,113.4K,128.0K,-91.60%,-88.80%,11.8M,30.1M,25.6M,none,none,none,0.46,-6.36,-0.14,0.45,0.22,0.85,none,0.87,13.3M,-166.3M,-186.1M,none,none,31-Mar,none,none,none,none,none,none,none,none,none,none,none,0.39,0.38,-2.56%,5.11%
acs,53.625,88.05,93.2,0.57,737.1K,502.0K,58.50%,112.50%,4.48B,50.9M,29.0M,none,none,none,18.65,2.66,0.77,37.58,0.67,4.72,33.15,2.34,2.24B,360.0M,147.7M,6.60%,11.70%,30-Jun,none,7.87%,17.59%,2.03,1.4,34.0M,4.35M,15.00%,5.00M,7.81,557.0K,90,93.38,3.76%,5.11%
acsef,2,2.6,7.906,1.36,"7,409","2,000",-58.80%,-44.80%,7.20M,2.77M,1.50M,none,none,none,3.39,0.41,-0.17,4.6,1.13,0.77,6.31,0.56,14.3M,1.99M,1.39M,10.00%,11.40%,31-Dec,none,8.80%,15.16%,3.14,0.44,3.12M,0,none,"1,000",none,15.0K,2.6,2.53,-2.69%,5.11%
actff.ob,0.03,0.065,0.23,3.8,65.3K,53.0K,-53.60%,-37.70%,2.38M,36.5M,36.2M,none,none,none,-0.03,-0.09,0,0,0,none,none,35.04,64.0K,-2.77M,-2.89M,none,none,31-Dec,none,-623.10%,none,0.1,none,119.0K,none,none,none,none,none,0.08,0.085,6.25%,5.11%
acti,6,11.02,27,none,112.0K,303.0K,-57.50%,-43.00%,439.7M,39.9M,29.1M,none,none,none,7.76,-0.63,-0.1,0.76,7.43,1.42,none,14.47,30.5M,-24.3M,-24.8M,-81.10%,-94.90%,31-Dec,none,none,none,none,none,none,none,none,none,none,none,10.55,8.82,-16.40%,5.11%
actl,15.27,18.55,35.5,1.22,186.4K,148.0K,-44.80%,-26.00%,439.3M,23.7M,15.9M,none,none,none,9.87,0.03,-0.1,7.04,5.49,1.88,545.59,2.64,173.6M,14.8M,1.28M,0.70%,0.30%,31-Dec,none,0.42%,0.55%,4.01,0,131.0M,477.0K,3.00%,314.0K,2.63,181.0K,18.86,19,0.74%,5.11%
actm,3.89,4.86,33.125,2.84,373.4K,374.0K,-84.10%,-78.70%,83.0M,17.1M,8.00M,none,none,none,12.46,-1.18,-1.41,88.91,1.16,0.39,none,0.06,1.54B,60.6M,-19.9M,-1.30%,2.80%,31-Dec,none,none,none,none,none,none,none,none,none,none,none,2.11,1.3,-38.39%,5.11%
actn,2.25,26.21,29.25,1,374.5K,304.0K,948.40%,1306.00%,444.7M,17.0M,8.10M,none,none,none,8.16,-1.1,0.48,15.98,2.38,3.21,none,1.64,268.9M,-9.58M,-17.5M,-6.50%,-6.60%,30-Sep,none,-6.71%,-14.87%,2.59,0.51,40.4M,3.07M,37.90%,2.94M,8.87,346.0K,26.5,33.05,24.72%,5.11%
actp,1.11,1.5,6.75,2.56,"8,318","6,000",-66.20%,-54.70%,6.49M,4.33M,2.40M,none,none,none,1.8,-0.49,-0.34,5.75,2.05,0.83,none,0.26,24.6M,-2.77M,-2.12M,-8.60%,-11.30%,31-Dec,none,-13.29%,-22.78%,2.26,0,8.85M,"2,000",0.10%,0,0.33,"6,000",1.48,1.63,10.14%,5.11%
actr,2.4,2.78,21.75,none,198.4K,256.0K,-81.40%,-75.00%,532.4M,191.5M,47.9M,none,none,none,-0.41,-0.95,-0.71,6.65,0.23,none,none,0.42,1.27B,114.9M,-181.6M,-14.30%,0.50%,31-Mar,none,none,none,none,none,none,none,none,none,none,none,2.9,3.12,7.59%,5.11%
actt,3.89,9.57,11.35,-0.66,86.1K,227.0K,25.50%,68.30%,59.5M,6.21M,3.50M,none,none,none,2.32,0.23,0.04,6.85,0.33,4.13,41.97,1.4,43.7M,7.07M,1.47M,4.30%,8.60%,31-Dec,none,5.54%,11.58%,0.78,1.16,2.06M,100.0K,2.90%,100.0K,11.11,"9,000",9.7,9.79,0.93%,5.11%
actu,2.8,4.15,36.313,3.3,603.1K,632.0K,-85.50%,-80.60%,248.9M,60.0M,33.6M,none,none,none,1.22,-0.02,-0.06,2.11,0.56,3.4,none,1.97,130.8M,10.8M,-792.0K,-0.60%,0.90%,31-Dec,none,-0.75%,-1.25%,1.58,0.02,33.8M,3.36M,10.00%,3.66M,6.43,522.0K,4.28,4.76,11.21%,5.11%
