Company,52-Week Low,Recent Price,52-Week High,Beta,Daily Volume (3-month avg),Daily Volume (10-day avg),52-Week Change,52-Week Change relative to S&P500,Market Capitalization,Shares Outstanding,Float,Annual Dividend,Dividend Yield,Last Split,Book Value,Earnings (ttm),Earnings (mrq),Sales (per share),Cash,Price/Book,Price/Earnings,Price/Sales,Sales (ttm),EBITDA,Income,Profit Margin,Operating Margin,Fiscal Year Ends,Most recent quarter,Return Assets,Return Equity,Current Ratio,Debt/Equity,Total Cash,Shares Short,Percent of Float,Shares Short (Prior Month),Short Ratio,Daily Volume,Start Price,End Price,Company Return,Market Return
cra,19.3,23.5,79.438,1.94,570.5K,436.0K,-67.70%,-56.70%,1.46B,62.0M,61.9M,none,none,none,18,-2.87,-0.25,1.6,16.14,1.3,none,14.66,98.4M,-245.7M,-176.1M,none,none,30-Jun,none,none,none,none,none,none,none,none,none,none,none,23.85,28.75,20.55%,5.11%
crai,7.25,18.99,20.01,-0.17,29.0K,35.0K,65.10%,121.40%,173.0M,9.11M,7.50M,none,none,none,7.49,0.7,0.26,11.05,2.67,2.54,27.25,1.72,100.5M,13.2M,6.37M,6.50%,10.00%,25-Nov,none,7.95%,9.91%,3.38,0.05,24.3M,"2,000",0.00%,0,0.07,29.0K,18.65,20.09,7.72%,5.11%
cran,4,6.15,8.4,0.95,"1,500","1,000",53.80%,106.20%,11.4M,1.85M,1.10M,none,none,none,7.05,0.09,0.09,12.96,1.16,0.87,71.51,0.47,24.8M,750.0K,185.0K,0.70%,1.60%,30-Sep,none,0.85%,1.44%,1.71,0.1,2.16M,"1,000",0.10%,"1,000",0.5,"2,000",6.15,6,-2.44%,5.11%
cray,1.125,2.65,3.875,0.34,226.4K,352.0K,-23.60%,2.40%,109.9M,41.5M,32.8M,none,none,none,0.97,-0.75,-0.24,3.96,0.37,2.73,none,0.67,145.2M,-15.3M,-27.1M,-18.70%,-15.40%,31-Dec,none,-19.21%,-61.46%,1.21,0.13,15.3M,2.52M,7.70%,2.36M,14.3,176.0K,2.48,2.05,-17.34%,5.11%
crb,5.688,9.3,13.25,none,636,0,56.60%,110.00%,56.8M,6.11M,1.00M,none,none,none,5.68,0.8,0.21,4.44,none,1.64,11.6,2.09,27.1M,14.9M,4.94M,18.30%,29.50%,31-Dec,none,8.49%,15.37%,0.87,0.37,none,0,none,0,none,0,9.4,9.05,-3.72%,5.11%
crc,6.813,9.15,10.3,0.12,"4,409","1,000",11.70%,49.90%,87.6M,9.57M,2.40M,none,none,none,12.38,1.26,0.24,23.18,none,0.74,7.24,0.4,224.5M,26.8M,12.2M,5.50%,9.40%,31-Dec,none,none,none,none,none,none,none,none,none,none,none,9.19,9.85,7.18%,5.11%
crcu.ob,0.001,0.02,0.15,1.14,"1,045","2,000",-84.00%,-78.50%,877.0K,43.8M,37.7M,none,none,none,0.46,-0.02,0,0,0.01,0.04,none,102.01,"8,000",-799.0K,-666.0K,none,none,31-Dec,none,-3.87%,-3.27%,1.67,0,319.0K,none,none,none,none,none,,,0,5.11%
crdb,10.5,11.9,18,-0.05,"8,273","8,000",-2.90%,30.30%,577.6M,48.5M,20.6M,0.56,4.71%,none,4.54,0.38,0.14,14.87,0.28,2.62,31.32,0.8,717.6M,42.9M,18.3M,2.60%,4.80%,31-Dec,none,none,none,none,none,none,none,none,none,none,none,11.98,12.21,1.92%,5.11%
crdm,0.156,1.7,2.6,0.73,183.3K,83.0K,51.10%,102.60%,56.9M,33.4M,23.7M,none,none,none,0.2,-0.11,-0.09,0.08,0.16,8.63,none,20.53,2.21M,-11.6M,-4.44M,none,none,31-Dec,none,none,none,none,none,none,none,none,none,none,none,1.7,1.93,13.53%,5.11%
crdn,5.75,9.95,10.51,0.67,27.5K,68.0K,7.60%,44.30%,83.0M,8.34M,5.50M,none,none,none,4.42,0.5,0.07,5.21,0.23,2.25,19.94,1.91,44.9M,4.94M,4.29M,9.60%,11.00%,31-Dec,none,10.63%,11.84%,5.88,0.01,2.01M,"2,000",0.00%,"2,000",0.14,14.0K,10.3,10.8995,5.82%,5.11%
crds,1.87,3.1,11.438,none,197.5K,85.0K,-55.40%,-40.20%,86.6M,27.9M,20.1M,none,none,none,2.64,-1.96,-0.76,1.35,2.21,1.18,none,2.29,37.0M,-43.8M,-53.7M,none,none,31-Oct,none,-49.77%,-54.65%,6.69,0,60.7M,188.0K,0.90%,186.0K,1.04,180.0K,3.1,4.09,31.94%,5.11%
cre,27,28.31,33.29,0.21,182.2K,178.0K,-3.60%,29.20%,1.77B,62.6M,27.5M,1.85,6.54%,none,24.66,1.68,0.38,7.82,0.35,1.15,16.89,3.62,539.5M,327.4M,111.9M,30.10%,21.50%,31-Dec,none,5.30%,6.92%,none,0.72,21.8M,702.0K,2.60%,1.11M,3.33,211.0K,28.8,28.9,0.35%,5.11%
creaf,3.75,6.15,16.75,2.31,201.0K,460.0K,-63.00%,-50.40%,483.4M,78.6M,52.7M,none,none,none,4.89,-2.06,-0.17,14.09,2.2,1.26,none,0.44,1.11B,24.6M,-160.8M,-14.50%,2.00%,30-Jun,none,none,none,none,none,none,none,none,none,none,none,6.06,7.4,22.11%,5.11%
creb.ob,0.344,0.5,0.813,0.56,818,0,-27.30%,-2.50%,1.83M,3.65M,2.20M,none,none,none,0.27,0.3,0.05,5.61,0.02,1.84,1.66,0.09,20.6M,1.15M,1.10M,5.30%,3.50%,31-Dec,none,none,none,none,none,none,none,none,none,none,none,0.5,0.51,2.00%,5.11%
cred,4.625,5.14,10.47,0.69,"6,545",11.0K,-29.10%,-4.90%,16.0M,3.12M,2.30M,none,none,none,3.92,0.61,0.15,1.7,1.81,1.31,8.38,3.02,5.53M,3.42M,1.98M,35.80%,50.60%,31-Oct,none,13.77%,17.77%,4.8,0,5.68M,0,none,"2,000",none,"7,000",5.25,6.2,18.10%,5.11%
cree,12.21,17.95,64.125,2.57,1.38M,1.37M,-64.50%,-52.50%,1.31B,72.9M,71.0M,none,none,none,7.95,0.28,0.09,2.44,none,2.26,62.98,7.37,182.8M,33.7M,21.6M,11.80%,14.70%,24-Jun,none,none,none,none,none,none,none,none,none,none,none,19.1,24.86,30.16%,5.11%
creo,7.83,9.42,30.734,2.17,73.6K,33.0K,-68.70%,-58.10%,460.7M,48.9M,31.3M,none,none,none,13.9,-0.76,-0.19,14.29,1.34,0.68,none,0.66,686.6M,41.5M,-36.4M,-5.40%,-4.50%,30-Sep,none,-3.98%,-5.29%,1.85,0.03,65.5M,2.75M,8.80%,2.75M,65.52,42.0K,10.1,11.98,18.61%,5.11%
cresy,6.25,7.02,10.5,0.4,"1,136","2,000",-17.40%,10.80%,84.0M,12.0M,7.66M,none,none,none,15,0.32,0.15,2.91,4.93,0.47,21.94,2.41,34.8M,2.55M,3.84M,10.50%,2.50%,30-Jun,none,1.90%,2.15%,3.69,0.08,59.0M,0,none,0,none,"1,000",7.02,6.15,-12.39%,5.11%
crfh,5.313,9.49,22.5,none,"7,727","2,000",-54.00%,-38.30%,48.3M,5.09M,400.0K,none,none,none,30.41,-9.8,-1.55,10.79,23.88,0.31,none,0.88,55.0M,-8.32M,-50.0M,-90.80%,-28.30%,30-Sep,none,-24.93%,-27.68%,17.01,0.12,121.9M,178.0K,44.50%,21.0K,9.37,19.0K,9.49,9,-5.16%,5.11%
crfn.ob,4.444,8.5,16,0.4,909,"1,000",19.50%,60.30%,11.0M,1.29M,1.00M,none,none,none,8.03,-0.01,0.1,5.07,2.16,1.06,none,1.68,6.63M,none,-21.0K,-0.30%,none,31-Dec,none,-0.02%,-0.21%,none,none,none,none,none,none,none,none,8.5,8.15,-4.12%,5.11%
crft,6.2,11.9,14.65,0.83,24.5K,"6,000",53.50%,105.90%,70.2M,5.90M,4.10M,0.28,2.35%,none,3.01,0.88,0.33,17.13,0.28,3.95,13.49,0.69,101.3M,12.8M,5.22M,6.70%,12.50%,30-Jun,none,none,none,none,none,none,none,none,none,none,none,12.1,11.67,-3.55%,5.11%
crg,1.7,2,3.375,0.54,"1,318","1,000",-33.30%,-10.60%,6.81M,3.40M,400.0K,none,none,none,13.36,-1.14,-0.14,3.78,0.87,0.15,none,0.53,39.4M,-20.5M,-11.8M,-28.90%,-57.90%,31-Dec,none,-9.33%,-21.78%,0.52,0.44,2.95M,28.0K,7.00%,29.0K,28,"1,000",2,1.9,-5.00%,5.11%
crgn,14.8,23.07,67.125,2.3,579.8K,353.0K,-62.80%,-50.10%,1.12B,48.6M,37.5M,none,none,none,7.65,-0.78,-0.23,0.51,10.79,3.02,none,45.54,23.2M,-54.6M,-35.4M,none,none,31-Dec,none,-7.47%,-11.47%,17.48,0.4,524.6M,1.14M,3.00%,1.17M,1.42,802.0K,23.7,23.76,0.25%,5.11%
crgo,5.125,13.5,13.57,-0.33,41.7K,45.0K,127.30%,204.90%,87.4M,6.47M,1.40M,none,none,none,9.61,1.08,0.31,21.23,0.89,1.41,12.54,0.64,138.6M,19.6M,7.04M,5.10%,7.80%,31-Dec,none,8.41%,11.94%,1.82,0.02,5.78M,0,none,"1,000",none,"2,000",13.58,12.09,-10.97%,5.11%
crgr.ob,0.6,1.5,3,0.71,"3,000","2,000",-50.00%,-32.90%,5.53M,3.69M,3.20M,none,none,none,-0.1,0,0,none,0.39,none,none,none,0,none,0,none,none,31-Dec,none,0.00%,none,0.81,none,1.42M,0,none,34.0K,none,0,1.5,1.85,23.33%,5.11%
crhcy,13.25,15.2,19.938,0.83,28.0K,48.0K,-5.00%,27.40%,7.43B,488.6M,395.8M,none,none,none,8.3,0.1,0.02,2.42,2.41,1.83,147.57,6.27,8.60B,830.7M,361.2M,5.30%,9.10%,31-Dec,none,5.33%,12.08%,1.89,0.84,1.18B,59.0K,0.00%,47.0K,1.51,39.0K,14.58,16,9.74%,5.11%
crheq.ob,0.063,0.18,0.797,1.15,59.6K,53.0K,-17.80%,10.20%,8.94M,49.6M,16.9M,none,none,none,1.46,-0.16,-0.02,7.8,0.5,0.12,none,0.02,393.5M,10.0M,-7.39M,-1.70%,0%,31-Dec,none,-1.94%,-21.51%,0.57,0.02,24.7M,705.0K,1.70%,696.0K,3.36,210.0K,0.18,0.24,33.33%,5.11%
crii.ob,0.21,0.37,2.125,1.58,20.9K,29.0K,-79.60%,-72.60%,3.69M,9.98M,7.40M,none,none,none,0.04,-0.51,-0.07,0.12,0.01,10.52,none,3.12,1.17M,-3.75M,-5.00M,none,none,31-Dec,none,-156.45%,-298.25%,0.92,3.32,125.0K,none,none,none,none,none,0.44,0.35,-20.45%,5.11%
crio,0.39,0.9,5.25,none,153.5K,97.0K,-81.20%,-74.80%,48.9M,54.4M,26.1M,none,none,none,2.06,-1.5,-0.25,1.09,1.95,0.44,none,0.82,51.2M,-77.7M,-69.0M,none,none,31-Dec,none,none,none,none,none,none,none,none,none,none,none,0.94,1.49,58.51%,5.11%
cris,3,4.26,13.875,none,124.0K,112.0K,-64.90%,-52.90%,137.2M,32.2M,22.9M,none,none,none,4.4,-15.42,-0.61,0.03,1.86,0.97,none,154.83,798.0K,-335.6M,-379.1M,none,none,31-Dec,none,-221.67%,-246.80%,6.36,0.06,59.0M,432.0K,1.90%,442.0K,4.55,95.0K,5.04,5.59,10.91%,5.11%
crk,4.95,7.58,15,0.15,167.0K,197.0K,-27.80%,-3.20%,222.7M,29.4M,15.9M,none,none,none,6.86,1.86,0.37,6.09,0.01,1.1,4.07,1.25,212.0M,169.2M,62.9M,30.60%,47.00%,31-Dec,none,13.34%,38.52%,0.74,0.9,452.0K,561.0K,3.50%,416.0K,3.87,145.0K,7.6,6.61,-13.03%,5.11%
crl,17.188,33.6,39.15,none,258.3K,427.0K,31.80%,76.70%,1.48B,43.9M,25.5M,none,none,none,5.17,0.65,0.24,9.05,0.71,6.49,51.69,3.71,372.5M,81.2M,27.1M,7.60%,20.30%,30-Dec,none,6.22%,25.59%,2.01,0.97,28.4M,904.0K,3.50%,1.08M,4.57,198.0K,31.91,33.15,3.89%,5.11%
crlh.ob,0.188,0.23,0.438,1.11,"2,455","5,000",-47.50%,-29.60%,3.21M,13.9M,8.20M,none,none,none,-0.23,0.05,0.01,1.91,0,none,4.42,0.12,26.6M,3.06M,720.0K,3.70%,8.70%,31-Dec,none,5.37%,none,1.2,none,55.0K,15.0K,0.40%,12.0K,0.52,29.0K,0.24,0.26,8.33%,5.11%
crli.ob,0.55,0.75,9.75,1.91,"3,045","4,000",-91.70%,-88.90%,1.72M,2.30M,1.30M,none,none,none,0.97,-0.53,0.09,6.4,0.09,0.77,none,0.12,14.2M,988.0K,-1.15M,-8.10%,0.70%,31-Dec,none,-8.23%,-36.90%,0.88,4.15,211.0K,0,none,0,none,"3,000",0.95,0.8,-15.79%,5.11%
crm,13.313,19.94,48,0.93,"4,545",14.0K,38.10%,85.20%,29.3M,1.47M,400.0K,none,none,none,none,-6.96,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,,18.6,0,5.11%
crmz.ob,0.3,0.3,2.063,11.67,636,0,-85.00%,-79.90%,1.60M,5.34M,1.40M,none,none,none,0.17,-0.12,-0.03,0.5,0.26,1.72,none,0.6,2.68M,-412.0K,-676.0K,-25.20%,-23.60%,31-Dec,none,-15.21%,-53.34%,0.77,1.16,1.38M,none,none,none,none,none,0.3,0.3,0.00%,5.11%
crn,3.313,16.55,18.4,1.34,36.9K,52.0K,235.20%,349.50%,156.1M,9.43M,3.80M,none,none,none,11.61,0.62,0.19,26.72,5.36,1.43,26.61,0.62,255.5M,32.9M,5.98M,2.30%,9.90%,31-Dec,none,2.21%,5.65%,4.78,0.35,50.4M,82.0K,2.20%,84.0K,2.34,35.0K,16.93,16.01,-5.43%,5.11%
crns,3.813,4.5,5.55,0.26,"1,773",0,-6.50%,25.40%,33.1M,7.37M,2.50M,none,none,none,8.27,0.48,0.25,15.46,0.59,0.54,9.41,0.29,137.4M,29.5M,4.11M,3.00%,3.10%,31-Dec,none,1.82%,6.46%,none,1.63,4.37M,"2,000",0.10%,0,2,"1,000",4.32,4.25,-1.62%,5.11%
crnt,1.9,2.05,19.875,none,65.2K,48.0K,-84.20%,-78.90%,42.9M,20.9M,11.9M,none,none,none,4.11,-2.63,-1.1,1.63,2.92,0.5,none,1.26,33.9M,-30.0M,-54.8M,none,-99.90%,31-Dec,none,none,none,none,none,none,none,none,none,none,none,2.05,3.04,48.29%,5.11%
cro,4.62,4.91,17.75,0.55,80.0K,99.0K,-71.90%,-62.40%,149.9M,30.5M,26.3M,2.24,45.62%,none,3.93,-1.34,-0.42,20.33,0.67,1.25,none,0.24,619.9M,63.6M,-40.8M,-6.60%,2.90%,31-Dec,none,-4.38%,-28.35%,1.69,6.01,20.5M,28.0K,0.10%,28.0K,0.41,69.0K,,4.75,0,5.11%
cros,17.625,27.5,45.44,0.98,65.5K,104.0K,50.20%,101.40%,291.5M,10.6M,3.80M,0.2,0.73%,none,22.98,4.28,1.59,69.88,none,1.2,6.43,0.39,746.3M,70.9M,45.8M,6.10%,9.50%,31-Dec,none,11.71%,21.09%,none,0,none,161.0K,4.20%,145.0K,4.24,38.0K,28.43,27.74,-2.43%,5.11%
crr,25.5,36.38,44.9,1.42,56.1K,46.0K,20.00%,60.90%,543.3M,14.9M,3.00M,0.36,0.99%,none,8.73,1.75,0.55,8.68,none,4.17,20.78,4.19,130.1M,40.0M,26.3M,20.20%,30.80%,31-Dec,none,19.27%,22.70%,4.85,0,none,57.0K,1.90%,43.0K,1.63,35.0K,36.05,33.35,-7.49%,5.11%
crrb,10,12.25,14,-0.17,773,"1,000",2.10%,36.90%,33.2M,2.71M,2.00M,0.36,2.94%,none,11.85,0.74,0.2,none,6.85,1.03,16.62,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,11.56,12.6,9.00%,5.11%
crrc,17.333,25,28.767,0.06,"3,364","7,000",33.90%,79.60%,126.9M,5.08M,3.20M,0.36,1.44%,none,14.86,2.26,0.57,39.45,0.01,1.68,11.06,0.63,203.6M,20.3M,11.7M,5.70%,8.60%,30-Sep,none,8.93%,16.64%,2.11,0.34,56.0K,0,none,0,none,"2,000",25,29.89,19.56%,5.11%
crrr,10.5,11.8,13.98,0.05,32.9K,35.0K,7.90%,44.70%,112.2M,9.51M,4.80M,1.52,12.88%,none,14.08,1.27,0.29,2.73,0.29,0.84,9.29,4.32,26.0M,22.6M,12.1M,46.40%,38.10%,31-Dec,none,5.02%,8.91%,none,0.77,2.73M,"4,000",0.10%,0,0.07,55.0K,11.85,12.35,4.22%,5.11%
crrs.ob,0.1,0.14,0.453,-0.16,24.2K,66.0K,-61.00%,-47.70%,2.04M,14.6M,12.1M,none,none,none,0.25,-0.23,-0.05,0.03,0.02,0.56,none,4.22,483.0K,-1.71M,-3.37M,none,none,31-Dec,none,-15.84%,-65.42%,0.04,4.11,333.0K,163.0K,1.30%,163.0K,1.32,123.0K,,0.12,0,5.11%
crs,19.8,21.75,38.25,0.46,64.1K,48.0K,-32.00%,-8.80%,482.3M,22.2M,16.6M,1.32,6.07%,none,27.83,1.07,0.24,56.29,0.36,0.78,20.33,0.39,1.28B,153.4M,24.0M,2.00%,3.30%,30-Jun,none,1.50%,3.80%,1.88,0.8,8.10M,239.0K,1.40%,215.0K,4.78,50.0K,,25.65,0,5.11%
crsc.ob,0.05,0.3,1.781,0.46,"2,000",0,-81.00%,-74.50%,1.01M,3.36M,3.00M,none,none,none,1.37,-0.87,-0.18,3,0.99,0.22,none,0.1,9.95M,-3.06M,-2.87M,-28.80%,-30.70%,31-Dec,none,-35.61%,-48.47%,2.93,0.03,3.34M,12.0K,0.40%,14.0K,4,"3,000",0.29,0.22,-24.14%,5.11%
crt,13.625,18.8,23.2,0.07,13.1K,13.0K,28.50%,72.40%,112.8M,6.00M,4.60M,1.65,8.79%,none,4.9,2.51,0.57,2.54,0.15,3.84,7.49,7.4,15.2M,13.1M,15.1M,98.80%,98.80%,31-Dec,none,47.78%,49.66%,none,0,883.0K,34.0K,0.70%,16.0K,2.27,15.0K,18.5,17.99,-2.76%,5.11%
crtk,22.641,26.5,44.25,none,43.5K,49.0K,-1.90%,31.60%,282.0M,10.6M,5.90M,none,none,none,19.18,0.31,-0.71,45.59,0.2,1.38,84.94,0.58,485.3M,39.5M,3.36M,0.70%,3.10%,31-Dec,none,0.87%,1.61%,4.75,0.52,2.08M,230.0K,3.90%,212.0K,4.26,54.0K,27.2,29.81,9.60%,5.11%
crtn.ob,0.16,0.17,0.469,0.13,"1,045","6,000",-50.60%,-33.70%,532.0K,3.13M,1.60M,none,none,none,0.68,-0.15,-0.04,0.76,0.42,0.25,none,0.22,2.38M,-519.0K,-469.0K,-19.70%,-24.20%,31-Oct,none,-16.17%,-19.52%,5.33,0,1.31M,0,none,0,none,"2,000",0.17,0.17,0.00%,5.11%
crtq,3,4.1,6.375,-0.16,"2,545","1,000",2.50%,37.50%,15.2M,3.70M,1.40M,none,none,none,3.67,0.04,-0.02,0.2,3.69,1.12,93.18,20.01,763.0K,188.0K,169.0K,22.10%,24.60%,31-Dec,none,1.23%,1.25%,71.91,0,13.6M,"2,000",0.10%,"2,000",0.5,"4,000",4.15,4.0616,-2.13%,5.11%
crts.ob,0.006,0.06,0.06,-1.34,91,0,500.00%,704.60%,318.0K,5.30M,2.60M,none,none,none,-3.47,-0.37,-0.09,0.88,0.05,none,none,0.07,4.68M,-20.0K,-1.97M,-42.10%,-2.50%,31-Mar,none,-102.68%,none,0.06,none,255.0K,none,none,none,none,none,,,0,5.11%
crtv.ob,0.06,0.06,0.185,0.04,"1,045",0,-64.70%,-52.70%,1.00M,16.7M,1.80M,none,none,none,-0.45,-0.01,-0.01,0.58,0.01,none,none,0.1,16.5M,1.32M,-121.0K,1.60%,1.60%,31-Dec,none,4.58%,none,0.48,none,100.0K,607.0K,28.90%,1.40M,0.66,922.0K,0.06,0.05,-16.67%,5.11%
crus,6,11.13,44.5,1.59,1.87M,1.80M,-73.50%,-64.50%,821.6M,73.8M,62.0M,none,none,none,4.76,-0.2,-0.23,8.54,2.21,2.34,none,1.3,664.7M,32.0M,-12.1M,-1.90%,0.40%,31-Mar,none,none,none,none,none,none,none,none,none,none,none,11.97,13.31,11.19%,5.11%
crv,0.37,0.5,1.125,0.98,"2,727","2,000",-55.60%,-40.40%,2.18M,4.37M,3.00M,none,none,none,6.26,-1,-0.17,31.07,0.21,0.08,none,0.02,134.8M,-2.59M,-4.35M,-3.20%,-3.00%,31-Dec,none,-5.68%,-14.87%,3.85,1.27,910.0K,0,none,0,none,"3,000",0.5,0.49,-2.00%,5.11%
crvl,18.375,30,30.09,-0.01,14.8K,22.0K,35.30%,81.50%,333.4M,11.1M,3.60M,none,none,none,5.29,1.21,0.32,19.44,0.86,5.67,24.73,1.54,223.8M,28.8M,14.0M,6.20%,10.00%,31-Mar,none,none,none,none,none,none,none,none,none,none,none,29.5,32.44,9.97%,5.11%
crvu.ob,0.06,0.1,0.563,none,"4,227","4,000",-77.20%,-69.40%,2.02M,20.2M,10.0M,none,none,none,-0.31,-0.17,-0.01,0.61,0,none,none,0.16,12.2M,-3.10M,-3.31M,-27.20%,-26.10%,30-Jun,none,-100.47%,none,0.32,none,77.0K,none,none,none,none,none,0.1,0.12,20.00%,5.11%
crwn,8.32,10.28,22,none,101.8K,106.0K,-25.20%,0.30%,673.0M,65.5M,4.20M,none,none,none,3.68,-2.56,-0.72,1.5,0.09,2.79,none,6.87,93.5M,-135.0M,-160.1M,none,none,31-Dec,none,-28.45%,-59.46%,0.39,0.47,5.90M,537.0K,12.80%,532.0K,8.26,65.0K,11.29,12,6.29%,5.11%
crws.ob,0.09,0.31,1,-0.95,50.4K,48.0K,-67.00%,-55.70%,2.92M,9.42M,5.70M,0.12,38.71%,none,-2.27,-7.6,-0.32,26.24,0.01,none,none,0.01,228.0M,-44.9M,-65.6M,-28.80%,-23.10%,1-Apr,none,none,none,none,none,none,none,none,none,none,none,0.31,0.35,12.90%,5.11%
crwvf.ob,0.3,0.335,0.74,none,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,,,0,5.11%
crxa,6.25,12.97,51.938,1.88,282.6K,442.0K,-71.80%,-62.10%,532.0M,41.0M,28.3M,none,none,none,8.41,-33.88,-0.99,1.27,3.01,1.54,none,10.21,45.4M,-698.2M,-765.7M,none,none,31-Dec,none,none,none,none,none,none,none,none,none,none,none,12.25,15.01,22.53%,5.11%
crxl,4.75,6.25,13.625,none,"1,591","1,000",none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,6.1985,5.28,-14.82%,5.11%
cry,20,32.8,44.82,-0.16,130.7K,103.0K,29.50%,73.60%,617.1M,18.8M,16.2M,none,none,none,5.06,0.49,0.14,4.3,1.99,6.48,66.53,7.62,84.2M,17.6M,9.63M,11.40%,16.80%,31-Dec,none,none,none,none,none,none,none,none,none,none,none,33.7,30.6,-9.20%,5.11%
crym.ob,0.04,0.22,0.844,-0.62,29.5K,49.0K,-70.70%,-60.70%,2.73M,12.4M,9.10M,none,none,none,0.1,-0.34,-0.11,0.11,0.01,2.31,none,2.02,1.35M,-3.96M,-4.21M,none,none,31-Dec,none,-98.78%,-122.21%,1.26,0,125.0K,0,none,313.0K,none,127.0K,0.21,0.26,23.81%,5.11%
cryp,7,13.34,30.23,none,345.0K,444.0K,20.60%,61.70%,177.8M,13.3M,13.2M,none,none,none,4.5,1.22,0.3,3.02,3.13,2.96,10.95,4.42,44.8M,20.5M,18.1M,40.30%,45.00%,31-Dec,none,28.21%,31.00%,8.64,0,41.7M,1.24M,9.40%,467.0K,4.54,272.0K,13.99,19.9,42.24%,5.11%
crys,1.88,2.25,8.938,1.41,10.8K,"2,000",-61.70%,-48.60%,22.2M,9.85M,4.30M,none,none,none,4.47,-0.5,-0.29,4.6,0.8,0.5,none,0.49,46.4M,-2.27M,-4.93M,-8.60%,-10.10%,31-Dec,none,-5.96%,-10.03%,2.02,0.03,7.91M,39.0K,0.90%,40.0K,1.95,20.0K,2.25,2.75,22.22%,5.11%
crzby.ob,14.5,16.5,31,0.69,"6,955",34.0K,-42.60%,-23.00%,8.91B,540.0M,502.2M,none,none,none,20.9,0.88,0.16,36.39,7.69,0.79,18.79,0.45,19.3B,none,457.9M,2.80%,none,31-Dec,none,0.13%,4.10%,none,none,none,none,none,none,none,none,,,0,5.11%
crzo,3.6,5.003,11.063,0.79,13.3K,13.0K,-50.00%,-32.90%,70.3M,14.1M,1.40M,none,none,none,4.26,0.84,0.14,1.95,0.44,1.18,5.93,2.57,32.5M,23.6M,14.2M,43.50%,50.20%,31-Dec,none,14.80%,26.91%,1.18,0.66,6.22M,220.0K,15.70%,213.0K,12.22,18.0K,5.02,4.41,-12.15%,5.11%
crzy,10.625,13.82,18.5,0.55,"1,000",0,18.20%,58.60%,11.1M,805.0K,400.0K,0.48,3.47%,none,17.11,0.34,0.08,5.6,2.97,0.81,40.29,2.47,4.40M,none,268.0K,6.10%,38.10%,30-Sep,none,0.41%,2.02%,none,none,2.34M,0,none,0,none,"1,000",14,13.4,-4.29%,5.11%
csa,1.563,2.01,4.25,1.59,18.1K,15.0K,-33.00%,-10.20%,23.5M,11.7M,6.80M,none,none,none,0.47,-1.98,-0.73,0.06,0.49,4.3,none,35.01,589.0K,-14.8M,-20.5M,none,none,31-Dec,none,-111.17%,-308.26%,1.79,0.38,5.62M,11.0K,0.20%,11.0K,0.85,13.0K,2.01,1.69,-15.92%,5.11%
csar,6.06,7.8,13.375,0.84,68.8K,48.0K,-21.00%,5.90%,217.3M,27.9M,23.1M,0.12,1.54%,none,10.24,-0.28,0.03,31.62,1.8,0.76,none,0.25,880.5M,94.3M,-7.71M,-0.90%,3.60%,31-Dec,none,-0.81%,-2.72%,2.46,1.83,50.2M,407.0K,1.80%,366.0K,4.96,82.0K,,6.77,0,5.11%
csav,0.1,0.2,1.969,none,15.9K,"8,000",-85.10%,-80.00%,7.82M,39.1M,15.2M,none,none,none,-0.13,-0.99,-0.26,0.88,0.01,none,none,0.23,34.4M,-36.7M,-38.5M,none,none,31-Dec,none,-132.72%,-361.98%,0.21,none,252.0K,165.0K,1.10%,144.0K,12.69,13.0K,0.19,,0,5.11%
csb,24,32.25,35.438,none,"3,364","3,000",7.10%,43.60%,4.26B,132.0M,130.6M,none,none,none,17.99,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,,32,0,5.11%
csbr.ob,0.06,0.06,0.297,1.32,"3,636","3,000",-74.40%,-65.60%,511.0K,8.51M,6.50M,none,none,none,-0.05,-0.09,-0.01,0.25,0.05,none,none,0.24,2.15M,-485.0K,-767.0K,-32.70%,-25.30%,30-Apr,none,-64.14%,none,0.66,0.09,438.0K,none,none,none,none,none,0.06,0.05,-16.67%,5.11%
csc,28.99,35.91,74.938,1.09,990.9K,898.0K,-42.80%,-23.30%,6.09B,169.5M,150.9M,none,none,none,19.34,1.08,0.28,63.32,0.51,1.86,33.25,0.57,10.8B,1.09B,184.9M,1.70%,2.40%,30-Mar,none,none,none,none,none,none,none,none,none,none,none,33.94,47.65,40.39%,5.11%
cscc,4.76,10.5,22.313,3.27,50.6K,43.0K,16.70%,56.50%,91.4M,8.70M,4.70M,none,none,none,2.43,-1.94,-0.61,0,1.42,4.33,none,"6,206.38",12.0K,-12.6M,-14.1M,none,none,31-Dec,none,-74.19%,-84.77%,11.45,0.03,12.2M,1.88M,40.00%,1.80M,32.43,58.0K,10.45,10,-4.31%,5.11%
