"Company","52-Week Low","Recent Price","52-Week High","Beta","Daily Volume (3-month avg)","Daily Volume (10-day avg)","52-Week Change","52-Week Change relative to S&P500","Market Capitalization","Shares Outstanding","Float","Annual Dividend","Dividend Yield","Last Split","Book Value","Earnings (ttm)","Earnings (mrq)","Sales (per share)","Cash","Price/Book","Price/Earnings","Price/Sales","Sales (ttm)","EBITDA","Income","Profit Margin","Operating Margin","Fiscal Year Ends","Most recent quarter","Return Assets","Return Equity","Current Ratio","Debt/Equity","Total Cash","Shares Short","Percent of Float","Shares Short (Prior Month)","Short Ratio","Daily Volume","Start Price","End Price","Company Return","Market Return","Delta Return"
"AVII","2.18","3.59","9.20","1.69","686,172","292,825","60.27%","8.77%","190.13M","52.96M","45.04M","N/A","N/A","N/A","0.946","-0.45","-0.45","0.097","0.84","3.68","N/A","38.53","4.78M","-19.59M","-22.21M","N/A","-496.70%","31-Dec","30-Jun-06","-29.12%","-50.05%","19.914","N/A","44.47M","7.21M","15.30%","6.84M","11.1","242,427","3.51","3.88","10.54","3.50","7.04"
"AVK","22.33","26.65","29.75","1.03","64,844.6","177,100","7.59%","8.77%","622.33M","23.35M","N/A","2.06","7.70%","N/A","26.681","4.53","4.53","2.487","0","1.00","5.88","10.73","58.07M","N/A","105.80M","200.57%","88.09%","31-Oct","30-Apr-06","3.59%","13.31%","1.467","N/A","5","30.43K","N/A","46.97K","0.6","82,000","26.68","27.03","1.31","3.50","-2.19"
"AVLY.OB","79.10","83.10","88.00","0.35","107.692","462.5","-0.48%","8.77%","81.85M","985.00K","N/A","0.55","0.70%","N/A","41.623001","3.81","3.81","12.794","5.974","2.00","21.79","6.49","12.61M","N/A","3.76M","29.81%","57.06%","31-Dec","30-Jun-06","1.21%","9.01%","N/A","N/A","5.89M","N/A","N/A","N/A","N/A","1,300","82.75","81.30","-1.75","3.50","-5.25"
"AVNA.OB","0.62","0.80","6.24","1.25","48,130.8","37,337.5","-86.09%","8.77%","27.22M","34.02M","33.82M","N/A","N/A","02-Dec-04","0.046","-0.18","-0.18","N/A","0.091","17.39","N/A","N/A","N/A","-17.07M","-6.40M","N/A","N/A","31-Dec","30-Jun-06","N/A","N/A","1.207","0.073","3.08M","N/A","N/A","N/A","N/A","41,425","0.76","0.70","-7.89","3.50","-11.40"
"AVNC","1.20","6.10","6.70","0.46","143,615","269,525","326.57%","8.77%","185.01M","30.33M","29.20M","N/A","N/A","N/A","0.564","-1.02","-1.02","0.341","0.689","10.92","N/A","18.29","10.22M","-24.15M","-30.61M","-299.61%","-284.30%","31-Dec","30-Jun-06","-30.04%","-97.46%","1.371","0.475","20.89M","322.80K","1.10%","101.00K","2.2","303,554","5.53","3.99","-27.85","3.50","-31.35"
"AVNR","5.31","6.86","18.14","-0.07","391,397","448,500","-43.40%","8.77%","217.68M","31.73M","31.02M","N/A","N/A","18-Jan-06","0.605","-1.28","-1.28","0.84","1.101","10.36","N/A","8.02","24.80M","-34.59M","-37.83M","-152.54%","-156.09%","30-Sep","30-Jun-06","-35.47%","-255.86%","1.475","1.369","34.93M","10.73M","34.70%","9.88M","29.6","591,657","6.92","3.98","-42.49","3.50","-45.99"
"AVNT.OB","N/A","0.001","N/A","17.94","N/A","N/A","N/A","N/A","2.84M","2.84B","N/A","N/A","N/A","N/A","0","-0.001","-0.001","0","0","N/A","N/A","N/A","-268.38K","N/A","-3.17M","N/A","739.72%","31-Dec","30-Jun-06","-107.44%","-561.94%","0.01","N/A","365","N/A","N/A","N/A","N/A","0","","","0.00","3.50","-3.50"
"AVNU.OB","0.02","0.025","0.07","-1.36","5,960","625","N/A","8.77%","6.19M","247.59M","132.16M","N/A","N/A","N/A","0.003","-0.002","-0.002","0","0.005","8.33","N/A","221.13","27.99K","-1.26M","-378.60K","N/A","-4944.63%","31-Dec","30-Jun-06","-35.37%","-24.26%","1.884","0.079","1.19M","N/A","N/A","N/A","N/A","0","","","0.00","3.50","-3.50"
"AVNX","0.62","1.75","3.50","4.16","4,290,760","2,832,210","78.57%","8.77%","357.63M","204.36M","160.67M","N/A","N/A","N/A","0.364","-0.33","-0.33","0.998","0.364","4.67","N/A","2.13","162.94M","-33.27M","-54.01M","-33.14%","-30.48%","30-June","30-Jun-06","-15.49%","-84.35%","2.305","0.073","74.33M","8.87M","4.40%","8.34M","2.7","3,770,671","1.64","1.59","-3.05","3.50","-6.55"
"AVP","24.33","30.85","33.26","-0.23","2,356,780","1,866,340","13.88%","8.77%","13.81B","447.68M","445.93M","0.70","2.30%","01-Jun-04","2.245","1.21","1.21","18.37","2.49","13.63","25.47","1.64","8.37B","1.27B","554.10M","6.62%","13.03%","31-Dec","30-Jun-06","14.75%","50.80%","1.384","1.74","1.11B","9.37M","2.10%","7.57M","5.3","1,750,100","30.58","30.41","-0.56","3.50","-4.06"
