Company,result
CHTR,5.033237767449593
BFT,4.984983351517645
ERS,4.955251096847597
ACOR,4.951266328147494
ANGN,4.927566444563279
ZHNE,4.9191006115689255
GROW,4.91254810470762
BQI,4.899854154543153
NVEC,4.8971784443349256
VSTH,4.895991421093376
ININ,4.876813260580712
FTWR,4.8744058021079155
AMKR,4.864649283423325
GNBT,4.858954437674987
RNAI,4.857425572436867
PARL,4.856606323054829
DXPE,4.854559578470719
IIG,4.852809386255856
CMGI,4.851263071245866
MOVI,4.850447851922438
