￥Company,result
MGI,5.602707798698699
NBG,5.429665238417593
PEIX,5.277910856227159
INHX,4.968652188399571
DANG,4.867101463966004
BZH,4.864329044224297
VRUS,4.86047990798037
ARIA,4.859625568280649
NG,4.844638757215179
MOBI,4.842145615610994
IRE,4.839909995982681
DWSN,4.836789051224765
OCLR,4.836700854299585
SRZ,4.835182962816353
FN,4.831617078024544
AMSC,4.830885849042897
HERO,4.830080484130193
DMD,4.829270434555601
ABD,4.828158526736242
ACHN,4.827120674183961
