"Company","52-Week Low","Recent Price","52-Week High","Beta","Daily Volume (3-month avg)","Daily Volume (10-day avg)","52-Week Change","52-Week Change relative to S&P500","Market Capitalization","Shares Outstanding","Float","Annual Dividend","Dividend Yield","Last Split","Book Value","Earnings (ttm)","Earnings (mrq)","Sales (per share)","Cash","Price/Book","Price/Earnings","Price/Sales","Sales (ttm)","EBITDA","Income","Profit Margin","Operating Margin","Fiscal Year Ends","Most recent quarter","Return Assets","Return Equity","Current Ratio","Debt/Equity","Total Cash","Shares Short","Percent of Float","Shares Short (Prior Month)","Short Ratio","Daily Volume","Start Price","End Price","Company Return","Market Return","DCV","Delta Return"
"AB","13.25","14.05","27.59","1.93","433,214","436,700","-45.37%","-44.30%","1.48B","105.17M","101.76M","1.36","9.80%","Apr 3, 1998","16.94","1.31","1.31","1.59","N/A","0.82","10.77","8.97","162.88M","N/A","134.33M","82.47%","100.00%","Dec 31","Jun 30, 2011","5.76%","7.60%","N/A","N/A","N/A","3.26M","N/A","2.96M","6.10","641,543","13.14","14.17","7.84","14.02","4155603.84","-6.18"
"ABAT","0.79","1.15","4.35","1.15","2,321,170","677,033","-66.76%","-65.69%","87.56M","76.14M","66.95M","N/A","N/A","Jul 13, 2004","3.11","0.53","0.53","1.50","0.97","0.36","2.18","0.75","114.74M","46.94M","43.93M","38.29%","37.17%","Dec 31","Jun 30, 2011","12.64%","22.42%","13.72","N/A","74.04M","5.46M","9.20%","5.45M","3.40","514,145","0.99","0.9505","-3.99","14.02","574248.51","-18.01"
"ABAX","19.68","24.16","31.69","0.98","166,400","133,522","7.95%","9.02%","551.23M","22.82M","21.58M","N/A","N/A","N/A","7.51","0.58","0.58","6.44","2.71","3.22","41.66","3.81","144.73M","24.43M","13.17M","9.10%","13.63%","Mar 31","Jun 30, 2011","6.88%","8.18%","6.89","0.47","61.76M","2.61M","14.00%","2.17M","10.90","183,664","22.15","28.06","26.68","14.02","4570608.20","12.67"
"ABB","16.32","16.77","27.58","1.48","4,178,120","3,141,600","-20.56%","-19.49%","38.41B","2.29B","2.12B","0.67","4.00%","N/A","6.98","1.33","1.33","15.39","2.15","2.40","12.66","1.09","35.16B","5.34B","3.01B","8.59%","13.08%","Dec 31","Jun 30, 2011","7.80%","20.44%","1.38","22.18","4.92B","1.71M","N/A","1.72M","0.30","4,726,734","16.42","18.81","14.56","14.02","38327958.08","0.54"
"ABBC","6.97","7.11","13.23","0.43","53,134","42,244","-30.97%","-29.90%","133.28M","18.74M","15.40M","0.24","3.40%","N/A","11.54","0.40","0.40","1.90","3.93","0.62","17.77","3.76","35.42M","N/A","7.80M","22.03%","34.27%","Dec 31","Jun 30, 2011","0.64%","3.64%","N/A","N/A","73.58M","540.26K","3.10%","464.58K","9.70","35,012","0.00","0.00","0.00","14.02","0.00","-14.02"
"ABC","30.26","37.76","43.47","0.77","3,331,180","2,802,200","20.45%","21.52%","10.17B","269.26M","267.32M","0.46","1.20%","Jun 16, 2009","11.77","2.50","2.50","288.58","7.43","3.23","15.12","0.13","79.53B","1.33B","700.53M","0.88%","1.53%","Sep 30","Jun 30, 2011","5.26%","22.84%","1.11","42.52","2.00B","8.03M","2.90%","5.46M","2.00","2,363,884","35.74","40.80","14.16","14.02","190867647.26","0.14"
"ABCB","8.31","8.67","11.20","1.36","72,039","56,656","-6.17%","-5.10%","206.05M","23.77M","22.88M","N/A","N/A","Mar 29, 2010","9.54","0.03","0.03","3.36","12.07","0.90","309.64","2.43","83.70M","N/A","1.23M","5.32%","0.13%","Dec 31","Jun 30, 2011","0.17%","1.61%","N/A","N/A","286.88M","1.61M","7.00%","1.49M","16.80","41,844","8.55","10.03","17.31","14.02","885147.30","3.29"
"ABCD","2.48","3.00","3.98","N/A","62,008","53,700","-7.98%","-6.91%","126.81M","42.27M","5.67M","N/A","N/A","N/A","2.69","-0.01","-0.01","4.37","0.30","1.11","N/A","0.65","193.02M","52.82M","-283.00K","-0.15%","10.57%","Dec 31","Jun 30, 2011","3.29%","-0.24%","1.45","164.04","12.58M","598.10K","N/A","574.02K","11.20","43,110","2.87","3.30","14.98","14.02","146671.35","0.97"
"ABCO","42.71","60.54","63.89","0.65","86,328","90,089","40.56%","41.63%","980.69M","16.20M","15.92M","N/A","N/A","N/A","9.81","1.07","1.07","19.22","2.17","6.08","56.63","3.17","305.17M","40.60M","17.80M","5.83%","9.75%","Mar 31","Jun 30, 2011","4.00%","12.73%","0.82","N/A","35.19M","705.90K","5.00%","603.29K","5.70","70,852","58.73","61.25","4.29","14.02","12076180.06","-9.73"
"ABCW","0.52","0.53","1.90","2.49","33,237","25,867","-22.06%","-20.99%","11.49M","21.68M","18.28M","N/A","N/A","Aug 25, 1998","-4.42","-2.22","-2.22","3.99","5.94","N/A","N/A","0.13","84.74M","N/A","-47.16M","-39.96%","-2.53%","Mar 31","Jun 30, 2011","-0.94%","-349.82%","N/A","N/A","128.75M","2.17M","10.50%","2.28M","49.10","12,431","0.53","0.5101","-3.75","14.02","15704.96","-17.77"
"ABD","4.62","4.97","10.39","4.16","298,591","277,222","-16.47%","-15.40%","274.25M","55.18M","54.74M","N/A","N/A","N/A","-0.51","0.83","0.83","24.61","1.68","N/A","5.96","0.20","1.35B","142.70M","9.70M","3.53%","8.69%","Dec 31","Jun 30, 2011","6.68%","N/A","2.19","N/A","92.70M","3.78M","10.90%","3.65M","11.70","257,990","4.46","6.87","54.04","14.02","2203503.14","40.02"
"ABG","12.85","16.42","22.00","3.03","473,855","550,111","22.45%","23.52%","530.74M","32.32M","18.64M","N/A","N/A","N/A","9.65","1.56","1.56","129.74","0.72","1.68","10.55","0.13","4.18B","136.30M","34.10M","1.24%","2.74%","Dec 31","Jun 30, 2011","5.36%","11.82%","1.50","264.62","23.20M","4.43M","18.90%","4.48M","8.30","463,838","15.52","18.65","20.17","14.02","7731722.56","6.15"
"ABH","14.42","15.05","30.54","N/A","562,662","264,733","N/A","none","1.46B","97.09M","82.37M","N/A","N/A","N/A","38.92","30.65","30.65","62.65","3.06","0.39","0.49","0.30","4.85B","492.00M","3.50B","72.22%","3.03%","Dec 31","Jun 30, 2011","1.39%","698.76%","3.17","18.57","297.00M","10.00M","14.20%","10.83M","14.60","203,762","14.06","17.00","20.91","14.02","13423658.46","6.89"
"ABI","none","13.99","none","none","none","none","none","none","N/A","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","100","13.19","13.74","4.17","14.02","81778.00","-9.85"
"ABIO","1.00","1.20","4.38","2.06","60,175","48,589","-68.09%","-67.02%","12.62M","10.52M","7.25M","N/A","N/A","Jan 28, 2009","0.72","-0.61","-0.61","N/A","0.71","1.69","N/A","N/A","N/A","-8.00M","-5.61M","N/A","N/A","Dec 31","Jun 30, 2011","-51.57%","-62.35%","7.80","N/A","7.46M","479.47K","N/A","793.06K","7.80","8,500","1.07","1.14","6.54","14.02","17419.60","-7.47"
"ABM","17.29","18.63","27.14","1.35","335,635","368,311","-13.95%","-12.88%","992.01M","53.25M","44.40M","0.56","3.10%","May 7, 2002","14.73","1.34","1.34","76.86","0.74","1.23","13.87","0.24","4.07B","179.66M","71.95M","1.78%","3.21%","Oct 31","Jul 31, 2011","4.72%","9.59%","1.73","46.57","39.61M","2.66M","6.00%","2.71M","6.50","297,812","17.85","20.22","13.28","14.02","6189166.20","-0.74"
"ABMD","8.97","10.51","19.19","1.25","255,482","194,900","0.86%","1.93%","395.93M","37.67M","32.02M","N/A","N/A","Oct 2, 2000","2.95","-0.28","-0.28","2.84","1.57","3.65","N/A","3.81","106.50M","-6.12M","-10.37M","-9.74%","-8.97%","Mar 31","Jun 30, 2011","-4.78%","-9.88%","5.46","N/A","59.13M","2.05M","N/A","1.92M","7.30","168,643","10.09","15.06","49.26","14.02","2289703.52","35.24"
"ABR","3.57","3.87","7.50","4.37","61,614","49,667","-22.29%","-21.22%","98.45M","25.44M","16.89M","N/A","N/A","N/A","8.07","-2.08","-2.08","-0.34","1.70","0.47","N/A","N/A","-8.70M","N/A","-54.05M","N/A","756.19%","Dec 31","Jun 30, 2011","-3.00%","-23.92%","21.41","677.89","43.17M","420.37K","N/A","425.71K","4.90","56,707","3.51","3.61","2.85","14.02","1216822.23","-11.17"
"ABT","45.07","50.96","54.24","0.28","7,926,360","8,245,430","-1.89%","-0.82%","79.32B","1.56B","1.50B","1.92","3.80%","Jun 1, 1998","16.95","3.28","3.28","24.06","5.71","2.99","15.53","2.12","37.30B","10.36B","5.13B","13.78%","19.88%","Dec 31","Jun 30, 2011","8.03%","22.12%","1.52","68.83","8.89B","16.98M","N/A","15.16M","1.70","10,277,667","50.15","53.87","7.42","14.02","557229538.55","-6.60"
"ABTL","0.71","0.83","1.57","1.47","99,539","46,944","-2.35%","-1.28%","38.18M","46.11M","35.05M","N/A","N/A","N/A","0.51","-0.15","-0.15","1.29","0.19","1.62","N/A","0.65","58.87M","-3.18M","-6.73M","-11.43%","-8.46%","Dec 31","Jun 30, 2011","-8.74%","-26.84%","2.23","21.23","8.57M","171.22K","N/A","160.82K","1.30","18,453","0.80","0.90","12.50","14.02","54035.20","-1.52"
"ABV","23.89","30.91","36.30","0.99","3,458,390","3,308,140","28.96%","30.03%","95.95B","3.10B","1.20B","0.39","1.30%","Dec 28, 2010","4.30","1.43","1.43","4.43","0.99","7.01","21.69","6.75","13.73B","6.34B","4.43B","32.25%","40.85%","Dec 31","Jun 30, 2011","15.89%","34.13%","1.10","20.31","3.07B","9.46M","N/A","5.11M","2.20","3,926,260","29.92","33.72","12.70","14.02","127232466.24","-1.32"
"ABVA","2.65","4.89","7.00","0.44","13,046","8,500","64.65%","65.72%","24.98M","5.11M","4.23M","N/A","N/A","Jun 7, 2006","7.00","0.23","0.23","3.66","16.34","0.68","21.26","1.31","18.69M","N/A","1.16M","6.20%","12.62%","Dec 31","Jun 30, 2011","0.20%","3.25%","N/A","N/A","83.45M","4.39K","0.10%","2.19K","0.50","2,056","4.91","5.40","9.98","14.02","0.00","-4.04"
"ABVT","49.79","53.00","78.07","0.69","242,722","187,267","-0.19%","0.88%","1.37B","25.82M","20.59M","N/A","N/A","Sep 4, 2009","23.16","2.65","2.65","17.31","3.73","2.19","20.03","2.95","444.50M","179.70M","70.10M","15.77%","24.66%","Dec 31","Jun 30, 2011","7.86%","11.42%","1.21","9.20","96.40M","1.19M","N/A","1.14M","5.10","274,930","51.63","59.35","14.95","14.02","14135054.88","0.94"
"ABX","42.50","46.42","55.95","0.61","9,368,840","9,912,510","0.11%","1.18%","46.37B","999.00M","997.01M","0.49","1.00%","Mar 2, 1993","19.09","3.75","3.75","12.31","N/A","2.55","12.37","3.98","12.24B","6.87B","3.70B","30.68%","46.09%","Dec 31","Jun 30, 2011","9.27%","18.01%","2.24","N/A","N/A","6.46M","N/A","7.64M","0.60","11,648,447","46.21","49.50","7.12","14.02","318743594.99","-6.90"
"ACAD","0.65","1.19","3.30","2.47","254,437","271,389","21.43%","22.50%","62.83M","52.80M","37.05M","N/A","N/A","N/A","0.62","0.28","0.28","0.85","0.76","1.93","4.31","1.64","38.60M","12.96M","12.52M","32.45%","32.23%","Dec 31","Jun 30, 2011","19.33%","69.63%","6.90","0.12","40.36M","253.10K","N/A","367.61K","0.80","326,288","0.92","1.23","33.70","14.02","358846.00","19.68"
"ACAS","5.65","7.77","10.85","2.52","5,523,290","3,563,080","31.25%","32.32%","2.75B","353.82M","295.59M","N/A","N/A","N/A","13.16","3.87","3.87","1.70","0.53","0.60","2.01","4.75","586.00M","407.00M","1.37B","234.47%","67.92%","Dec 31","Jun 30, 2011","3.96%","35.90%","1.33","38.32","186.00M","10.89M","3.60%","8.69M","1.60","3,274,329","6.36","7.77","22.17","14.02","32705530.44","8.15"
"ACAT","8.41","14.69","17.97","2.02","121,438","129,122","62.86%","63.93%","267.06M","18.18M","11.66M","N/A","N/A","Sep 6, 1994","9.93","0.82","0.82","26.11","5.46","1.47","17.98","0.56","476.17M","37.03M","15.16M","3.18%","4.50%","Mar 31","Jun 30, 2011","5.10%","8.82%","2.40","N/A","99.29M","522.38K","3.20%","484.87K","3.60","81,508","13.99","20.31","45.18","14.02","1825932.83","31.16"
"ACC","29.68","37.18","41.09","0.80","973,146","2,405,060","21.50%","22.57%","2.59B","69.53M","69.14M","1.35","3.70%","N/A","18.50","0.84","0.84","5.85","0.69","1.98","44.16","6.64","383.02M","187.27M","41.32M","14.83%","26.17%","Dec 31","Jun 30, 2011","2.63%","3.90%","2.25","91.41","48.26M","4.57M","N/A","4.26M","4.20","625,025","36.15","38.93","7.69","14.02","39765036.15","-6.33"
"ACCL","5.80","6.08","8.95","0.86","177,352","192,489","-12.89%","-11.82%","336.02M","55.27M","47.36M","N/A","N/A","N/A","4.25","-0.49","-0.49","2.15","2.09","1.39","N/A","2.84","114.81M","-8.00M","-26.32M","-22.93%","-22.15%","Dec 31","Jun 30, 2011","N/A","N/A","1.32","N/A","115.63M","2.60M","N/A","2.27M","12.70","151,407","5.79","6.63","14.51","14.02","1304278.56","0.49"
"ACE","57.28","59.70","69.83","0.61","2,360,560","2,319,960","2.84%","3.91%","20.18B","337.97M","336.19M","1.40","2.40%","Mar 3, 1998","71.36","7.44","7.44","48.24","9.51","0.83","8.02","1.23","16.36B","3.22B","2.54B","15.54%","19.58%","Dec 31","Jun 30, 2011","2.36%","11.17%","0.72","27.70","3.21B","3.80M","1.30%","3.17M","1.20","2,561,473","59.11","72.15","22.06","14.02","155258444.22","8.04"
"ACET","4.51","5.55","9.47","1.10","132,778","123,078","-17.90%","-16.83%","146.80M","26.45M","24.05M","0.20","3.80%","Jan 11, 2005","6.08","0.34","0.34","15.92","1.12","0.87","16.32","0.34","412.43M","23.11M","8.97M","2.17%","4.27%","Jun 30","Jun 30, 2011","4.05%","5.97%","2.39","34.41","29.61M","1.04M","4.10%","903.83K","6.90","98,103","5.17","6.34","22.63","14.02","874164.28","8.61"
"ACFC","1.08","2.59","10.44","0.91","5,951","7,489","28.86%","29.93%","6.57M","2.54M","2.22M","N/A","N/A","N/A","21.33","-0.94","-0.94","1.17","10.97","0.11","N/A","0.40","15.40M","N/A","-12.30M","-79.87%","-45.52%","Dec 31","Jun 30, 2011","-1.44%","-22.92%","N/A","N/A","27.82M","1.03K","N/A","2.07K","0.10","500","2.01","1.38","-31.34","14.02","956.76","-45.36"
"ACFN","3.33","5.32","5.75","0.81","114,868","123,700","0.19%","1.26%","93.20M","17.52M","14.26M","N/A","N/A","Jun 21, 1993","1.74","-1.38","-1.38","2.27","0.27","3.12","N/A","2.51","37.94M","-5.79M","-8.82M","-60.90%","-22.17%","Dec 31","Jun 30, 2011","-7.93%","-21.23%","1.69","5.83","4.76M","90.83K","0.50%","93.20K","0.50","26,604","5.30","4.88","-7.92","14.02","869221.20","-21.94"
"ACG","7.36","8.05","8.43","0.36","579,369","511,444","-3.82%","-2.75%","1.96B","242.91M","N/A","0.44","5.50%","N/A","8.90","0.74","0.74","0.52","0.00","0.91","10.95","15.40","127.31M","N/A","178.46M","140.17%","90.04%","Dec 31","Jun 30, 2011","2.29%","8.38%","0.04","47.36","229.89K","204.04K","N/A","243.70K","0.30","671,419","8.00","7.99","-0.12","14.02","4822584.00","-14.14"
"ACGL","27.03","31.59","35.20","0.43","876,558","971,367","15.50%","16.57%","4.21B","133.24M","118.60M","N/A","N/A","May 12, 2011","31.00","3.30","3.30","22.88","8.37","1.02","9.56","1.32","3.17B","N/A","480.40M","15.95%","20.44%","Dec 31","Jun 30, 2011","2.38%","11.45%","2.39","19.67","1.12B","4.38M","4.00%","4.82M","3.90","676,195","31.93","35.97","12.65","14.02","23837756.59","-1.36"
"ACH","11.16","11.50","26.80","1.81","380,234","379,311","-49.18%","-48.11%","6.22B","540.98M","284.23M","0.07","0.60%","Oct 11, 2006","15.00","0.20","0.20","36.03","2.78","0.77","57.50","0.32","19.49B","1.52B","103.24M","0.53%","3.38%","Dec 31","Jun 30, 2011","1.82%","1.51%","0.73","125.10","1.50B","4.12M","N/A","4.26M","9.50","573,424","10.65","13.29","24.79","14.02","5981135.85","10.77"
"ACHN","2.60","4.79","8.95","0.29","874,180","538,344","61.82%","62.89%","333.95M","69.72M","48.03M","N/A","N/A","N/A","1.32","-0.62","-0.62","0.04","1.43","3.52","N/A","140.89","2.30M","-34.47M","-34.84M","N/A","-1,518.12%","Dec 31","Jun 30, 2011","-34.96%","-66.61%","12.67","0.48","99.58M","4.64M","11.70%","4.29M","7.90","905,586","4.01","6.32","57.61","14.02","2114789.79","43.59"
"ACI","14.28","15.26","36.99","1.88","6,411,020","7,099,000","-41.84%","-40.77%","3.25B","213.08M","211.86M","0.44","2.90%","May 16, 2006","16.73","0.96","0.96","21.08","0.39","0.91","15.95","0.93","3.49B","833.59M","161.18M","4.62%","12.59%","Dec 31","Jun 30, 2011","3.65%","5.69%","1.24","118.77","82.35M","6.38M","5.00%","6.33M","0.90","8,132,750","13.22","18.22","37.82","14.02","182054351.82","23.81"
"ACIW","20.67","27.32","37.93","0.45","276,355","367,056","28.87%","29.94%","914.35M","33.47M","33.02M","N/A","N/A","Jul 2, 1996","8.35","1.19","1.19","13.64","5.10","3.24","22.90","1.99","456.17M","95.45M","40.86M","8.96%","14.93%","Dec 31","Jun 30, 2011","7.30%","16.45%","1.09","26.83","170.81M","1.30M","6.30%","1.08M","4.50","228,918","25.26","30.67","21.42","14.02","34135353.60","7.40"
"ACK","none","10.86","none","none","none","none","none","none","N/A","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","1,900","11.38","11.38","0.00","14.02","0.00","-14.02"
"ACM","17.53","18.06","29.98","0.87","1,058,500","1,358,340","-26.38%","-25.31%","2.16B","119.45M","103.27M","N/A","N/A","N/A","21.09","2.17","2.17","66.07","3.19","0.85","8.33","0.28","7.75B","457.44M","256.17M","3.31%","4.61%","Sep 30","Jun 30, 2011","4.51%","11.64%","1.70","47.16","381.47M","2.84M","N/A","2.44M","1.90","1,085,250","16.84","20.92","24.23","14.02","20482104.68","10.21"
"ACMR","1.03","1.04","3.56","2.65","88,320","154,133","-57.02%","-55.95%","25.64M","24.65M","18.69M","N/A","N/A","Aug 1, 2002","4.75","-1.14","-1.14","18.10","0.66","0.23","N/A","0.06","444.57M","-10.72M","-28.26M","-6.36%","-6.02%","Jan 1","Jul 2, 2011","-7.36%","-21.68%","1.75","16.23","16.18M","23.00K","0.10%","47.08K","0.20","69,852","0.95","1.58","66.32","14.02","79470.35","52.30"
"ACN","41.50","50.41","63.66","0.82","8,797,560","6,810,570","20.31%","21.38%","32.49B","644.42M","641.72M","0.90","1.80%","N/A","5.75","3.15","3.15","40.45","8.16","8.76","16.00","1.25","26.01B","3.83B","2.11B","8.12%","12.83%","Aug 31","May 31, 2011","15.56%","62.34%","1.51","0.11","5.26B","14.79M","2.30%","12.35M","2.10","6,435,278","51.62","60.26","16.74","14.02","272626745.54","2.72"
"ACNB","13.28","14.26","16.50","0.74","2,003","4,011","1.86%","2.93%","84.66M","5.94M","5.81M","0.76","5.50%","Nov 28, 2007","16.39","1.43","1.43","6.90","7.06","0.84","9.95","2.00","40.90M","N/A","8.50M","20.78%","31.28%","Dec 31","Jun 30, 2011","0.86%","8.95%","N/A","N/A","41.89M","2.02K","N/A","1.39K","1.00","18,921","13.69","14.25","4.09","14.02","136461.92","-9.93"
"ACO","23.41","23.83","42.72","1.66","167,591","162,111","-10.28%","-9.21%","754.15M","31.65M","25.13M","0.72","3.00%","Dec 2, 1997","12.94","1.07","1.07","29.59","0.57","1.84","22.38","0.81","930.12M","116.41M","34.06M","3.66%","8.32%","Dec 31","Jun 30, 2011","6.03%","8.52%","3.03","59.79","17.93M","2.85M","11.80%","2.84M","13.80","212,986","22.15","30.19","36.30","14.02","4719965.65","22.28"
"ACOM","20.67","23.75","45.79","N/A","1,230,230","1,889,630","2.55%","3.62%","1.08B","45.45M","31.52M","N/A","N/A","N/A","7.65","1.00","1.00","7.87","1.56","3.07","23.63","3.01","354.39M","117.39M","49.89M","14.08%","22.37%","Dec 31","Jun 30, 2011","9.25%","15.03%","0.65","N/A","71.02M","6.03M","22.50%","5.12M","4.40","4,846,242","21.98","22.77","3.59","14.02","29923396.16","-10.42"
"ACOR","20.43","21.37","34.57","0.61","525,800","456,233","-37.46%","-36.39%","847.47M","39.66M","31.74M","N/A","N/A","N/A","4.16","0.40","0.40","6.64","5.75","5.03","53.96","3.23","256.98M","23.08M","15.15M","5.90%","7.29%","Dec 31","Jun 30, 2011","3.71%","10.62%","3.70","3.86","228.20M","4.72M","13.90%","4.39M","7.00","330,307","18.71","21.84","16.73","14.02","12223392.68","2.71"
"ACP","none","15.41","none","none","none","none","none","none","N/A","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","36,168","15.66","16.54","5.62","14.02","275161.86","-8.40"
