"Company","52-Week Low","Recent Price","52-Week High","Beta","Daily Volume (3-month avg)","Daily Volume (10-day avg)","52-Week Change","52-Week Change relative to S&P500","Market Capitalization","Shares Outstanding","Float","Annual Dividend","Dividend Yield","Last Split","Book Value","Earnings (ttm)","Earnings (mrq)","Sales (per share)","Cash","Price/Book","Price/Earnings","Price/Sales","Sales (ttm)","EBITDA","Income","Profit Margin","Operating Margin","Fiscal Year Ends","Most recent quarter","Return Assets","Return Equity","Current Ratio","Debt/Equity","Total Cash","Shares Short","Percent of Float","Shares Short (Prior Month)","Short Ratio","Daily Volume","Start Price","End Price","Company Return","Market Return","DCV","Delta Return"
"A","30.22","31.68","55.33","1.58","5,462,730","5,723,910","-1.28%","-0.21%","11.00B","347.21M","344.79M","N/A","N/A","N/A","12.07","2.87","2.87","18.67","8.93","2.59","11.05","1.68","6.46B","1.29B","1.02B","15.71%","16.01%","Oct 31","Jul 31, 2011","7.25%","28.96%","3.47","51.62","3.10B","4.27M","1.40%","4.03M","0.60","4,342,814","29.40","37.07","26.09","14.02","150397816.80","12.07"
"AA","9.94","10.07","18.47","2.28","25,879,600","29,659,900","-17.46%","-16.39%","10.72B","1.06B","1.06B","0.12","1.20%","Jun 12, 2000","14.66","0.87","0.87","22.58","1.19","0.69","11.52","0.46","23.48B","3.39B","949.00M","4.04%","8.20%","Dec 31","Jun 30, 2011","3.05%","6.55%","1.36","48.26","1.27B","58.13M","5.50%","53.73M","1.90","39,774,165","8.90","10.76","20.90","14.02","477832740.80","6.88"
"AACC","3.13","3.73","7.21","2.19","56,302","11,967","-18.74%","-17.67%","114.37M","30.66M","14.86M","N/A","N/A","N/A","4.24","0.06","0.06","6.54","0.24","0.87","61.15","0.56","201.02M","16.23M","2.00M","0.99%","5.88%","Dec 31","Jun 30, 2011","1.96%","1.56%","15.14","133.06","7.30M","296.18K","4.70%","322.69K","12.40","2,173","3.11","3.04","-2.25","14.02","39804.89","-16.27"
"AADR","none","25.94","none","none","none","none","none","none","-0.21%","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","AdvisorShares","8.17M","none","none","none","none","none","none","none","none","none","8,031","25.78","29.62","14.90","14.02","0.00","0.88"
"AAME","1.43","1.85","2.25","1.12","4,449","3,311","0.54%","1.61%","41.12M","22.23M","9.36M","N/A","N/A","N/A","3.78","0.10","0.10","5.09","1.11","0.53","18.50","0.39","113.28M","6.24M","2.15M","2.35%","5.19%","Dec 31","Jun 30, 2011","1.35%","3.17%","1.47","48.98","24.65M","4.70K","0.10%","4.85K","1.00","9,000","1.88","1.83","-2.66","14.02","21527.88","-16.68"
"AAN","16.16","25.02","24.32","1.03","605,969","451,057","10.44%","11.51%","1.97B","78.66M","70.69M","0.05","0.20%","Apr 16, 2010","12.68","1.37","1.37","24.24","2.24","1.97","18.26","1.01","1.95B","276.55M","112.15M","5.75%","11.65%","Dec 31","Jun 30, 2011","9.80%","11.51%","1.59","4.11","176.38M","3.56M","122.80%","3.55M","4.80","377,199","24.37","26.76","9.81","14.02","18766995.82","-4.21"
"AAON","14.91","15.97","24.23","0.88","75,791","82,711","0.06%","1.13%","393.84M","24.66M","18.63M","0.24","1.60%","Jun 14, 2011","4.87","0.74","0.74","10.49","0.19","3.10","21.67","1.43","259.70M","38.30M","18.44M","7.10%","10.70%","Dec 31","Jun 30, 2011","10.04%","16.02%","1.68","6.36","4.66M","2.03M","12.60%","2.00M","19.30","80,582","15.13","21.17","39.92","14.02","1258619.31","25.90"
"AAP","49.50","59.97","72.32","0.39","1,344,690","1,021,290","0.60%","1.67%","4.56B","75.98M","71.31M","0.24","0.40%","Sep 26, 2005","10.06","4.34","4.34","74.88","0.91","5.83","13.81","0.74","6.05B","776.86M","357.19M","5.92%","10.02%","Jan 1","Jul 16, 2011","10.93%","39.15%","1.12","74.49","68.82M","4.20M","6.40%","3.96M","2.50","786,973","56.30","65.07","15.58","14.02","37495293.30","1.56"
"AAPL","275.00","404.30","422.86","1.07","20,884,500","23,063,400","38.31%","39.38%","374.82B","927.09M","921.05M","N/A","N/A","Feb 28, 2005","74.81","25.28","25.28","108.95","30.63","5.37","15.99","3.71","100.32B","32.08B","23.61B","23.53%","30.43%","Sep 25","Jun 25, 2011","22.25%","41.99%","1.75","N/A","28.40B","15.16M","N/A","12.54M","0.60","19,517,230","374.60","404.78","8.06","14.02","8855413639.20","-5.96"
"AAR","18.39","21.19","24.85","N/A","14,199","8,689","-6.69%","-5.62%","7.10B","335.21M","322.85M","N/A","N/A","N/A","-13.45","-2.02","-2.02","69.19","15.44","N/A","N/A","0.31","23.08B","1.20B","-677.00M","-2.93%","0.44%","Dec 31","Jun 30, 2011","0.24%","N/A","0.82","N/A","5.18B","N/A","N/A","N/A","N/A","8,315","13.24","13.77","4.00","14.02","8047894.28","-10.01"
"AAT","17.79","18.20","23.34","N/A","225,722","225,322","N/A","none","714.95M","39.28M","33.35M","0.84","4.60%","N/A","16.23","0.10","0.10","4.30","2.36","1.12","176.70","4.23","168.92M","103.83M","3.90M","8.07%","30.75%","Dec 31","Jun 30, 2011","2.30%","2.31%","6.41","135.43","92.54M","1.10M","8.00%","1.02M","4.60","141,953","16.96","20.27","19.52","14.02","3898069.44","5.50"
"AATI","3.33","4.16","6.10","1.14","890,622","1,551,490","19.88%","20.95%","183.67M","44.15M","36.99M","N/A","N/A","N/A","2.72","-0.36","-0.36","2.20","1.97","1.49","N/A","1.91","93.53M","-11.59M","-15.38M","-16.45%","-15.49%","Dec 31","Jun 30, 2011","-6.39%","-12.67%","6.77","N/A","86.92M","1.59M","N/A","1.54M","2.10","1,306,025","4.21","4.36","3.56","14.02","2587613.35","-10.45"
"AAU","2.50","2.82","5.35","0.92","278,474","308,944","9.30%","10.37%","163.37M","57.93M","53.57M","N/A","N/A","N/A","0.66","-0.15","-0.15","0.00","0.34","4.52","N/A","2,103.05","82.24K","-7.42M","-8.01M","N/A","-9,562.11%","Dec 31","Jun 30, 2011","-15.22%","-25.18%","43.35","N/A","19.48M","588.35K","1.20%","750.28K","1.90","419,963","2.40","2.77","15.42","14.02","668460.00","1.40"
"AAWW","33.85","36.10","73.19","2.54","322,940","546,400","-34.38%","-33.31%","948.78M","26.28M","25.89M","N/A","N/A","N/A","41.29","4.17","4.17","51.25","17.87","0.88","8.65","0.71","1.33B","205.04M","109.73M","8.23%","12.84%","Dec 31","Jun 30, 2011","5.63%","10.88%","2.41","38.21","469.75M","1.45M","5.60%","1.44M","3.80","333,551","30.90","38.52","24.66","14.02","9365357.40","10.64"
"AAXJ","none","47.97","none","none","none","none","none","none","-10.87%","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","iShares","1.66B","none","none","none","none","none","none","none","none","none","682,251","45.36","53.56","18.08","14.02","22914874.08","4.06"
